Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
European Union,"105,171,084",,,,,,,Albania
,2018,,6.67,0.00,125,24,104,,Albania
080111 - - Desiccated,,0.00,0.00,1,,,,Albania
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,Albania
080119 - - Other,,0.00,0.00,1,,,,Albania
080121 - - In shell,,0.00,0.00,1,,,,Albania
080122 - - Shelled,,0.00,0.00,1,,,,Albania
080131 - - In shell,,0.00,0.00,1,,,,Albania
080132 - - Shelled,,0.00,0.00,1,,,,Albania
080211 - - In shell,,2.80,0.00,2,,1,,Albania
080212 - - Shelled,,1.75,0.00,2,,1,,Albania
080221 - - In shell,,3.20,0.00,1,,1,,Albania
080222 - - Shelled,,3.20,0.00,1,,1,,Albania
080231 - - In shell,,4.00,0.00,1,,1,,Albania
080232 - - Shelled,,5.10,0.00,1,,1,,Albania
080241 - - In shell,,5.60,0.00,1,,1,,Albania
080242 - - Shelled,,5.60,0.00,1,,1,,Albania
080251 - - In shell,,1.60,0.00,1,,1,,Albania
080252 - - Shelled,,1.60,0.00,1,,1,,Albania
080261 - - In shell,,2.00,0.00,1,,1,,Albania
080262 - - Shelled,,2.00,0.00,1,,1,,Albania
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Albania
080280 - Areca nuts,,0.00,0.00,1,,,,Albania
080290 - Other,,1.33,0.00,3,,2,,Albania
080310 - Plantains,,16.00,0.00,2,,2,,Albania
080390 - Other,,16.00,0.00,2,1,2,,Albania
080410 - Dates,,7.70,0.00,1,,1,,Albania
080420 - Figs,,6.80,0.00,2,,2,,Albania
080430 - Pineapples,,5.80,0.00,1,,1,,Albania
080440 - Avocados,,4.00,0.00,1,,1,,Albania
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Albania
080510 - Oranges,,16.00,0.00,4,3,4,,Albania
080521 - - Mandarins (including tangerines and satsumas),,,0.00,2,2,2,,Albania
080522 - - Clementines,,,0.00,1,1,1,,Albania
080529 - - Other,,,0.00,1,1,1,,Albania
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,Albania
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,0.00,2,1,2,,Albania
080590 - Other,,12.80,0.00,1,,1,,Albania
080610 - Fresh,,14.40,0.00,2,1,2,,Albania
080620 - Dried,,2.40,0.00,3,,3,,Albania
080711 - - Watermelons,,8.80,0.00,1,,1,,Albania
080719 - - Other,,8.80,0.00,1,,1,,Albania
080720 - Papaws (papayas),,0.00,0.00,1,,,,Albania
080810 - Apples,,,0.00,2,2,1,,Albania
080830 - Pears,,,0.00,2,2,1,,Albania
080840 - Quinces,,7.20,0.00,1,,1,,Albania
080910 - Apricots,,,0.00,1,1,1,,Albania
080921 - - Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Albania
080929 - - Other,,,0.00,1,1,1,,Albania
"080930 - Peaches, including nectarines",,,0.00,2,2,2,,Albania
080940 - Plums and sloes,,12.00,0.00,2,1,2,,Albania
081010 - Strawberries,,11.20,0.00,1,,1,,Albania
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,Albania
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Albania
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,0.00,4,,3,,Albania
081050 - Kiwifruit,,8.80,0.00,1,,1,,Albania
081060 - Durians,,8.80,0.00,1,,1,,Albania
081070 - Persimmons,,8.80,0.00,1,,1,,Albania
081090 - Other,,4.40,0.00,2,,1,,Albania
081110 - Strawberries,,17.60,0.00,3,1,3,,Albania
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,0.00,7,1,7,,Albania
081190 - Other,,10.75,0.00,10,2,8,,Albania
081210 - Cherries,,8.80,0.00,1,,1,,Albania
081290 - Other,,7.16,0.00,5,,5,,Albania
081310 - Apricots,,5.60,0.00,1,,1,,Albania
081320 - Prunes,,9.60,0.00,1,,1,,Albania
081330 - Apples,,3.20,0.00,1,,1,,Albania
081340 - Other fruit,,3.28,0.00,5,,4,,Albania
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,0.00,7,,7,,Albania
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,0.00,1,,1,,Albania
,2017,"13,439,729",6.67,0.00,125,24,104,,Albania
080111 - - Desiccated,1,0.00,0.00,1,,,,Albania
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,Albania
080119 - - Other,,0.00,0.00,1,,,,Albania
080121 - - In shell,,0.00,0.00,1,,,,Albania
080122 - - Shelled,,0.00,0.00,1,,,,Albania
080131 - - In shell,,0.00,0.00,1,,,,Albania
080132 - - Shelled,9,0.00,0.00,1,,,,Albania
080211 - - In shell,,2.80,0.00,2,,1,,Albania
080212 - - Shelled,,1.75,0.00,2,,1,,Albania
080221 - - In shell,,3.20,0.00,1,,1,,Albania
080222 - - Shelled,1,3.20,0.00,1,,1,,Albania
080231 - - In shell,,4.00,0.00,1,,1,,Albania
080232 - - Shelled,1,5.10,0.00,1,,1,,Albania
080241 - - In shell,"3,885,411",5.60,0.00,1,,1,,Albania
080242 - - Shelled,"180,686",5.60,0.00,1,,1,,Albania
080251 - - In shell,,1.60,0.00,1,,1,,Albania
080252 - - Shelled,,1.60,0.00,1,,1,,Albania
080261 - - In shell,,2.00,0.00,1,,1,,Albania
080262 - - Shelled,2,2.00,0.00,1,,1,,Albania
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Albania
080280 - Areca nuts,,0.00,0.00,1,,,,Albania
080290 - Other,"171,686",1.33,0.00,3,,2,,Albania
080310 - Plantains,,16.00,0.00,2,,2,,Albania
080390 - Other,24,16.00,0.00,2,1,2,,Albania
080410 - Dates,515,7.70,0.00,1,,1,,Albania
080420 - Figs,"142,032",6.80,0.00,2,,2,,Albania
080430 - Pineapples,30,5.80,0.00,1,,1,,Albania
080440 - Avocados,37,4.00,0.00,1,,1,,Albania
"080450 - Guavas, mangoes and mangosteens",11,0.00,0.00,1,,,,Albania
080510 - Oranges,248,16.00,0.00,4,3,4,,Albania
080521 - - Mandarins (including tangerines and satsumas),"176,175",,0.00,2,2,2,,Albania
080522 - - Clementines,"336,478",,0.00,1,1,1,,Albania
080529 - - Other,"7,141",,0.00,1,1,1,,Albania
"080540 - Grapefruit, including pomelos",20,1.50,0.00,1,,1,,Albania
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",14,12.80,0.00,2,1,2,,Albania
080590 - Other,,12.80,0.00,1,,1,,Albania
080610 - Fresh,"6,242",14.40,0.00,2,1,2,,Albania
080620 - Dried,7,2.40,0.00,3,,3,,Albania
080711 - - Watermelons,"2,662,533",8.80,0.00,1,,1,,Albania
080719 - - Other,"254,321",8.80,0.00,1,,1,,Albania
080720 - Papaws (papayas),2,0.00,0.00,1,,,,Albania
080810 - Apples,"465,908",,0.00,2,2,1,,Albania
080830 - Pears,6,,0.00,2,2,1,,Albania
080840 - Quinces,"5,614",7.20,0.00,1,,1,,Albania
080910 - Apricots,"2,705",,0.00,1,1,1,,Albania
080921 - - Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Albania
080929 - - Other,"33,287",,0.00,1,1,1,,Albania
"080930 - Peaches, including nectarines","37,976",,0.00,2,2,2,,Albania
080940 - Plums and sloes,"607,223",12.00,0.00,2,1,2,,Albania
081010 - Strawberries,"773,482",11.20,0.00,1,,1,,Albania
"081020 - Raspberries, blackberries, mulberries and loganberries","160,724",9.20,0.00,2,,2,,Albania
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Albania
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","19,280",4.00,0.00,4,,3,,Albania
081050 - Kiwifruit,"4,309",8.80,0.00,1,,1,,Albania
081060 - Durians,,8.80,0.00,1,,1,,Albania
081070 - Persimmons,"7,904",8.80,0.00,1,,1,,Albania
081090 - Other,"11,855",4.40,0.00,2,,1,,Albania
081110 - Strawberries,"12,808",17.60,0.00,3,1,3,,Albania
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","395,465",14.67,0.00,7,1,7,,Albania
081190 - Other,"655,448",10.75,0.00,10,2,8,,Albania
081210 - Cherries,,8.80,0.00,1,,1,,Albania
081290 - Other,,7.16,0.00,5,,5,,Albania
081310 - Apricots,,5.60,0.00,1,,1,,Albania
081320 - Prunes,,9.60,0.00,1,,1,,Albania
081330 - Apples,"1,742,538",3.20,0.00,1,,1,,Albania
081340 - Other fruit,"675,290",3.28,0.00,5,,4,,Albania
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,0.00,7,,7,,Albania
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","4,277",1.60,0.00,1,,1,,Albania
,2016,"13,493,790",6.67,0.00,124,23,103,,Albania
080111 -- Desiccated,,0.00,0.00,1,,,,Albania
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,Albania
080119 -- Other,,0.00,0.00,1,,,,Albania
080121 -- In shell,,0.00,0.00,1,,,,Albania
080122 -- Shelled,,0.00,0.00,1,,,,Albania
080131 -- In shell,,0.00,0.00,1,,,,Albania
080132 -- Shelled,,0.00,0.00,1,,,,Albania
080211 -- In shell,,2.80,0.00,2,,1,,Albania
080212 -- Shelled,,1.75,0.00,2,,1,,Albania
080221 -- In shell,,3.20,0.00,1,,1,,Albania
080222 -- Shelled,,3.20,0.00,1,,1,,Albania
080231 -- In shell,,4.00,0.00,1,,1,,Albania
080232 -- Shelled,,5.10,0.00,1,,1,,Albania
080241 -- In shell,"9,244,128",5.60,0.00,1,,1,,Albania
080242 -- Shelled,,5.60,0.00,1,,1,,Albania
080251 -- In shell,,1.60,0.00,1,,1,,Albania
080252 -- Shelled,"21,957",1.60,0.00,1,,1,,Albania
080261 -- In shell,,2.00,0.00,1,,1,,Albania
080262 -- Shelled,,2.00,0.00,1,,1,,Albania
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Albania
080280 - Areca nuts,,0.00,0.00,1,,,,Albania
080290 - Other,"232,001",1.33,0.00,3,,2,,Albania
080310 - Plantains,,16.00,0.00,2,,2,,Albania
080390 - Other,,16.00,0.00,2,1,2,,Albania
080410 - Dates,"6,670",7.70,0.00,1,,1,,Albania
080420 - Figs,"146,534",6.80,0.00,2,,2,,Albania
080430 - Pineapples,,5.80,0.00,1,,1,,Albania
080440 - Avocados,,4.00,0.00,1,,1,,Albania
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Albania
080510 - Oranges,"10,840",16.00,0.00,2,1,2,,Albania
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","66,742",,0.00,5,5,5,,Albania
"080540 - Grapefruit, including pomelos","1,342",1.50,0.00,1,,1,,Albania
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","172,534",12.80,0.00,2,1,2,,Albania
080590 - Other,,12.80,0.00,1,,1,,Albania
080610 - Fresh,"18,369",14.40,0.00,2,1,2,,Albania
080620 - Dried,,2.40,0.00,3,,3,,Albania
080711 -- Watermelons,"786,000",8.80,0.00,1,,1,,Albania
080719 -- Other,"103,359",8.80,0.00,1,,1,,Albania
080720 - Papaws (papayas),,0.00,0.00,1,,,,Albania
080810 - Apples,"738,663",,0.00,2,2,1,,Albania
080830 - Pears,"1,769",,0.00,2,2,1,,Albania
080840 - Quinces,,7.20,0.00,1,,1,,Albania
080910 - Apricots,,,0.00,1,1,1,,Albania
080921 -- Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Albania
080929 -- Other,"1,681",,0.00,1,1,1,,Albania
"080930 - Peaches, including nectarines","10,109",,0.00,2,2,2,,Albania
080940 - Plums and sloes,260,12.00,0.00,2,1,2,,Albania
081010 - Strawberries,"299,540",11.20,0.00,1,,1,,Albania
"081020 - Raspberries, blackberries, mulberries and loganberries","64,711",9.20,0.00,2,,2,,Albania
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Albania
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","1,115",4.00,0.00,4,,3,,Albania
081050 - Kiwifruit,,8.80,0.00,1,,1,,Albania
081060 - Durians,,8.80,0.00,1,,1,,Albania
081070 - Persimmons,"2,470",8.80,0.00,1,,1,,Albania
081090 - Other,765,4.40,0.00,2,,1,,Albania
081110 - Strawberries,,17.60,0.00,3,1,3,,Albania
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","23,922",14.67,0.00,7,1,7,,Albania
081190 - Other,,10.75,0.00,10,2,8,,Albania
081210 - Cherries,,8.80,0.00,1,,1,,Albania
081290 - Other,,7.16,0.00,5,,5,,Albania
081310 - Apricots,,5.60,0.00,1,,1,,Albania
081320 - Prunes,,9.60,0.00,1,,1,,Albania
081330 - Apples,"780,281",3.20,0.00,1,,1,,Albania
081340 - Other fruit,"758,028",3.28,0.00,5,,4,,Albania
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,0.00,7,,7,,Albania
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,0.00,1,,1,,Albania
,2015,"9,424,059",6.67,0.00,124,23,103,,Albania
080111 -- Desiccated,,0.00,0.00,1,,,,Albania
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,Albania
080119 -- Other,,0.00,0.00,1,,,,Albania
080121 -- In shell,,0.00,0.00,1,,,,Albania
080122 -- Shelled,,0.00,0.00,1,,,,Albania
080131 -- In shell,,0.00,0.00,1,,,,Albania
080132 -- Shelled,,0.00,0.00,1,,,,Albania
080211 -- In shell,,2.80,0.00,2,,1,,Albania
080212 -- Shelled,,1.75,0.00,2,,1,,Albania
080221 -- In shell,,3.20,0.00,1,,1,,Albania
080222 -- Shelled,,3.20,0.00,1,,1,,Albania
