Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
Brazil,"2,496,944,571",,,,,,,Costa Rica
,2018,,11.99,11.99,654,,,,Costa Rica
850110 - Motors of an output not exceeding 37.5 W,,14.40,14.40,5,,,,Costa Rica
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,18.00,18.00,1,,,,Costa Rica
850131 - - Of an output not exceeding 750 W,,18.00,18.00,2,,,,Costa Rica
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,18.00,18.00,2,,,,Costa Rica
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,14.00,14.00,2,,,,Costa Rica
850134 - - Of an output exceeding 375 kW,,9.33,9.33,3,,,,Costa Rica
"850140 - Other AC motors, single-phase",,16.00,16.00,4,,,,Costa Rica
850151 - - Of an output not exceeding 750 W,,14.00,14.00,3,,,,Costa Rica
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,14.00,14.00,3,,,,Costa Rica
850153 - - Of an output exceeding 75 kW,,10.50,10.50,4,,,,Costa Rica
850161 - - Of an output not exceeding 75 kVA,,14.00,14.00,1,,,,Costa Rica
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,14.00,14.00,1,,,,Costa Rica
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,14.00,14.00,1,,,,Costa Rica
850164 - - Of an output exceeding 750 kVA,,14.00,14.00,1,,,,Costa Rica
850211 - - Of an output not exceeding 75 kVA,,14.00,14.00,2,,,,Costa Rica
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,14.00,14.00,2,,,,Costa Rica
850213 - - Of an output exceeding 375 kVA,,14.00,14.00,3,,,,Costa Rica
850220 - Generating sets with spark-ignition internal combustion piston engines,,9.33,9.33,3,,,,Costa Rica
850231 - - Wind-powered,,0.00,0.00,1,,,,Costa Rica
850239 - - Other,,0.00,0.00,1,,,,Costa Rica
850240 - Electric rotary converters,,14.00,14.00,2,,,,Costa Rica
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,14.00,14.00,2,,,,Costa Rica
850410 - Ballasts for discharge lamps or tubes,,18.00,18.00,1,,,,Costa Rica
850421 - - Having a power handling capacity not exceeding 650 kVA,,14.00,14.00,1,,,,Costa Rica
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,14.00,14.00,1,,,,Costa Rica
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,14.00,14.00,1,,,,Costa Rica
850431 - - Having a power handling capacity not exceeding 1 kVA,,14.40,14.40,5,,,,Costa Rica
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,18.00,18.00,4,,,,Costa Rica
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,14.00,14.00,1,,,,Costa Rica
850434 - - Having a power handling capacity exceeding 500 kVA,,14.00,14.00,1,,,,Costa Rica
850440 - Static converters,,16.22,16.22,9,,,,Costa Rica
850450 - Other inductors,,18.00,18.00,1,,,,Costa Rica
850490 - Parts,,15.20,15.20,5,,,,Costa Rica
850511 - - Of metal,,16.00,16.00,1,,,,Costa Rica
850519 - - Other,,16.00,16.00,2,,,,Costa Rica
"850520 - Electro-magnetic couplings, clutches and brakes",,7.00,7.00,2,,,,Costa Rica
"850590 - Other, including parts",,14.67,14.67,3,,,,Costa Rica
850610 - Manganese dioxide,,16.00,16.00,3,,,,Costa Rica
850630 - Mercuric oxide,,8.00,8.00,2,,,,Costa Rica
850640 - Silver oxide,,8.00,8.00,2,,,,Costa Rica
850650 - Lithium,,8.00,8.00,2,,,,Costa Rica
850660 - Air-zinc,,8.00,8.00,2,,,,Costa Rica
850680 - Other primary cells and primary batteries,,8.00,8.00,2,,,,Costa Rica
850690 - Parts,,14.00,14.00,1,,,,Costa Rica
"850710 - Lead-acid, of a kind used for starting piston engines",,18.00,18.00,2,,,,Costa Rica
850720 - Other lead-acid accumulators,,18.00,18.00,2,,,,Costa Rica
850730 - Nickel-cadmium,,18.00,18.00,3,,,,Costa Rica
850740 - Nickel-iron,,18.00,18.00,1,,,,Costa Rica
850750 - Nickel-metal hydride,,18.00,18.00,1,,,,Costa Rica
850760 - Lithium-ion,,18.00,18.00,1,,,,Costa Rica
850780 - Other accumulators,,18.00,18.00,1,,,,Costa Rica
850790 - Parts,,16.00,16.00,3,,,,Costa Rica
"850811 - - Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,20.00,20.00,1,,,,Costa Rica
850819 - - Other,,20.00,20.00,1,,,,Costa Rica
850860 - Other vacuum cleaners,,14.00,14.00,1,,,,Costa Rica
850870 - Parts,,14.00,14.00,1,,,,Costa Rica
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,20.00,20.00,6,,,,Costa Rica
850980 - Other appliances,,20.00,20.00,2,,,,Costa Rica
850990 - Parts,,16.00,16.00,1,,,,Costa Rica
851010 - Shavers,,20.00,20.00,1,,,,Costa Rica
851020 - Hair clippers,,0.00,0.00,1,,,,Costa Rica
851030 - Hair-removing appliances,,20.00,20.00,1,,,,Costa Rica
851090 - Parts,,11.50,11.50,4,,,,Costa Rica
851110 - Sparking plugs,,18.00,18.00,1,,,,Costa Rica
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,,18.00,18.00,2,,,,Costa Rica
851130 - Distributors; ignition coils,,18.00,18.00,2,,,,Costa Rica
851140 - Starter motors and dual purpose starter-generators,,18.00,18.00,1,,,,Costa Rica
851150 - Other generators,,18.00,18.00,2,,,,Costa Rica
851180 - Other equipment,,17.50,17.50,4,,,,Costa Rica
851190 - Parts,,16.00,16.00,1,,,,Costa Rica
851210 - Lighting or visual signalling equipment of a kind used on bicycles,,18.00,18.00,1,,,,Costa Rica
851220 - Other lighting or visual signalling equipment,,18.00,18.00,6,,,,Costa Rica
851230 - Sound signalling equipment,,18.00,18.00,1,,,,Costa Rica
"851240 - Windscreen wipers, defrosters and demisters",,18.00,18.00,2,,,,Costa Rica
851290 - Parts,,16.00,16.00,1,,,,Costa Rica
851310 - Lamps,,18.00,18.00,2,,,,Costa Rica
851390 - Parts,,16.00,16.00,1,,,,Costa Rica
851410 - Resistance heated furnaces and ovens,,14.00,14.00,2,,,,Costa Rica
851420 - Furnaces and ovens functioning by induction or dielectric loss,,14.00,14.00,3,,,,Costa Rica
851430 - Other furnaces and ovens,,14.00,14.00,5,,,,Costa Rica
851440 - Other equipment for the heat treatment of materials by induction or dielectric loss,,14.00,14.00,1,,,,Costa Rica
851490 - Parts,,14.00,14.00,1,,,,Costa Rica
851511 - - Soldering irons and guns,,14.00,14.00,1,,,,Costa Rica
851519 - - Other,,14.00,14.00,1,,,,Costa Rica
851521 - - Fully or partly automatic,,14.00,14.00,1,,,,Costa Rica
851529 - - Other,,14.00,14.00,1,,,,Costa Rica
851531 - - Fully or partly automatic,,7.00,7.00,2,,,,Costa Rica
851539 - - Other,,14.00,14.00,1,,,,Costa Rica
851580 - Other machines and apparatus,,7.00,7.00,2,,,,Costa Rica
851590 - Parts,,14.00,14.00,1,,,,Costa Rica
851610 - Electric instantaneous or storage water heaters and immersion heaters,,20.00,20.00,1,,,,Costa Rica
851621 - - Storage heating radiators,,20.00,20.00,1,,,,Costa Rica
851629 - - Other,,20.00,20.00,1,,,,Costa Rica
851631 - - Hair dryers,,20.00,20.00,1,,,,Costa Rica
851632 - - Other hair-dressing apparatus,,20.00,20.00,1,,,,Costa Rica
851633 - - Hand-drying apparatus,,20.00,20.00,1,,,,Costa Rica
851640 - Electric smoothing irons,,20.00,20.00,1,,,,Costa Rica
851650 - Microwave ovens,,20.00,20.00,1,,,,Costa Rica
"851660 - Other ovens; cookers, cooking plates, boiling rings, grillers and roasters",,20.00,20.00,1,,,,Costa Rica
851671 - - Coffee or tea makers,,20.00,20.00,1,,,,Costa Rica
851672 - - Toasters,,20.00,20.00,1,,,,Costa Rica
851679 - - Other,,20.00,20.00,3,,,,Costa Rica
851680 - Electric heating resistors,,16.00,16.00,2,,,,Costa Rica
851690 - Parts,,16.00,16.00,1,,,,Costa Rica
851711 - - Line telephone sets with cordless handsets,,20.00,20.00,1,,,,Costa Rica
851712 - - Telephones for cellular networks or for other wireless networks,,10.67,10.67,15,,,,Costa Rica
851718 - - Other,,18.50,18.50,4,,,,Costa Rica
851761 - - Base stations,,6.91,6.91,11,,,,Costa Rica
"851762 - - Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",,11.23,11.23,39,,,,Costa Rica
