Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
India,"26,180,304",,,,,,,"Korea, Republic of"
,2018,,20.00,20.00,55,,,,"Korea, Republic of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,20.00,20.00,4,,,,"Korea, Republic of"
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,"Korea, Republic of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,"Korea, Republic of"
950440 - Playing cards,,20.00,20.00,1,,,,"Korea, Republic of"
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,"Korea, Republic of"
950490 - Other,,20.00,20.00,3,,,,"Korea, Republic of"
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,"Korea, Republic of"
950590 - Other,,20.00,20.00,2,,,,"Korea, Republic of"
950611 - - Skis,,20.00,20.00,1,,,,"Korea, Republic of"
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,"Korea, Republic of"
950619 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
950621 - - Sailboards,,20.00,20.00,1,,,,"Korea, Republic of"
950629 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
"950631 - - Clubs, complete",,20.00,20.00,1,,,,"Korea, Republic of"
950632 - - Balls,,20.00,20.00,1,,,,"Korea, Republic of"
950639 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,"Korea, Republic of"
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,"Korea, Republic of"
950659 - - Other,,20.00,20.00,2,,,,"Korea, Republic of"
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,"Korea, Republic of"
950662 - - Inflatable,,20.00,20.00,4,,,,"Korea, Republic of"
950669 - - Other,,20.00,20.00,5,,,,"Korea, Republic of"
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,"Korea, Republic of"
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,2,,,,"Korea, Republic of"
950699 - - Other,,20.00,20.00,9,,,,"Korea, Republic of"
950710 - Fishing rods,,20.00,20.00,1,,,,"Korea, Republic of"
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,"Korea, Republic of"
950730 - Fishing reels,,20.00,20.00,1,,,,"Korea, Republic of"
950790 - Other,,20.00,20.00,2,,,,"Korea, Republic of"
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,"Korea, Republic of"
950890 - Other,,20.00,20.00,1,,,,"Korea, Republic of"
,2017,,9.09,9.09,55,,,,"Korea, Republic of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,10.00,10.00,4,,,,"Korea, Republic of"
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,"Korea, Republic of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,10.00,10.00,1,,,,"Korea, Republic of"
950440 - Playing cards,,10.00,10.00,1,,,,"Korea, Republic of"
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,10.00,10.00,1,,,,"Korea, Republic of"
950490 - Other,,10.00,10.00,3,,,,"Korea, Republic of"
950510 - Articles for Christmas festivities,,10.00,10.00,1,,,,"Korea, Republic of"
950590 - Other,,10.00,10.00,2,,,,"Korea, Republic of"
950611 - - Skis,,0.00,0.00,1,,,,"Korea, Republic of"
950612 - - Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,"Korea, Republic of"
950619 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
950621 - - Sailboards,,0.00,0.00,1,,,,"Korea, Republic of"
950629 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
"950631 - - Clubs, complete",,10.00,10.00,1,,,,"Korea, Republic of"
950632 - - Balls,,10.00,10.00,1,,,,"Korea, Republic of"
950639 - - Other,,10.00,10.00,1,,,,"Korea, Republic of"
950640 - Articles and equipment for table-tennis,,10.00,10.00,1,,,,"Korea, Republic of"
"950651 - - Lawn-tennis rackets, whether or not strung",,10.00,10.00,1,,,,"Korea, Republic of"
950659 - - Other,,10.00,10.00,2,,,,"Korea, Republic of"
950661 - - Lawn-tennis balls,,10.00,10.00,1,,,,"Korea, Republic of"
950662 - - Inflatable,,10.00,10.00,4,,,,"Korea, Republic of"
950669 - - Other,,10.00,10.00,5,,,,"Korea, Republic of"
"950670 - Ice skates and roller skates, including skating boots with skates attached",,10.00,10.00,1,,,,"Korea, Republic of"
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,10.00,10.00,2,,,,"Korea, Republic of"
950699 - - Other,,10.00,10.00,9,,,,"Korea, Republic of"
950710 - Fishing rods,,10.00,10.00,1,,,,"Korea, Republic of"
"950720 - Fish-hooks, whether or not snelled",,10.00,10.00,1,,,,"Korea, Republic of"
950730 - Fishing reels,,10.00,10.00,1,,,,"Korea, Republic of"
950790 - Other,,10.00,10.00,2,,,,"Korea, Republic of"
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,"Korea, Republic of"
950890 - Other,,10.00,10.00,1,,,,"Korea, Republic of"
,2016,"1,917,583",9.09,9.09,55,,,,"Korea, Republic of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","55,339",10.00,10.00,4,,,,"Korea, Republic of"
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,"Korea, Republic of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,10.00,10.00,1,,,,"Korea, Republic of"
950440 - Playing cards,,10.00,10.00,1,,,,"Korea, Republic of"
"950450 -Video game consoles and machines, other than those of subheading 9504.30",101,10.00,10.00,1,,,,"Korea, Republic of"
950490 - Other,"412,684",10.00,10.00,3,,,,"Korea, Republic of"
950510 - Articles for Christmas festivities,,10.00,10.00,1,,,,"Korea, Republic of"
950590 - Other,,10.00,10.00,2,,,,"Korea, Republic of"
950611 -- Skis,,0.00,0.00,1,,,,"Korea, Republic of"
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,"Korea, Republic of"
950619 -- Other,"10,268",0.00,0.00,1,,,,"Korea, Republic of"
950621 -- Sailboards,,0.00,0.00,1,,,,"Korea, Republic of"
950629 -- Other,"2,296",0.00,0.00,1,,,,"Korea, Republic of"
"950631 -- Clubs, complete",,10.00,10.00,1,,,,"Korea, Republic of"
950632 -- Balls,"11,099",10.00,10.00,1,,,,"Korea, Republic of"
950639 -- Other,,10.00,10.00,1,,,,"Korea, Republic of"
950640 - Articles and equipment for table-tennis,,10.00,10.00,1,,,,"Korea, Republic of"
"950651 -- Lawn-tennis rackets, whether or not strung",,10.00,10.00,1,,,,"Korea, Republic of"
950659 -- Other,,10.00,10.00,2,,,,"Korea, Republic of"
950661 -- Lawn-tennis balls,,10.00,10.00,1,,,,"Korea, Republic of"
950662 -- Inflatable,,10.00,10.00,4,,,,"Korea, Republic of"
950669 -- Other,"38,048",10.00,10.00,5,,,,"Korea, Republic of"
"950670 - Ice skates and roller skates, including skating boots with skates attached","4,099",10.00,10.00,1,,,,"Korea, Republic of"
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",546,10.00,10.00,2,,,,"Korea, Republic of"
950699 -- Other,"624,941",10.00,10.00,9,,,,"Korea, Republic of"
950710 - Fishing rods,,10.00,10.00,1,,,,"Korea, Republic of"
"950720 - Fish-hooks, whether or not snelled","102,126",10.00,10.00,1,,,,"Korea, Republic of"
950730 - Fishing reels,,10.00,10.00,1,,,,"Korea, Republic of"
950790 - Other,"39,543",10.00,10.00,2,,,,"Korea, Republic of"
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,"Korea, Republic of"
950890 - Other,"616,493",10.00,10.00,1,,,,"Korea, Republic of"
,2015,"1,265,824",9.07,9.07,55,1,,,"Korea, Republic of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","55,379",10.00,10.00,4,,,,"Korea, Republic of"
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,"Korea, Republic of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","4,191",10.00,10.00,1,,,,"Korea, Republic of"
950440 - Playing cards,18,10.00,10.00,1,,,,"Korea, Republic of"
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,10.00,10.00,1,,,,"Korea, Republic of"
950490 - Other,"234,976",10.00,10.00,3,1,,,"Korea, Republic of"
950510 - Articles for Christmas festivities,,10.00,10.00,1,,,,"Korea, Republic of"
950590 - Other,615,10.00,10.00,2,,,,"Korea, Republic of"
950611 -- Skis,,0.00,0.00,1,,,,"Korea, Republic of"
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,"Korea, Republic of"
950619 -- Other,,0.00,0.00,1,,,,"Korea, Republic of"
950621 -- Sailboards,,0.00,0.00,1,,,,"Korea, Republic of"
950629 -- Other,119,0.00,0.00,1,,,,"Korea, Republic of"
"950631 -- Clubs, complete",,10.00,10.00,1,,,,"Korea, Republic of"
950632 -- Balls,,10.00,10.00,1,,,,"Korea, Republic of"
950639 -- Other,,10.00,10.00,1,,,,"Korea, Republic of"
950640 - Articles and equipment for table-tennis,386,10.00,10.00,1,,,,"Korea, Republic of"
"950651 -- Lawn-tennis rackets, whether or not strung",,10.00,10.00,1,,,,"Korea, Republic of"
950659 -- Other,,10.00,10.00,2,,,,"Korea, Republic of"
950661 -- Lawn-tennis balls,,10.00,10.00,1,,,,"Korea, Republic of"
950662 -- Inflatable,"1,452",10.00,10.00,4,,,,"Korea, Republic of"
950669 -- Other,"29,902",10.00,10.00,5,,,,"Korea, Republic of"
"950670 - Ice skates and roller skates, including skating boots with skates attached",,10.00,10.00,1,,,,"Korea, Republic of"
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","133,836",10.00,10.00,2,,,,"Korea, Republic of"
950699 -- Other,"476,349",10.00,10.00,9,,,,"Korea, Republic of"
950710 - Fishing rods,,10.00,10.00,1,,,,"Korea, Republic of"
"950720 - Fish-hooks, whether or not snelled","41,242",10.00,10.00,1,,,,"Korea, Republic of"
950730 - Fishing reels,,10.00,10.00,1,,,,"Korea, Republic of"
950790 - Other,"70,419",10.00,10.00,2,,,,"Korea, Republic of"
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,"Korea, Republic of"
950890 - Other,"216,940",10.00,10.00,1,,,,"Korea, Republic of"
,2014,"1,011,896",9.09,9.09,55,,,,"Korea, Republic of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","39,331",10.00,10.00,4,,,,"Korea, Republic of"
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,"Korea, Republic of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","30,870",10.00,10.00,1,,,,"Korea, Republic of"
950440 - Playing cards,72,10.00,10.00,1,,,,"Korea, Republic of"
"950450 -Video game consoles and machines, other than those of subheading 9504.30","194,463",10.00,10.00,1,,,,"Korea, Republic of"
950490 - Other,"74,180",10.00,10.00,3,,,,"Korea, Republic of"
950510 - Articles for Christmas festivities,"8,614",10.00,10.00,1,,,,"Korea, Republic of"
950590 - Other,,10.00,10.00,2,,,,"Korea, Republic of"
950611 -- Skis,,0.00,0.00,1,,,,"Korea, Republic of"
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,"Korea, Republic of"
950619 -- Other,,0.00,0.00,1,,,,"Korea, Republic of"
950621 -- Sailboards,,0.00,0.00,1,,,,"Korea, Republic of"
950629 -- Other,,0.00,0.00,1,,,,"Korea, Republic of"
"950631 -- Clubs, complete",,10.00,10.00,1,,,,"Korea, Republic of"
950632 -- Balls,40,10.00,10.00,1,,,,"Korea, Republic of"
950639 -- Other,678,10.00,10.00,1,,,,"Korea, Republic of"
950640 - Articles and equipment for table-tennis,,10.00,10.00,1,,,,"Korea, Republic of"
"950651 -- Lawn-tennis rackets, whether or not strung",,10.00,10.00,1,,,,"Korea, Republic of"
950659 -- Other,,10.00,10.00,2,,,,"Korea, Republic of"
950661 -- Lawn-tennis balls,,10.00,10.00,1,,,,"Korea, Republic of"
950662 -- Inflatable,74,10.00,10.00,4,,,,"Korea, Republic of"
950669 -- Other,"65,918",10.00,10.00,5,,,,"Korea, Republic of"
"950670 - Ice skates and roller skates, including skating boots with skates attached","4,092",10.00,10.00,1,,,,"Korea, Republic of"
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","23,675",10.00,10.00,2,,,,"Korea, Republic of"
950699 -- Other,"295,146",10.00,10.00,9,,,,"Korea, Republic of"
950710 - Fishing rods,616,10.00,10.00,1,,,,"Korea, Republic of"
"950720 - Fish-hooks, whether or not snelled","233,144",10.00,10.00,1,,,,"Korea, Republic of"
950730 - Fishing reels,"1,234",10.00,10.00,1,,,,"Korea, Republic of"
950790 - Other,"21,275",10.00,10.00,2,,,,"Korea, Republic of"
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,"Korea, Republic of"
950890 - Other,"18,474",10.00,10.00,1,,,,"Korea, Republic of"
,2013,"1,028,482",9.09,9.09,55,,,,"Korea, Republic of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","66,023",10.00,10.00,4,,,,"Korea, Republic of"
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,"Korea, Republic of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,10.00,10.00,1,,,,"Korea, Republic of"
950440 - Playing cards,,10.00,10.00,1,,,,"Korea, Republic of"
"950450 -Video game consoles and machines, other than those of subheading 9504.30","94,698",10.00,10.00,1,,,,"Korea, Republic of"
950490 - Other,"77,744",10.00,10.00,3,,,,"Korea, Republic of"
950510 - Articles for Christmas festivities,,10.00,10.00,1,,,,"Korea, Republic of"
950590 - Other,"3,279",10.00,10.00,2,,,,"Korea, Republic of"
950611 -- Skis,,0.00,0.00,1,,,,"Korea, Republic of"
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,"Korea, Republic of"
950619 -- Other,,0.00,0.00,1,,,,"Korea, Republic of"
950621 -- Sailboards,,0.00,0.00,1,,,,"Korea, Republic of"
950629 -- Other,,0.00,0.00,1,,,,"Korea, Republic of"
"950631 -- Clubs, complete",,10.00,10.00,1,,,,"Korea, Republic of"
950632 -- Balls,"5,851",10.00,10.00,1,,,,"Korea, Republic of"
950639 -- Other,"34,696",10.00,10.00,1,,,,"Korea, Republic of"
950640 - Articles and equipment for table-tennis,,10.00,10.00,1,,,,"Korea, Republic of"
"950651 -- Lawn-tennis rackets, whether or not strung",,10.00,10.00,1,,,,"Korea, Republic of"
950659 -- Other,"24,188",10.00,10.00,2,,,,"Korea, Republic of"
950661 -- Lawn-tennis balls,,10.00,10.00,1,,,,"Korea, Republic of"
950662 -- Inflatable,,10.00,10.00,4,,,,"Korea, Republic of"
950669 -- Other,"25,643",10.00,10.00,5,,,,"Korea, Republic of"
"950670 - Ice skates and roller skates, including skating boots with skates attached",,10.00,10.00,1,,,,"Korea, Republic of"
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","320,157",10.00,10.00,2,,,,"Korea, Republic of"
950699 -- Other,"279,150",10.00,10.00,9,,,,"Korea, Republic of"
950710 - Fishing rods,"1,951",10.00,10.00,1,,,,"Korea, Republic of"
"950720 - Fish-hooks, whether or not snelled","37,280",10.00,10.00,1,,,,"Korea, Republic of"
950730 - Fishing reels,"8,870",10.00,10.00,1,,,,"Korea, Republic of"
950790 - Other,"42,249",10.00,10.00,2,,,,"Korea, Republic of"
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,"Korea, Republic of"
950890 - Other,"6,703",10.00,10.00,1,,,,"Korea, Republic of"
,2012,"2,031,503",9.09,9.09,55,,,,"Korea, Republic of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","71,417",10.00,10.00,4,,,,"Korea, Republic of"
950420 - Articles and accessories for billiards of all kinds,"15,475",10.00,10.00,1,,,,"Korea, Republic of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","4,916",10.00,10.00,1,,,,"Korea, Republic of"
950440 - Playing cards,,10.00,10.00,1,,,,"Korea, Republic of"
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,10.00,10.00,1,,,,"Korea, Republic of"
950490 - Other,"349,432",10.00,10.00,3,,,,"Korea, Republic of"
950510 - Articles for Christmas festivities,,10.00,10.00,1,,,,"Korea, Republic of"
950590 - Other,"51,210",10.00,10.00,2,,,,"Korea, Republic of"
950611 -- Skis,,0.00,0.00,1,,,,"Korea, Republic of"
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,"Korea, Republic of"
950619 -- Other,,0.00,0.00,1,,,,"Korea, Republic of"
950621 -- Sailboards,,0.00,0.00,1,,,,"Korea, Republic of"
950629 -- Other,"8,001",0.00,0.00,1,,,,"Korea, Republic of"
"950631 -- Clubs, complete",,10.00,10.00,1,,,,"Korea, Republic of"
950632 -- Balls,"23,364",10.00,10.00,1,,,,"Korea, Republic of"
950639 -- Other,"30,835",10.00,10.00,1,,,,"Korea, Republic of"
950640 - Articles and equipment for table-tennis,132,10.00,10.00,1,,,,"Korea, Republic of"
"950651 -- Lawn-tennis rackets, whether or not strung",,10.00,10.00,1,,,,"Korea, Republic of"
950659 -- Other,,10.00,10.00,2,,,,"Korea, Republic of"
950661 -- Lawn-tennis balls,,10.00,10.00,1,,,,"Korea, Republic of"
950662 -- Inflatable,212,10.00,10.00,4,,,,"Korea, Republic of"
950669 -- Other,"9,806",10.00,10.00,5,,,,"Korea, Republic of"
"950670 - Ice skates and roller skates, including skating boots with skates attached",,10.00,10.00,1,,,,"Korea, Republic of"
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","634,825",10.00,10.00,2,,,,"Korea, Republic of"
950699 -- Other,"287,601",10.00,10.00,9,,,,"Korea, Republic of"
950710 - Fishing rods,"1,927",10.00,10.00,1,,,,"Korea, Republic of"
"950720 - Fish-hooks, whether or not snelled","93,114",10.00,10.00,1,,,,"Korea, Republic of"
