Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
European Union,"5,511,500",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,5.34,5.34,171,162,,,"Saudi Arabia, Kingdom of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,"Saudi Arabia, Kingdom of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,"Saudi Arabia, Kingdom of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,"Saudi Arabia, Kingdom of"
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,"Saudi Arabia, Kingdom of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,"Saudi Arabia, Kingdom of"
040221 - - Not containing added sugar or other sweetening matter,,,,4,4,,,"Saudi Arabia, Kingdom of"
040229 - - Other,,,,5,5,,,"Saudi Arabia, Kingdom of"
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,"Saudi Arabia, Kingdom of"
040299 - - Other,,,,5,5,,,"Saudi Arabia, Kingdom of"
040310 - Yogurt,,,,12,12,,,"Saudi Arabia, Kingdom of"
040390 - Other,,,,18,18,,,"Saudi Arabia, Kingdom of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,"Saudi Arabia, Kingdom of"
040490 - Other,,,,6,6,,,"Saudi Arabia, Kingdom of"
040510 - Butter,,,,5,5,,,"Saudi Arabia, Kingdom of"
040520 - Dairy spreads,,,,3,3,,,"Saudi Arabia, Kingdom of"
040590 - Other,,,,2,2,,,"Saudi Arabia, Kingdom of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,"Saudi Arabia, Kingdom of"
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,"Saudi Arabia, Kingdom of"
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,"Saudi Arabia, Kingdom of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,"Saudi Arabia, Kingdom of"
040690 - Other cheese,,,,32,32,,,"Saudi Arabia, Kingdom of"
040711 - - Of fowls of the species Gallus domesticus,,,,1,1,,,"Saudi Arabia, Kingdom of"
040719 - - Other,,7.70,7.70,3,2,,,"Saudi Arabia, Kingdom of"
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,"Saudi Arabia, Kingdom of"
040729 - - Other,,7.70,7.70,2,1,,,"Saudi Arabia, Kingdom of"
040790 - Others,,7.70,7.70,2,1,,,"Saudi Arabia, Kingdom of"
040811 - - Dried,,0.00,0.00,2,1,,,"Saudi Arabia, Kingdom of"
040819 - - Other,,0.00,0.00,3,2,,,"Saudi Arabia, Kingdom of"
040891 - - Dried,,0.00,0.00,2,1,,,"Saudi Arabia, Kingdom of"
040899 - - Other,,0.00,0.00,2,1,,,"Saudi Arabia, Kingdom of"
040900 Natural honey.,,17.30,17.30,1,,,,"Saudi Arabia, Kingdom of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,"Saudi Arabia, Kingdom of"
,2017,"34,292",5.34,5.34,171,162,,,"Saudi Arabia, Kingdom of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,"Saudi Arabia, Kingdom of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",868,,,4,4,,,"Saudi Arabia, Kingdom of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,"Saudi Arabia, Kingdom of"
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,"Saudi Arabia, Kingdom of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",438,,,4,4,,,"Saudi Arabia, Kingdom of"
040221 - - Not containing added sugar or other sweetening matter,,,,4,4,,,"Saudi Arabia, Kingdom of"
040229 - - Other,,,,5,5,,,"Saudi Arabia, Kingdom of"
