Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
European Union,"5,683,143,563",,,,,,,China
,2018,,6.67,6.67,125,24,,,China
080111 - - Desiccated,,0.00,0.00,1,,,,China
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,China
080119 - - Other,,0.00,0.00,1,,,,China
080121 - - In shell,,0.00,0.00,1,,,,China
080122 - - Shelled,,0.00,0.00,1,,,,China
080131 - - In shell,,0.00,0.00,1,,,,China
080132 - - Shelled,,0.00,0.00,1,,,,China
080211 - - In shell,,2.80,2.80,2,,,,China
080212 - - Shelled,,1.75,1.75,2,,,,China
080221 - - In shell,,3.20,3.20,1,,,,China
080222 - - Shelled,,3.20,3.20,1,,,,China
080231 - - In shell,,4.00,4.00,1,,,,China
080232 - - Shelled,,5.10,5.10,1,,,,China
080241 - - In shell,,5.60,5.60,1,,,,China
080242 - - Shelled,,5.60,5.60,1,,,,China
080251 - - In shell,,1.60,1.60,1,,,,China
080252 - - Shelled,,1.60,1.60,1,,,,China
080261 - - In shell,,2.00,2.00,1,,,,China
080262 - - Shelled,,2.00,2.00,1,,,,China
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,China
080280 - Areca nuts,,0.00,0.00,1,,,,China
080290 - Other,,1.33,1.33,3,,,,China
080310 - Plantains,,16.00,16.00,2,,,,China
080390 - Other,,16.00,16.00,2,1,,,China
080410 - Dates,,7.70,7.70,1,,,,China
080420 - Figs,,6.80,6.80,2,,,,China
080430 - Pineapples,,5.80,5.80,1,,,,China
080440 - Avocados,,4.00,4.00,1,,,,China
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,China
080510 - Oranges,,16.00,16.00,4,3,,,China
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,China
080522 - - Clementines,,,,1,1,,,China
080529 - - Other,,,,1,1,,,China
"080540 - Grapefruit, including pomelos",,1.50,1.50,1,,,,China
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,12.80,2,1,,,China
080590 - Other,,12.80,12.80,1,,,,China
080610 - Fresh,,14.40,14.40,2,1,,,China
080620 - Dried,,2.40,2.40,3,,,,China
080711 - - Watermelons,,8.80,8.80,1,,,,China
080719 - - Other,,8.80,8.80,1,,,,China
080720 - Papaws (papayas),,0.00,0.00,1,,,,China
