Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
India,"231,336,732",,,,,,,European Union
,2018,,25.00,25.00,191,60,,,European Union
610120 - Of cotton,,,,1,1,,,European Union
610130 - Of man-made fibres,,,,2,2,,,European Union
610190 - Of other textile materials,,25.00,25.00,2,,,,European Union
610210 - Of wool or fine animal hair,,,,1,1,,,European Union
610220 - Of cotton,,,,1,1,,,European Union
610230 - Of man-made fibres,,,,2,2,,,European Union
610290 - Of other textile materials,,25.00,25.00,2,,,,European Union
610310 - Suits,,25.00,25.00,4,,,,European Union
610322 - - Of cotton,,25.00,25.00,1,,,,European Union
610323 - - Of synthetic fibres,,25.00,25.00,1,,,,European Union
610329 - - Of other textile materials,,25.00,25.00,3,,,,European Union
610331 - - Of wool or fine animal hair,,25.00,25.00,1,,,,European Union
610332 - - Of cotton,,25.00,25.00,1,,,,European Union
610333 - - Of synthetic fibres,,25.00,25.00,1,,,,European Union
610339 - - Of other textile materials,,25.00,25.00,3,,,,European Union
610341 - - Of wool or fine animal hair,,25.00,25.00,1,,,,European Union
610342 - - Of cotton,,25.00,25.00,1,,,,European Union
610343 - - Of synthetic fibres,,25.00,25.00,1,,,,European Union
610349 - - Of other textile materials,,25.00,25.00,3,,,,European Union
610413 - - Of synthetic fibres,,25.00,25.00,1,,,,European Union
610419 - - Of other textile materials,,,,3,3,,,European Union
610422 - - Of cotton,,25.00,25.00,1,,,,European Union
610423 - - Of synthetic fibres,,25.00,25.00,1,,,,European Union
610429 - - Of other textile materials,,25.00,25.00,3,,,,European Union
610431 - - Of wool or fine animal hair,,25.00,25.00,1,,,,European Union
610432 - - Of cotton,,25.00,25.00,1,,,,European Union
610433 - - Of synthetic fibres,,25.00,25.00,1,,,,European Union
610439 - - Of other textile materials,,25.00,25.00,3,,,,European Union
610441 - - Of wool or fine animal hair,,,,1,1,,,European Union
610442 - - Of cotton,,25.00,25.00,1,,,,European Union
610443 - - Of synthetic fibres,,,,1,1,,,European Union
610444 - - Of artificial fibres,,,,1,1,,,European Union
610449 - - Of other textile materials,,,,2,2,,,European Union
610451 - - Of wool or fine animal hair,,,,1,1,,,European Union
610452 - - Of cotton,,,,1,1,,,European Union
610453 - - Of synthetic fibres,,,,1,1,,,European Union
610459 - - Of other textile materials,,,,3,3,,,European Union
610461 - - Of wool or fine animal hair,,25.00,25.00,1,,,,European Union
610462 - - Of cotton,,,,1,1,,,European Union
610463 - - Of synthetic fibres,,,,1,1,,,European Union
610469 - - Of other textile materials,,25.00,25.00,3,,,,European Union
610510 - Of cotton,,,,3,3,,,European Union
610520 - Of man-made fibres,,,,2,2,,,European Union
610590 - Of other textile materials,,,,2,2,,,European Union
610610 - Of cotton,,,,1,1,,,European Union
610620 - Of man-made fibres,,,,2,2,,,European Union
610690 - Of other textile materials,,,,3,3,,,European Union
610711 - - Of cotton,,,,1,1,,,European Union
610712 - - Of man-made fibres,,,,2,2,,,European Union
610719 - - Of other textile materials,,25.00,25.00,2,,,,European Union
610721 - - Of cotton,,25.00,25.00,1,,,,European Union
610722 - - Of man-made fibres,,25.00,25.00,2,,,,European Union
610729 - - Of other textile materials,,25.00,25.00,3,,,,European Union
610791 - - Of cotton,,25.00,25.00,2,,,,European Union
610799 - - Of other textile materials,,25.00,25.00,3,,,,European Union
610811 - - Of man-made fibres,,25.00,25.00,2,,,,European Union
610819 - - Of other textile materials,,25.00,25.00,3,,,,European Union
610821 - - Of cotton,,,,1,1,,,European Union
610822 - - Of man-made fibres,,,,2,2,,,European Union
610829 - - Of other textile materials,,25.00,25.00,2,,,,European Union
610831 - - Of cotton,,25.00,25.00,1,,,,European Union
610832 - - Of man-made fibres,,25.00,25.00,2,,,,European Union
610839 - - Of other textile materials,,25.00,25.00,2,,,,European Union
610891 - - Of cotton,,,,1,1,,,European Union
610892 - - Of man-made fibres,,,,2,2,,,European Union
610899 - - Of other textile materials,,25.00,25.00,3,,,,European Union
610910 - Of cotton,,,,1,1,,,European Union
610990 - Of other textile materials,,,,5,5,,,European Union
611011 - - Of wool,,,,3,3,,,European Union
611012 - - Of Kashmir (cashmere) goats,,,,1,1,,,European Union
611019 - - Other,,,,1,1,,,European Union
611020 - Of cotton,,,,1,1,,,European Union
611030 - Of man-made fibres,,,,2,2,,,European Union
611090 - Of other textile materials,,,,1,1,,,European Union
611120 - Of cotton,,25.00,25.00,1,,,,European Union
611130 - Of synthetic fibres,,25.00,25.00,1,,,,European Union
611190 - Of other textile materials,,25.00,25.00,3,,,,European Union
611211 - - Of cotton,,25.00,25.00,1,,,,European Union
611212 - - Of synthetic fibres,,25.00,25.00,1,,,,European Union
611219 - - Of other textile materials,,25.00,25.00,4,,,,European Union
611220 - Ski suits,,25.00,25.00,6,,,,European Union
611231 - - Of synthetic fibres,,25.00,25.00,1,,,,European Union
611239 - - Of other textile materials,,25.00,25.00,3,,,,European Union
611241 - - Of synthetic fibres,,25.00,25.00,1,,,,European Union
611249 - - Of other textile materials,,25.00,25.00,3,,,,European Union
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,25.00,25.00,1,,,,European Union
611420 - Of cotton,,25.00,25.00,1,,,,European Union
611430 - Of man-made fibres,,25.00,25.00,2,,,,European Union
611490 - Of other textile materials,,25.00,25.00,2,,,,European Union
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,25.00,25.00,1,,,,European Union
"611521 - - Of synthetic fibres, measuring per single yarn less than 67 decitex",,25.00,25.00,1,,,,European Union
"611522 - - Of synthetic fibres, measuring per single yarn 67 decitex or more",,25.00,25.00,1,,,,European Union
611529 - - Of other textile materials,,25.00,25.00,4,,,,European Union
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,25.00,25.00,1,,,,European Union
611594 - - Of wool or fine animal hair,,25.00,25.00,1,,,,European Union
611595 - - Of cotton,,25.00,25.00,1,,,,European Union
611596 - - Of synthetic fibres,,25.00,25.00,1,,,,European Union
611599 - - Of other textile materials,,25.00,25.00,2,,,,European Union
"611610 - Impregnated, coated or covered with plastics or rubber",,25.00,25.00,1,,,,European Union
611691 - - Of wool or fine animal hair,,25.00,25.00,1,,,,European Union
611692 - - Of cotton,,25.00,25.00,1,,,,European Union
611693 - - Of synthetic fibres,,25.00,25.00,1,,,,European Union
611699 - - Of other textile materials,,25.00,25.00,2,,,,European Union
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,25.00,25.00,5,,,,European Union
611780 - Other accessories,,25.00,25.00,5,,,,European Union
611790 - Parts,,25.00,25.00,1,,,,European Union
,2017,,10.00,10.00,191,60,,,European Union
610120 - Of cotton,,,,1,1,,,European Union
610130 - Of man-made fibres,,,,2,2,,,European Union
610190 - Of other textile materials,,10.00,10.00,2,,,,European Union
610210 - Of wool or fine animal hair,,,,1,1,,,European Union
610220 - Of cotton,,,,1,1,,,European Union
610230 - Of man-made fibres,,,,2,2,,,European Union
610290 - Of other textile materials,,10.00,10.00,2,,,,European Union
610310 - Suits,,10.00,10.00,4,,,,European Union
610322 - - Of cotton,,10.00,10.00,1,,,,European Union
610323 - - Of synthetic fibres,,10.00,10.00,1,,,,European Union
610329 - - Of other textile materials,,10.00,10.00,3,,,,European Union
610331 - - Of wool or fine animal hair,,10.00,10.00,1,,,,European Union
610332 - - Of cotton,,10.00,10.00,1,,,,European Union
610333 - - Of synthetic fibres,,10.00,10.00,1,,,,European Union
610339 - - Of other textile materials,,10.00,10.00,3,,,,European Union
610341 - - Of wool or fine animal hair,,10.00,10.00,1,,,,European Union
610342 - - Of cotton,,10.00,10.00,1,,,,European Union
610343 - - Of synthetic fibres,,10.00,10.00,1,,,,European Union
610349 - - Of other textile materials,,10.00,10.00,3,,,,European Union
610413 - - Of synthetic fibres,,10.00,10.00,1,,,,European Union
610419 - - Of other textile materials,,,,3,3,,,European Union
610422 - - Of cotton,,10.00,10.00,1,,,,European Union
610423 - - Of synthetic fibres,,10.00,10.00,1,,,,European Union
610429 - - Of other textile materials,,10.00,10.00,3,,,,European Union
610431 - - Of wool or fine animal hair,,10.00,10.00,1,,,,European Union
610432 - - Of cotton,,10.00,10.00,1,,,,European Union
610433 - - Of synthetic fibres,,10.00,10.00,1,,,,European Union
610439 - - Of other textile materials,,10.00,10.00,3,,,,European Union
610441 - - Of wool or fine animal hair,,,,1,1,,,European Union
610442 - - Of cotton,,10.00,10.00,1,,,,European Union
610443 - - Of synthetic fibres,,,,1,1,,,European Union
610444 - - Of artificial fibres,,,,1,1,,,European Union
610449 - - Of other textile materials,,,,2,2,,,European Union
610451 - - Of wool or fine animal hair,,,,1,1,,,European Union
610452 - - Of cotton,,,,1,1,,,European Union
610453 - - Of synthetic fibres,,,,1,1,,,European Union
610459 - - Of other textile materials,,,,3,3,,,European Union
610461 - - Of wool or fine animal hair,,10.00,10.00,1,,,,European Union
610462 - - Of cotton,,,,1,1,,,European Union
