Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,8.21,21,9,2,,Armenia
"040620 - Grated or powdered cheese, of all kinds",,12.84,12.33,38,14,1,,Armenia
"040630 - Processed cheese, not grated or powdered",,12.50,12.50,36,15,,,Armenia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Armenia
040690 - Other cheese,"99,498",11.66,11.21,50,16,1,,Armenia
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Armenia
040719 -- Other,,,0.00,1,1,1,,Armenia
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Armenia
040729 -- Other,,,0.00,1,1,1,,Armenia
040790 - Others,,,0.00,1,1,1,,Armenia
040811 -- Dried,,,,1,1,,,Armenia
040819 -- Other,,,,1,1,,,Armenia
040891 -- Dried,,,,1,1,,,Armenia
040899 -- Other,,,,1,1,,,Armenia
040900 Natural honey.,"20,040",,,1,1,,,Armenia
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Armenia
,2012,"273,490",12.14,11.13,258,133,13,,Armenia
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Armenia
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Armenia
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Armenia
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Armenia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Armenia
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Armenia
040229 -- Other,,17.50,17.50,3,1,,,Armenia
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Armenia
040299 -- Other,,17.50,17.50,9,7,,,Armenia
040310 - Yogurt,,19.00,19.00,4,1,,,Armenia
040390 - Other,,19.00,19.00,20,17,,,Armenia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Armenia
040490 - Other,,12.50,9.38,5,2,1,,Armenia
040510 - Butter,,,,3,3,,,Armenia
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Armenia
040590 - Other,,10.00,10.00,3,1,,,Armenia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.74,8.07,21,9,2,,Armenia
"040620 - Grated or powdered cheese, of all kinds",,12.46,12.10,38,13,1,,Armenia
"040630 - Processed cheese, not grated or powdered",,12.32,12.32,36,13,,,Armenia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,12.12,12.12,9,1,,,Armenia
040690 - Other cheese,"190,906",11.58,11.18,50,15,1,,Armenia
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Armenia
040719 -- Other,,,0.00,1,1,1,,Armenia
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Armenia
040729 -- Other,,,0.00,1,1,1,,Armenia
040790 - Others,,,0.00,1,1,1,,Armenia
040811 -- Dried,,,,1,1,,,Armenia
040819 -- Other,,,,1,1,,,Armenia
040891 -- Dried,,,,1,1,,,Armenia
040899 -- Other,,,,1,1,,,Armenia
040900 Natural honey.,"82,584",,,1,1,,,Armenia
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Armenia
,2011,"525,432",12.38,11.66,251,126,9,,Armenia
"040110 - Of a fat content, by weight, not exceeding 1%",,,,1,1,,,Armenia
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,2,2,,,Armenia
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Armenia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,3,3,,,Armenia
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Armenia
040229 -- Other,,17.50,17.50,3,1,,,Armenia
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Armenia
040299 -- Other,,17.50,17.50,9,7,,,Armenia
040310 - Yogurt,,19.00,19.00,4,1,,,Armenia
040390 - Other,,19.00,19.00,20,17,,,Armenia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Armenia
040490 - Other,,12.50,9.38,5,2,1,,Armenia
040510 - Butter,,,,3,3,,,Armenia
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Armenia
040590 - Other,,10.00,10.00,3,1,,,Armenia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,8.21,21,9,2,,Armenia
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.33,38,13,1,,Armenia
"040630 - Processed cheese, not grated or powdered",,12.54,12.54,36,13,,,Armenia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Armenia
040690 - Other cheese,"401,210",11.61,11.18,50,15,1,,Armenia
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,,0.00,1,1,1,,Armenia
040811 -- Dried,,,,1,1,,,Armenia
040819 -- Other,,,,1,1,,,Armenia
040891 -- Dried,,,,1,1,,,Armenia
040899 -- Other,,,,1,1,,,Armenia
040900 Natural honey.,"124,222",,,1,1,,,Armenia
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Armenia
,2010,"337,094",12.25,11.54,251,126,13,4,Armenia
"040110 - Of a fat content, by weight, not exceeding 1%",,,,1,1,,,Armenia
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,2,2,,,Armenia
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Armenia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,3,3,,,Armenia
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Armenia
040229 -- Other,,17.50,17.50,3,1,,,Armenia
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Armenia
040299 -- Other,,17.50,17.50,9,7,,,Armenia
040310 - Yogurt,,19.00,19.00,4,1,,,Armenia
040390 - Other,,19.00,19.00,20,17,,,Armenia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Armenia
040490 - Other,,12.50,9.38,5,2,1,,Armenia
040510 - Butter,,,,3,3,,,Armenia
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Armenia
040590 - Other,,10.00,10.00,3,1,,,Armenia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,8.21,21,9,2,,Armenia
"040620 - Grated or powdered cheese, of all kinds",,12.76,12.16,38,13,3,2,Armenia
"040630 - Processed cheese, not grated or powdered",,12.45,12.45,36,13,1,1,Armenia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Armenia
040690 - Other cheese,"312,524",11.33,10.91,50,15,2,1,Armenia
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,,0.00,1,1,1,,Armenia
040811 -- Dried,,,,1,1,,,Armenia
040819 -- Other,,,,1,1,,,Armenia
040891 -- Dried,,,,1,1,,,Armenia
040899 -- Other,,,,1,1,,,Armenia
040900 Natural honey.,"24,570",,,1,1,,,Armenia
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Armenia
,2009,"424,061",12.38,11.66,251,126,9,,Armenia
"040110 - Of a fat content, by weight, not exceeding 1%",,,,1,1,,,Armenia
