Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
European Union,"10,091,159",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,2.14,2.14,63,,,,"Saudi Arabia, Kingdom of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,1.98,19,,,,"Saudi Arabia, Kingdom of"
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,"Saudi Arabia, Kingdom of"
950440 - Playing cards,,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950490 - Other,,0.00,0.00,2,,,,"Saudi Arabia, Kingdom of"
950510 - Articles for Christmas festivities,,1.35,1.35,2,,,,"Saudi Arabia, Kingdom of"
950590 - Other,,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
950611 - - Skis,,3.70,3.70,4,,,,"Saudi Arabia, Kingdom of"
950612 - - Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,"Saudi Arabia, Kingdom of"
950619 - - Other,,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
950621 - - Sailboards,,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
950629 - - Other,,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"950631 - - Clubs, complete",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
950632 - - Balls,,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
