Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
Brazil,"407,787,699",,,,,,,United States of America
,2018,,16.29,16.29,48,,,,United States of America
"040110 - Of a fat content, by weight, not exceeding 1 %",,13.00,13.00,2,,,,United States of America
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,13.00,13.00,2,,,,United States of America
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,12.67,12.67,3,,,,United States of America
"040150 - Of a fat content, by weight, exceeding 10 %",,12.67,12.67,3,,,,United States of America
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,28.00,28.00,2,,,,United States of America
040221 - - Not containing added sugar or other sweetening matter,,24.00,24.00,3,,,,United States of America
040229 - - Other,,24.00,24.00,3,,,,United States of America
040291 - - Not containing added sugar or other sweetening matter,,14.00,14.00,1,,,,United States of America
040299 - - Other,,28.00,28.00,1,,,,United States of America
040310 - Yogurt,,16.00,16.00,1,,,,United States of America
040390 - Other,,16.00,16.00,1,,,,United States of America
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,28.00,28.00,1,,,,United States of America
040490 - Other,,14.00,14.00,1,,,,United States of America
040510 - Butter,,16.00,16.00,1,,,,United States of America
040520 - Dairy spreads,,16.00,16.00,1,,,,United States of America
040590 - Other,,16.00,16.00,2,,,,United States of America
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,22.00,22.00,2,,,,United States of America
"040620 - Grated or powdered cheese, of all kinds",,16.00,16.00,1,,,,United States of America
"040630 - Processed cheese, not grated or powdered",,16.00,16.00,1,,,,United States of America
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,16.00,16.00,1,,,,United States of America
040690 - Other cheese,,22.00,22.00,4,,,,United States of America
040711 - - Of fowls of the species Gallus domesticus,,0.00,0.00,1,,,,United States of America
040719 - - Other,,0.00,0.00,1,,,,United States of America
040721 - - Of fowls of the species Gallus domesticus,,8.00,8.00,1,,,,United States of America
040729 - - Other,,8.00,8.00,1,,,,United States of America
040790 - Others,,8.00,8.00,1,,,,United States of America
040811 - - Dried,,10.00,10.00,1,,,,United States of America
040819 - - Other,,10.00,10.00,1,,,,United States of America
040891 - - Dried,,10.00,10.00,1,,,,United States of America
040899 - - Other,,10.00,10.00,1,,,,United States of America
040900 Natural honey.,,16.00,16.00,1,,,,United States of America
"041000 Edible products of animal origin, not elsewhere specified or included.",,14.00,14.00,1,,,,United States of America
,2017,"30,942,180",16.29,16.29,48,,,,United States of America
"040110 - Of a fat content, by weight, not exceeding 1 %",,13.00,13.00,2,,,,United States of America
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,13.00,13.00,2,,,,United States of America
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,12.67,12.67,3,,,,United States of America
"040150 - Of a fat content, by weight, exceeding 10 %",,12.67,12.67,3,,,,United States of America
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","7,996,289",28.00,28.00,2,,,,United States of America
040221 - - Not containing added sugar or other sweetening matter,,24.00,24.00,3,,,,United States of America
040229 - - Other,,24.00,24.00,3,,,,United States of America
040291 - - Not containing added sugar or other sweetening matter,,14.00,14.00,1,,,,United States of America
040299 - - Other,,28.00,28.00,1,,,,United States of America
040310 - Yogurt,,16.00,16.00,1,,,,United States of America
040390 - Other,,16.00,16.00,1,,,,United States of America
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter","64,568",28.00,28.00,1,,,,United States of America
040490 - Other,"1,111,982",14.00,14.00,1,,,,United States of America
040510 - Butter,,16.00,16.00,1,,,,United States of America
040520 - Dairy spreads,,16.00,16.00,1,,,,United States of America
040590 - Other,,16.00,16.00,2,,,,United States of America
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","666,782",22.00,22.00,2,,,,United States of America
"040620 - Grated or powdered cheese, of all kinds",,16.00,16.00,1,,,,United States of America
"040630 - Processed cheese, not grated or powdered",,16.00,16.00,1,,,,United States of America
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,16.00,16.00,1,,,,United States of America
040690 - Other cheese,150,22.00,22.00,4,,,,United States of America
040711 - - Of fowls of the species Gallus domesticus,"16,887,576",0.00,0.00,1,,,,United States of America
040719 - - Other,"4,214,833",0.00,0.00,1,,,,United States of America
040721 - - Of fowls of the species Gallus domesticus,,8.00,8.00,1,,,,United States of America
040729 - - Other,,8.00,8.00,1,,,,United States of America
040790 - Others,,8.00,8.00,1,,,,United States of America
040811 - - Dried,,10.00,10.00,1,,,,United States of America
040819 - - Other,,10.00,10.00,1,,,,United States of America
040891 - - Dried,,10.00,10.00,1,,,,United States of America
040899 - - Other,,10.00,10.00,1,,,,United States of America
040900 Natural honey.,,16.00,16.00,1,,,,United States of America
"041000 Edible products of animal origin, not elsewhere specified or included.",,14.00,14.00,1,,,,United States of America
,2016,"34,716,961",16.29,16.29,48,,,,United States of America
"040110 - Of a fat content, by weight, not exceeding 1 %",,13.00,13.00,2,,,,United States of America
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,13.00,13.00,2,,,,United States of America
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,12.67,12.67,3,,,,United States of America
"040150 - Of a fat content, by weight, exceeding 10 %",,12.67,12.67,3,,,,United States of America
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","13,577,109",28.00,28.00,2,,,,United States of America
040221 -- Not containing added sugar or other sweetening matter,,24.00,24.00,3,,,,United States of America
040229 -- Other,,24.00,24.00,3,,,,United States of America
040291 -- Not containing added sugar or other sweetening matter,,14.00,14.00,1,,,,United States of America
040299 -- Other,,28.00,28.00,1,,,,United States of America
040310 - Yogurt,,16.00,16.00,1,,,,United States of America
040390 - Other,"99,493",16.00,16.00,1,,,,United States of America
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter","929,288",28.00,28.00,1,,,,United States of America
040490 - Other,"1,539,679",14.00,14.00,1,,,,United States of America
040510 - Butter,4,16.00,16.00,1,,,,United States of America
040520 - Dairy spreads,,16.00,16.00,1,,,,United States of America
040590 - Other,,16.00,16.00,2,,,,United States of America
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","1,415,568",22.00,22.00,2,,,,United States of America
"040620 - Grated or powdered cheese, of all kinds",,16.00,16.00,1,,,,United States of America
"040630 - Processed cheese, not grated or powdered","2,903",16.00,16.00,1,,,,United States of America
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,810,16.00,16.00,1,,,,United States of America
040690 - Other cheese,"17,063",22.00,22.00,4,,,,United States of America
040711 -- Of fowls of the species Gallus domesticus,"15,438,001",0.00,0.00,1,,,,United States of America
040719 -- Other,"1,697,043",0.00,0.00,1,,,,United States of America
040721 -- Of fowls of the species Gallus domesticus,,8.00,8.00,1,,,,United States of America
040729 -- Other,,8.00,8.00,1,,,,United States of America
040790 - Others,,8.00,8.00,1,,,,United States of America
040811 -- Dried,,10.00,10.00,1,,,,United States of America
040819 -- Other,,10.00,10.00,1,,,,United States of America
040891 -- Dried,,10.00,10.00,1,,,,United States of America
040899 -- Other,,10.00,10.00,1,,,,United States of America
040900 Natural honey.,,16.00,16.00,1,,,,United States of America
"041000 Edible products of animal origin, not elsewhere specified or included.",,14.00,14.00,1,,,,United States of America
,2015,"37,961,847",16.29,16.29,48,,,,United States of America
"040110 - Of a fat content, by weight, not exceeding 1 %",,13.00,13.00,2,,,,United States of America
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,13.00,13.00,2,,,,United States of America
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",53,12.67,12.67,3,,,,United States of America
"040150 - Of a fat content, by weight, exceeding 10 %",,12.67,12.67,3,,,,United States of America
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","4,614,805",28.00,28.00,2,,,,United States of America
040221 -- Not containing added sugar or other sweetening matter,,24.00,24.00,3,,,,United States of America
040229 -- Other,,24.00,24.00,3,,,,United States of America
040291 -- Not containing added sugar or other sweetening matter,,14.00,14.00,1,,,,United States of America
040299 -- Other,,28.00,28.00,1,,,,United States of America
040310 - Yogurt,,16.00,16.00,1,,,,United States of America
040390 - Other,"272,871",16.00,16.00,1,,,,United States of America
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter","5,913,391",28.00,28.00,1,,,,United States of America
040490 - Other,"4,602,310",14.00,14.00,1,,,,United States of America
040510 - Butter,"6,556",16.00,16.00,1,,,,United States of America
040520 - Dairy spreads,,16.00,16.00,1,,,,United States of America
040590 - Other,,16.00,16.00,2,,,,United States of America
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","668,077",22.00,22.00,2,,,,United States of America
"040620 - Grated or powdered cheese, of all kinds",,16.00,16.00,1,,,,United States of America
"040630 - Processed cheese, not grated or powdered","18,229",16.00,16.00,1,,,,United States of America
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,"1,851",16.00,16.00,1,,,,United States of America
040690 - Other cheese,"148,688",22.00,22.00,4,,,,United States of America
040711 -- Of fowls of the species Gallus domesticus,"19,831,656",0.00,0.00,1,,,,United States of America
040719 -- Other,"1,883,360",0.00,0.00,1,,,,United States of America
040721 -- Of fowls of the species Gallus domesticus,,8.00,8.00,1,,,,United States of America
040729 -- Other,,8.00,8.00,1,,,,United States of America
040790 - Others,,8.00,8.00,1,,,,United States of America
040811 -- Dried,,10.00,10.00,1,,,,United States of America
040819 -- Other,,10.00,10.00,1,,,,United States of America
040891 -- Dried,,10.00,10.00,1,,,,United States of America
040899 -- Other,,10.00,10.00,1,,,,United States of America
040900 Natural honey.,,16.00,16.00,1,,,,United States of America
"041000 Edible products of animal origin, not elsewhere specified or included.",,14.00,14.00,1,,,,United States of America
,2014,"27,869,699",16.29,16.29,48,,,,United States of America
"040110 - Of a fat content, by weight, not exceeding 1 %",,13.00,13.00,2,,,,United States of America
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,13.00,13.00,2,,,,United States of America
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,12.67,12.67,3,,,,United States of America
"040150 - Of a fat content, by weight, exceeding 10 %",,12.67,12.67,3,,,,United States of America
