Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
Brazil,"1,156,950,752",,,,,,,Japan
,2018,,1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,Japan
"880211 - - Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 - - Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,,0.00,0.00,1,,,,Japan
880390 - Other,,0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 - - Other,,0.00,0.00,1,,,,Japan
,2017,"21,921,385",1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","2,656",20.00,20.00,1,,,,Japan
"880211 - - Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 - - Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"21,918,729",0.00,0.00,1,,,,Japan
880390 - Other,,0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 - - Other,,0.00,0.00,1,,,,Japan
,2016,"101,099,757",1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","72,597",20.00,20.00,1,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"101,021,567",0.00,0.00,1,,,,Japan
880390 - Other,"5,593",0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 -- Other,,0.00,0.00,1,,,,Japan
,2015,"86,377,169",1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","2,199",20.00,20.00,1,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,67,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,"15,439",0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"86,359,464",0.00,0.00,1,,,,Japan
880390 - Other,,0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 -- Other,,0.00,0.00,1,,,,Japan
,2014,"90,905,908",1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,100,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,"4,220",0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"90,851,026",0.00,0.00,1,,,,Japan
880390 - Other,,0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 -- Other,"50,562",0.00,0.00,1,,,,Japan
,2013,"69,299,025",1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","3,550",20.00,20.00,1,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,112,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,"12,045",0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"69,283,318",0.00,0.00,1,,,,Japan
880390 - Other,,0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 -- Other,,0.00,0.00,1,,,,Japan
,2012,"79,595,312",1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","525,000",0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,50,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,"1,836",0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"79,068,426",0.00,0.00,1,,,,Japan
880390 - Other,,0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 -- Other,,0.00,0.00,1,,,,Japan
,2011,"83,747,000",1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"83,747,000",0.00,0.00,1,,,,Japan
880390 - Other,,0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 -- Other,,0.00,0.00,1,,,,Japan
,2010,"73,609,000",1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","162,000",20.00,20.00,1,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","800,000",0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"72,647,000",0.00,0.00,1,,,,Japan
880390 - Other,,0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 -- Other,,0.00,0.00,1,,,,Japan
,2009,"70,267,000",1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","187,000",20.00,20.00,1,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","700,000",0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"69,331,000",0.00,0.00,1,,,,Japan
880390 - Other,"1,000",0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"48,000",14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 -- Other,,0.00,0.00,1,,,,Japan
,2008,"111,308,000",1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"111,304,000",0.00,0.00,1,,,,Japan
880390 - Other,"4,000",0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 -- Other,,0.00,0.00,1,,,,Japan
,2007,"133,755,000",1.36,1.36,25,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"133,754,000",0.00,0.00,1,,,,Japan
880390 - Other,"1,000",0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,Japan
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 -- Other,,0.00,0.00,1,,,,Japan
,2006,"104,816,000",2.08,2.08,26,,,,Japan
880110 - Gliders and hang gliders,,20.00,20.00,1,,,,Japan
880190 - Other,,20.00,20.00,1,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,Japan
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,Japan
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,Japan
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,Japan
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,Japan
880330 - Other parts of airplanes or helicopters,"104,815,000",0.00,0.00,1,,,,Japan
880390 - Other,"1,000",0.00,0.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,Japan
