Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
European Union,"513,065,040",,,,,,,Russian Federation
,2018,,6.67,6.67,125,24,,,Russian Federation
080111 - - Desiccated,,0.00,0.00,1,,,,Russian Federation
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,Russian Federation
080119 - - Other,,0.00,0.00,1,,,,Russian Federation
080121 - - In shell,,0.00,0.00,1,,,,Russian Federation
080122 - - Shelled,,0.00,0.00,1,,,,Russian Federation
080131 - - In shell,,0.00,0.00,1,,,,Russian Federation
080132 - - Shelled,,0.00,0.00,1,,,,Russian Federation
080211 - - In shell,,2.80,2.80,2,,,,Russian Federation
080212 - - Shelled,,1.75,1.75,2,,,,Russian Federation
080221 - - In shell,,3.20,3.20,1,,,,Russian Federation
080222 - - Shelled,,3.20,3.20,1,,,,Russian Federation
080231 - - In shell,,4.00,4.00,1,,,,Russian Federation
080232 - - Shelled,,5.10,5.10,1,,,,Russian Federation
080241 - - In shell,,5.60,5.60,1,,,,Russian Federation
080242 - - Shelled,,5.60,5.60,1,,,,Russian Federation
080251 - - In shell,,1.60,1.60,1,,,,Russian Federation
080252 - - Shelled,,1.60,1.60,1,,,,Russian Federation
080261 - - In shell,,2.00,2.00,1,,,,Russian Federation
080262 - - Shelled,,2.00,2.00,1,,,,Russian Federation
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Russian Federation
080280 - Areca nuts,,0.00,0.00,1,,,,Russian Federation
080290 - Other,,1.33,1.33,3,,,,Russian Federation
080310 - Plantains,,16.00,16.00,2,,,,Russian Federation
080390 - Other,,16.00,16.00,2,1,,,Russian Federation
080410 - Dates,,7.70,7.70,1,,,,Russian Federation
080420 - Figs,,6.80,6.80,2,,,,Russian Federation
080430 - Pineapples,,5.80,5.80,1,,,,Russian Federation
080440 - Avocados,,4.00,4.00,1,,,,Russian Federation
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Russian Federation
080510 - Oranges,,16.00,16.00,4,3,,,Russian Federation
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,Russian Federation
080522 - - Clementines,,,,1,1,,,Russian Federation
080529 - - Other,,,,1,1,,,Russian Federation
"080540 - Grapefruit, including pomelos",,1.50,1.50,1,,,,Russian Federation
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,12.80,2,1,,,Russian Federation
080590 - Other,,12.80,12.80,1,,,,Russian Federation
080610 - Fresh,,14.40,14.40,2,1,,,Russian Federation
080620 - Dried,,2.40,2.40,3,,,,Russian Federation
080711 - - Watermelons,,8.80,8.80,1,,,,Russian Federation
