Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
India,"31,308,881,670",,,,,,,European Union
,2018,,7.90,7.90,20,,,,European Union
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,European Union
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,European Union
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,European Union
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,European Union
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,European Union
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,European Union
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,European Union
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,European Union
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,European Union
880330 - Other parts of aeroplanes or helicopters,,3.00,3.00,1,,,,European Union
880390 - Other,,10.00,10.00,1,,,,European Union
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,European Union
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,European Union
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,European Union
880529 - - Other,,10.00,10.00,1,,,,European Union
,2017,,7.83,7.83,20,,,,European Union
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,European Union
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,European Union
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,European Union
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,European Union
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,European Union
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,European Union
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,European Union
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,European Union
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,European Union
880330 - Other parts of aeroplanes or helicopters,,2.50,2.50,1,,,,European Union
880390 - Other,,10.00,10.00,1,,,,European Union
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,European Union
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,European Union
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,European Union
880529 - - Other,,10.00,10.00,1,,,,European Union
,2016,"3,551,848,047",7.83,7.83,20,,,,European Union
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","253,104",10.00,10.00,3,,,,European Union
"880211 -- Of an unladen weight not exceeding 2,000 kg","27,912,354",10.00,10.00,1,,,,European Union
"880212 -- Of an unladen weight exceeding 2,000 kg","18,596,162",10.00,10.00,1,,,,European Union
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","38,007,954",3.00,3.00,1,,,,European Union
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","586,122,552",3.00,3.00,1,,,,European Union
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","2,452,855,249",3.00,3.00,1,,,,European Union
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"56,721,515",10.00,10.00,1,,,,European Union
880310 - Propellers and rotors and parts thereof,"102,758",2.50,2.50,1,,,,European Union
880320 - Under-carriages and parts thereof,"577,171",2.50,2.50,1,,,,European Union
880330 - Other parts of aeroplanes or helicopters,"321,239,994",2.50,2.50,1,,,,European Union
880390 - Other,"43,858,789",10.00,10.00,1,,,,European Union
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"651,263",10.00,10.00,2,,,,European Union
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"229,926",10.00,10.00,3,,,,European Union
880521 -- Air combat simulators and parts thereof,,10.00,10.00,1,,,,European Union
