Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
Brazil,"8,928,833",,,,,,,India
,2018,,22.65,22.65,49,,,,India
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,34.00,34.00,15,,,,India
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,India
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,India
950440 - Playing cards,,20.00,20.00,1,,,,India
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,India
950490 - Other,,10.00,10.00,2,,,,India
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,India
950590 - Other,,20.00,20.00,1,,,,India
950611 - - Skis,,20.00,20.00,1,,,,India
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,India
950619 - - Other,,20.00,20.00,1,,,,India
950621 - - Sailboards,,20.00,20.00,1,,,,India
950629 - - Other,,20.00,20.00,1,,,,India
"950631 - - Clubs, complete",,20.00,20.00,1,,,,India
950632 - - Balls,,20.00,20.00,1,,,,India
950639 - - Other,,20.00,20.00,1,,,,India
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,India
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,India
950659 - - Other,,20.00,20.00,1,,,,India
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,India
950662 - - Inflatable,,20.00,20.00,1,,,,India
950669 - - Other,,20.00,20.00,1,,,,India
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,India
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,India
950699 - - Other,,20.00,20.00,1,,,,India
950710 - Fishing rods,,20.00,20.00,1,,,,India
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,India
950730 - Fishing reels,,20.00,20.00,1,,,,India
950790 - Other,,20.00,20.00,1,,,,India
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,India
950890 - Other,,5.00,5.00,4,,,,India
,2017,"1,158,981",22.29,22.29,49,,,,India
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","603,765",32.80,32.80,15,,,,India
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,India
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,India
950440 - Playing cards,"1,581",20.00,20.00,1,,,,India
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,India
950490 - Other,"16,558",10.00,10.00,2,,,,India
950510 - Articles for Christmas festivities,"5,316",20.00,20.00,1,,,,India
950590 - Other,"1,583",20.00,20.00,1,,,,India
950611 - - Skis,,20.00,20.00,1,,,,India
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,India
950619 - - Other,,20.00,20.00,1,,,,India
950621 - - Sailboards,,20.00,20.00,1,,,,India
950629 - - Other,,20.00,20.00,1,,,,India
"950631 - - Clubs, complete",,20.00,20.00,1,,,,India
950632 - - Balls,,20.00,20.00,1,,,,India
950639 - - Other,,20.00,20.00,1,,,,India
950640 - Articles and equipment for table-tennis,815,20.00,20.00,1,,,,India
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,India
950659 - - Other,,20.00,20.00,1,,,,India
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,India
950662 - - Inflatable,"368,358",20.00,20.00,1,,,,India
950669 - - Other,,20.00,20.00,1,,,,India
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,India
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics","86,826",20.00,20.00,1,,,,India
950699 - - Other,"73,814",20.00,20.00,1,,,,India
950710 - Fishing rods,,20.00,20.00,1,,,,India
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,India
950730 - Fishing reels,,20.00,20.00,1,,,,India
950790 - Other,365,20.00,20.00,1,,,,India
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,India
950890 - Other,,5.00,5.00,4,,,,India
,2016,"617,838",22.65,22.65,49,,,,India
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","312,285",34.00,34.00,15,,,,India
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,India
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,India
950440 - Playing cards,"2,923",20.00,20.00,1,,,,India
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,India
950490 - Other,"14,127",10.00,10.00,2,,,,India
950510 - Articles for Christmas festivities,"6,891",20.00,20.00,1,,,,India
950590 - Other,"1,637",20.00,20.00,1,,,,India
950611 -- Skis,,20.00,20.00,1,,,,India
950612 -- Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,India
950619 -- Other,,20.00,20.00,1,,,,India
950621 -- Sailboards,,20.00,20.00,1,,,,India
950629 -- Other,"2,902",20.00,20.00,1,,,,India
"950631 -- Clubs, complete",,20.00,20.00,1,,,,India
950632 -- Balls,,20.00,20.00,1,,,,India
950639 -- Other,,20.00,20.00,1,,,,India
950640 - Articles and equipment for table-tennis,252,20.00,20.00,1,,,,India
"950651 -- Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,India
950659 -- Other,,20.00,20.00,1,,,,India
950661 -- Lawn-tennis balls,,20.00,20.00,1,,,,India
950662 -- Inflatable,"43,652",20.00,20.00,1,,,,India
950669 -- Other,,20.00,20.00,1,,,,India
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,India
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","190,930",20.00,20.00,1,,,,India
950699 -- Other,"41,714",20.00,20.00,1,,,,India
950710 - Fishing rods,,20.00,20.00,1,,,,India
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,India
950730 - Fishing reels,,20.00,20.00,1,,,,India
950790 - Other,,20.00,20.00,1,,,,India
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,India
950890 - Other,525,5.00,5.00,4,,,,India
