Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
European Union,"261,477,848",,,,,,,Brazil
,2018,,5.34,5.34,171,162,,,Brazil
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Brazil
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Brazil
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,Brazil
040221 - - Not containing added sugar or other sweetening matter,,,,4,4,,,Brazil
040229 - - Other,,,,5,5,,,Brazil
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,Brazil
040299 - - Other,,,,5,5,,,Brazil
040310 - Yogurt,,,,12,12,,,Brazil
040390 - Other,,,,18,18,,,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Brazil
040490 - Other,,,,6,6,,,Brazil
040510 - Butter,,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,,,Brazil
040590 - Other,,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,,,,32,32,,,Brazil
040711 - - Of fowls of the species Gallus domesticus,,,,1,1,,,Brazil
040719 - - Other,,7.70,7.70,3,2,,,Brazil
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,Brazil
040729 - - Other,,7.70,7.70,2,1,,,Brazil
040790 - Others,,7.70,7.70,2,1,,,Brazil
040811 - - Dried,,0.00,0.00,2,1,,,Brazil
040819 - - Other,,0.00,0.00,3,2,,,Brazil
040891 - - Dried,,0.00,0.00,2,1,,,Brazil
040899 - - Other,,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,,17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,Brazil
,2017,"7,306,022",5.34,5.34,171,162,,,Brazil
"040110 - Of a fat content, by weight, not exceeding 1 %","1,371",,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",0,,,4,4,,,Brazil
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",1,,,2,2,,,Brazil
"040150 - Of a fat content, by weight, exceeding 10 %",37,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","1,690",,,4,4,,,Brazil
040221 - - Not containing added sugar or other sweetening matter,"1,609",,,4,4,,,Brazil
040229 - - Other,,,,5,5,,,Brazil
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,Brazil
040299 - - Other,330,,,5,5,,,Brazil
040310 - Yogurt,337,,,12,12,,,Brazil
040390 - Other,293,,,18,18,,,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",90,,,24,24,,,Brazil
040490 - Other,126,,,6,6,,,Brazil
040510 - Butter,731,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,,,Brazil
040590 - Other,70,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","1,146",,,3,3,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,"53,595",,,32,32,,,Brazil
040711 - - Of fowls of the species Gallus domesticus,"270,223",,,1,1,,,Brazil
040719 - - Other,,7.70,7.70,3,2,,,Brazil
040721 - - Of fowls of the species Gallus domesticus,"18,674",,,1,1,,,Brazil
040729 - - Other,,7.70,7.70,2,1,,,Brazil
040790 - Others,,7.70,7.70,2,1,,,Brazil
040811 - - Dried,,0.00,0.00,2,1,,,Brazil
040819 - - Other,38,0.00,0.00,3,2,,,Brazil
040891 - - Dried,,0.00,0.00,2,1,,,Brazil
040899 - - Other,,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"6,523,642",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.","432,018",7.70,7.70,1,,,,Brazil
,2016,"10,664,608",5.34,5.34,171,162,,,Brazil
"040110 - Of a fat content, by weight, not exceeding 1 %",679,,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",20,,,4,4,,,Brazil
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Brazil
"040150 - Of a fat content, by weight, exceeding 10 %",711,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","1,233",,,4,4,,,Brazil
040221 -- Not containing added sugar or other sweetening matter,799,,,4,4,,,Brazil
040229 -- Other,,,,5,5,,,Brazil
040291 -- Not containing added sugar or other sweetening matter,1,,,6,6,,,Brazil
040299 -- Other,553,,,5,5,,,Brazil
040310 - Yogurt,149,,,12,12,,,Brazil
040390 - Other,536,,,18,18,,,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",96,,,24,24,,,Brazil
040490 - Other,,,,6,6,,,Brazil
040510 - Butter,169,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,,,Brazil
040590 - Other,,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",685,,,3,3,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,74,,,32,32,,,Brazil
040711 -- Of fowls of the species Gallus domesticus,"187,934",,,1,1,,,Brazil
040719 -- Other,,7.70,7.70,3,2,,,Brazil
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Brazil
040729 -- Other,,7.70,7.70,2,1,,,Brazil
040790 - Others,,7.70,7.70,2,1,,,Brazil
040811 -- Dried,,0.00,0.00,2,1,,,Brazil
040819 -- Other,,0.00,0.00,3,2,,,Brazil
040891 -- Dried,,0.00,0.00,2,1,,,Brazil
040899 -- Other,,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"10,083,228",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.","387,739",7.70,7.70,1,,,,Brazil
