Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
European Union,"4,040,686",,,,,,,Armenia
,2018,,5.48,0.00,210,,179,,Armenia
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,0.00,2,,2,,Armenia
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,0.00,2,,1,,Armenia
390130 - Ethylene-vinyl acetate copolymers,,6.50,0.00,1,,1,,Armenia
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,0.00,1,,1,,Armenia
390190 - Other,,3.25,0.00,2,,1,,Armenia
390210 - Polypropylene,,6.50,0.00,1,,1,,Armenia
390220 - Polyisobutylene,,6.50,0.00,1,,1,,Armenia
390230 - Propylene copolymers,,6.50,0.00,1,,1,,Armenia
390290 - Other,,2.17,0.00,3,,1,,Armenia
390311 - - Expansible,,6.50,0.00,1,,1,,Armenia
390319 - - Other,,6.50,0.00,1,,1,,Armenia
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,0.00,1,,1,,Armenia
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,0.00,1,,1,,Armenia
390390 - Other,,2.17,0.00,3,,1,,Armenia
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,0.00,1,,1,,Armenia
390421 - - Non-plasticised,,6.50,0.00,1,,1,,Armenia
390422 - - Plasticised,,6.50,0.00,1,,1,,Armenia
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,0.00,1,,1,,Armenia
390440 - Other vinyl chloride copolymers,,6.50,0.00,1,,1,,Armenia
390450 - Vinylidene chloride polymers,,3.25,0.00,2,,1,,Armenia
390461 - - Polytetrafluoroethylene,,6.50,0.00,1,,1,,Armenia
390469 - - Other,,4.33,0.00,3,,2,,Armenia
390490 - Other,,6.50,0.00,1,,1,,Armenia
390512 - - In aqueous dispersion,,6.50,0.00,1,,1,,Armenia
390519 - - Other,,6.50,0.00,1,,1,,Armenia
390521 - - In aqueous dispersion,,6.50,0.00,1,,1,,Armenia
390529 - - Other,,6.50,0.00,1,,1,,Armenia
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,0.00,1,,1,,Armenia
390591 - - Copolymers,,6.50,0.00,1,,1,,Armenia
390599 - - Other,,3.25,0.00,2,,1,,Armenia
390610 - Poly(methyl methacrylate),,6.50,0.00,1,,1,,Armenia
390690 - Other,,0.93,0.00,7,,1,,Armenia
390710 - Polyacetals,,6.50,0.00,1,,1,,Armenia
390720 - Other polyethers,,4.88,0.00,4,,3,,Armenia
390730 - Epoxide resins,,6.50,0.00,1,,1,,Armenia
390740 - Polycarbonates,,6.50,0.00,1,,1,,Armenia
390750 - Alkyd resins,,6.50,0.00,1,,1,,Armenia
390761 - - Having a viscosity number of 78 ml/g or higher,,6.50,0.00,1,,1,,Armenia
390769 - - Other,,6.50,0.00,1,,1,,Armenia
390770 - Poly(lactic acid),,0.00,0.00,1,,,,Armenia
390791 - - Unsaturated,,6.50,0.00,2,,2,,Armenia
390799 - - Other,,3.27,0.00,3,,2,,Armenia
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,0.00,1,,1,,Armenia
390890 - Other,,6.50,0.00,1,,1,,Armenia
390910 - Urea resins; thiourea resins,,6.50,0.00,1,,1,,Armenia
390920 - Melamine resins,,6.50,0.00,1,,1,,Armenia
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,6.50,0.00,1,,1,,Armenia
390939 - - Other,,6.50,0.00,1,,1,,Armenia
390940 - Phenolic resins,,6.50,0.00,1,,1,,Armenia
390950 - Polyurethanes,,3.25,0.00,2,,1,,Armenia
391000 Silicones in primary forms.,,6.50,0.00,1,,1,,Armenia
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,0.00,1,,1,,Armenia
391190 - Other,,3.30,0.00,5,,3,,Armenia
391211 - - Non-plasticised,,6.50,0.00,1,,1,,Armenia
391212 - - Plasticised,,6.50,0.00,1,,1,,Armenia
391220 - Cellulose nitrates (including collodions),,6.33,0.00,3,,3,,Armenia
391231 - - Carboxymethylcellulose and its salts,,6.50,0.00,1,,1,,Armenia
391239 - - Other,,3.25,0.00,2,,1,,Armenia
391290 - Other,,6.45,0.00,2,,2,,Armenia
"391310 - Alginic acid, its salts and esters",,5.00,0.00,1,,1,,Armenia
391390 - Other,,6.50,0.00,1,,1,,Armenia
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,6.50,0.00,1,,1,,Armenia
391510 - Of polymers of ethylene,,6.50,0.00,1,,1,,Armenia
391520 - Of polymers of styrene,,6.50,0.00,1,,1,,Armenia
391530 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Armenia
391590 - Of other plastics,,6.50,0.00,2,,2,,Armenia
391610 - Of polymers of ethylene,,6.50,0.00,1,,1,,Armenia
391620 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Armenia
391690 - Of other plastics,,6.50,0.00,3,,3,,Armenia
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,5.90,0.00,2,,2,,Armenia
391721 - - Of polymers of ethylene,,6.50,0.00,2,,2,,Armenia
391722 - - Of polymers of propylene,,6.50,0.00,2,,2,,Armenia
391723 - - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,Armenia
391729 - - Of other plastics,,6.50,0.00,1,,1,,Armenia
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,6.50,0.00,1,,1,,Armenia
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,6.50,0.00,1,,1,,Armenia
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,6.50,0.00,1,,1,,Armenia
391739 - - Other,,6.50,0.00,1,,1,,Armenia
391740 - Fittings,,6.50,0.00,1,,1,,Armenia
391810 - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,Armenia
391890 - Of other plastics,,6.50,0.00,1,,1,,Armenia
391910 - In rolls of a width not exceeding 20 cm,,6.35,0.00,4,,4,,Armenia
391990 - Other,,3.25,0.00,2,,1,,Armenia
392010 - Of polymers of ethylene,,4.64,0.00,7,,5,,Armenia
392020 - Of polymers of propylene,,6.50,0.00,3,,3,,Armenia
392030 - Of polymers of styrene,,6.50,0.00,1,,1,,Armenia
392043 - - Containing by weight not less than 6 % of plasticisers,,6.50,0.00,2,,2,,Armenia
392049 - - Other,,6.50,0.00,2,,2,,Armenia
392051 - - Of poly(methyl methacrylate),,6.50,0.00,1,,1,,Armenia
392059 - - Other,,3.25,0.00,2,,1,,Armenia
392061 - - Of polycarbonates,,6.50,0.00,1,,1,,Armenia
392062 - - Of poly(ethylene terephthalate),,4.33,0.00,3,,2,,Armenia
392063 - - Of unsaturated polyesters,,6.50,0.00,1,,1,,Armenia
392069 - - Of other polyesters,,6.50,0.00,1,,1,,Armenia
392071 - - Of regenerated cellulose,,6.50,0.00,1,,1,,Armenia
392073 - - Of cellulose acetate,,6.40,0.00,2,,2,,Armenia
392079 - - Of other cellulose derivatives,,6.10,0.00,2,,2,,Armenia
392091 - - Of poly(vinyl butyral),,6.10,0.00,1,,1,,Armenia
392092 - - Of polyamides,,6.50,0.00,1,,1,,Armenia
392093 - - Of amino-resins,,6.50,0.00,1,,1,,Armenia
392094 - - Of phenolic resins,,6.50,0.00,1,,1,,Armenia
392099 - - Of other plastics,,3.25,0.00,6,,3,,Armenia
392111 - - Of polymers of styrene,,6.50,0.00,1,,1,,Armenia
392112 - - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Armenia
392113 - - Of polyurethanes,,6.50,0.00,2,,2,,Armenia
392114 - - Of regenerated cellulose,,6.50,0.00,1,,1,,Armenia
392119 - - Of other plastics,,6.50,0.00,1,,1,,Armenia
392190 - Other,,6.50,0.00,8,,8,,Armenia
"392210 - Baths, shower-baths, sinks and wash-basins",,6.50,0.00,1,,1,,Armenia
392220 - Lavatory seats and covers,,6.50,0.00,1,,1,,Armenia
392290 - Other,,6.50,0.00,1,,1,,Armenia
"392310 - Boxes, cases, crates and similar articles",,3.25,0.00,2,,1,,Armenia
392321 - - Of polymers of ethylene,,6.50,0.00,1,,1,,Armenia
392329 - - Of other plastics,,6.50,0.00,2,,2,,Armenia
"392330 - Carboys, bottles, flasks and similar articles",,6.50,0.00,2,,2,,Armenia
"392340 - Spools, cops, bobbins and similar supports",,5.90,0.00,2,,2,,Armenia
"392350 - Stoppers, lids, caps and other closures",,6.50,0.00,2,,2,,Armenia
392390 - Other,,6.50,0.00,1,,1,,Armenia
392410 - Tableware and kitchenware,,6.50,0.00,1,,1,,Armenia
392490 - Other,,6.50,0.00,1,,1,,Armenia
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,0.00,1,,1,,Armenia
"392520 - Doors, windows and their frames and thresholds for doors",,6.50,0.00,1,,1,,Armenia
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,6.50,0.00,1,,1,,Armenia
392590 - Other,,6.50,0.00,3,,3,,Armenia
392610 - Office or school supplies,,6.50,0.00,1,,1,,Armenia
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,6.50,0.00,1,,1,,Armenia
"392630 - Fittings for furniture, coachwork or the like",,6.50,0.00,1,,1,,Armenia
392640 - Statuettes and other ornamental articles,,6.50,0.00,1,,1,,Armenia
392690 - Other,,6.50,0.00,3,,3,,Armenia
,2017,"29,341",5.49,0.00,210,,179,,Armenia
390110 - Polyethylene having a specific gravity of less than 0.94,2,6.50,0.00,2,,2,,Armenia
390120 - Polyethylene having a specific gravity of 0.94 or more,491,3.25,0.00,2,,1,,Armenia
390130 - Ethylene-vinyl acetate copolymers,,6.50,0.00,1,,1,,Armenia
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,0.00,1,,1,,Armenia
390190 - Other,1,3.25,0.00,2,,1,,Armenia
390210 - Polypropylene,,6.50,0.00,1,,1,,Armenia
390220 - Polyisobutylene,,6.50,0.00,1,,1,,Armenia
390230 - Propylene copolymers,,6.50,0.00,1,,1,,Armenia
390290 - Other,,2.17,0.00,3,,1,,Armenia
390311 - - Expansible,,6.50,0.00,1,,1,,Armenia
390319 - - Other,,6.50,0.00,1,,1,,Armenia
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,0.00,1,,1,,Armenia
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,1,6.50,0.00,1,,1,,Armenia
390390 - Other,,2.17,0.00,3,,1,,Armenia
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,0.00,1,,1,,Armenia
390421 - - Non-plasticised,,6.50,0.00,1,,1,,Armenia
390422 - - Plasticised,,6.50,0.00,1,,1,,Armenia
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,0.00,1,,1,,Armenia
390440 - Other vinyl chloride copolymers,,6.50,0.00,1,,1,,Armenia
390450 - Vinylidene chloride polymers,,3.25,0.00,2,,1,,Armenia
390461 - - Polytetrafluoroethylene,,6.50,0.00,1,,1,,Armenia
390469 - - Other,1,4.33,0.00,3,,2,,Armenia
390490 - Other,,6.50,0.00,1,,1,,Armenia
390512 - - In aqueous dispersion,,6.50,0.00,1,,1,,Armenia
390519 - - Other,,6.50,0.00,1,,1,,Armenia
390521 - - In aqueous dispersion,,6.50,0.00,1,,1,,Armenia
390529 - - Other,,6.50,0.00,1,,1,,Armenia
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,0.00,1,,1,,Armenia
390591 - - Copolymers,,6.50,0.00,1,,1,,Armenia
390599 - - Other,1,3.25,0.00,2,,1,,Armenia
390610 - Poly(methyl methacrylate),,6.50,0.00,1,,1,,Armenia
390690 - Other,,0.93,0.00,7,,1,,Armenia
390710 - Polyacetals,,6.50,0.00,1,,1,,Armenia
390720 - Other polyethers,,4.88,0.00,4,,3,,Armenia
390730 - Epoxide resins,,6.50,0.00,1,,1,,Armenia
390740 - Polycarbonates,1,6.50,0.00,1,,1,,Armenia
390750 - Alkyd resins,,6.50,0.00,1,,1,,Armenia
390761 - - Having a viscosity number of 78 ml/g or higher,,6.50,0.00,1,,1,,Armenia
390769 - - Other,1,6.50,0.00,1,,1,,Armenia
390770 - Poly(lactic acid),1,0.00,0.00,1,,,,Armenia
390791 - - Unsaturated,,6.50,0.00,2,,2,,Armenia
390799 - - Other,2,3.80,0.00,3,,2,,Armenia
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",2,6.50,0.00,1,,1,,Armenia
390890 - Other,,6.50,0.00,1,,1,,Armenia
390910 - Urea resins; thiourea resins,,6.50,0.00,1,,1,,Armenia
390920 - Melamine resins,,6.50,0.00,1,,1,,Armenia
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,6.50,0.00,1,,1,,Armenia
390939 - - Other,1,6.50,0.00,1,,1,,Armenia
390940 - Phenolic resins,,6.50,0.00,1,,1,,Armenia
390950 - Polyurethanes,,3.25,0.00,2,,1,,Armenia
391000 Silicones in primary forms.,,6.50,0.00,1,,1,,Armenia
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,0.00,1,,1,,Armenia
391190 - Other,,3.30,0.00,5,,3,,Armenia
391211 - - Non-plasticised,,6.50,0.00,1,,1,,Armenia
391212 - - Plasticised,,6.50,0.00,1,,1,,Armenia
391220 - Cellulose nitrates (including collodions),,6.33,0.00,3,,3,,Armenia
391231 - - Carboxymethylcellulose and its salts,,6.50,0.00,1,,1,,Armenia
391239 - - Other,1,3.25,0.00,2,,1,,Armenia
391290 - Other,,6.45,0.00,2,,2,,Armenia
"391310 - Alginic acid, its salts and esters",,5.00,0.00,1,,1,,Armenia
391390 - Other,1,6.50,0.00,1,,1,,Armenia
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,6.50,0.00,1,,1,,Armenia
391510 - Of polymers of ethylene,,6.50,0.00,1,,1,,Armenia
391520 - Of polymers of styrene,,6.50,0.00,1,,1,,Armenia
391530 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Armenia
391590 - Of other plastics,,6.50,0.00,2,,2,,Armenia
391610 - Of polymers of ethylene,,6.50,0.00,1,,1,,Armenia
391620 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Armenia
391690 - Of other plastics,,6.50,0.00,3,,3,,Armenia
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,5.90,0.00,2,,2,,Armenia
391721 - - Of polymers of ethylene,,6.50,0.00,2,,2,,Armenia
391722 - - Of polymers of propylene,,6.50,0.00,2,,2,,Armenia
391723 - - Of polymers of vinyl chloride,139,6.50,0.00,2,,2,,Armenia
391729 - - Of other plastics,,6.50,0.00,1,,1,,Armenia
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,6.50,0.00,1,,1,,Armenia
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,6.50,0.00,1,,1,,Armenia
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,6.50,0.00,1,,1,,Armenia
391739 - - Other,,6.50,0.00,1,,1,,Armenia
391740 - Fittings,1,6.50,0.00,1,,1,,Armenia
391810 - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,Armenia
391890 - Of other plastics,,6.50,0.00,1,,1,,Armenia
391910 - In rolls of a width not exceeding 20 cm,1,6.35,0.00,4,,4,,Armenia
391990 - Other,3,3.25,0.00,2,,1,,Armenia
392010 - Of polymers of ethylene,,4.64,0.00,7,,5,,Armenia
392020 - Of polymers of propylene,26,6.50,0.00,3,,3,,Armenia
392030 - Of polymers of styrene,,6.50,0.00,1,,1,,Armenia
392043 - - Containing by weight not less than 6 % of plasticisers,,6.50,0.00,2,,2,,Armenia
392049 - - Other,,6.50,0.00,2,,2,,Armenia
392051 - - Of poly(methyl methacrylate),,6.50,0.00,1,,1,,Armenia
392059 - - Other,,3.25,0.00,2,,1,,Armenia
392061 - - Of polycarbonates,,6.50,0.00,1,,1,,Armenia
392062 - - Of poly(ethylene terephthalate),2,4.33,0.00,3,,2,,Armenia
392063 - - Of unsaturated polyesters,,6.50,0.00,1,,1,,Armenia
392069 - - Of other polyesters,,6.50,0.00,1,,1,,Armenia
392071 - - Of regenerated cellulose,,6.50,0.00,1,,1,,Armenia
392073 - - Of cellulose acetate,,6.40,0.00,2,,2,,Armenia
392079 - - Of other cellulose derivatives,,6.10,0.00,2,,2,,Armenia
392091 - - Of poly(vinyl butyral),2,6.10,0.00,1,,1,,Armenia
392092 - - Of polyamides,,6.50,0.00,1,,1,,Armenia
392093 - - Of amino-resins,,6.50,0.00,1,,1,,Armenia
392094 - - Of phenolic resins,,6.50,0.00,1,,1,,Armenia
392099 - - Of other plastics,109,3.25,0.00,6,,3,,Armenia
392111 - - Of polymers of styrene,,6.50,0.00,1,,1,,Armenia
392112 - - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Armenia
392113 - - Of polyurethanes,1,6.50,0.00,2,,2,,Armenia
392114 - - Of regenerated cellulose,,6.50,0.00,1,,1,,Armenia
392119 - - Of other plastics,,6.50,0.00,1,,1,,Armenia
392190 - Other,732,6.50,0.00,8,,8,,Armenia
"392210 - Baths, shower-baths, sinks and wash-basins",,6.50,0.00,1,,1,,Armenia
392220 - Lavatory seats and covers,,6.50,0.00,1,,1,,Armenia
392290 - Other,,6.50,0.00,1,,1,,Armenia
"392310 - Boxes, cases, crates and similar articles","2,343",3.25,0.00,2,,1,,Armenia
392321 - - Of polymers of ethylene,,6.50,0.00,1,,1,,Armenia
392329 - - Of other plastics,,6.50,0.00,2,,2,,Armenia
"392330 - Carboys, bottles, flasks and similar articles","1,894",6.50,0.00,2,,2,,Armenia
"392340 - Spools, cops, bobbins and similar supports",,5.90,0.00,2,,2,,Armenia
"392350 - Stoppers, lids, caps and other closures",1,6.50,0.00,2,,2,,Armenia
392390 - Other,387,6.50,0.00,1,,1,,Armenia
392410 - Tableware and kitchenware,,6.50,0.00,1,,1,,Armenia
392490 - Other,323,6.50,0.00,1,,1,,Armenia
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,0.00,1,,1,,Armenia
"392520 - Doors, windows and their frames and thresholds for doors",,6.50,0.00,1,,1,,Armenia
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,6.50,0.00,1,,1,,Armenia
392590 - Other,,6.50,0.00,3,,3,,Armenia
392610 - Office or school supplies,,6.50,0.00,1,,1,,Armenia
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,6.50,0.00,1,,1,,Armenia
"392630 - Fittings for furniture, coachwork or the like",,6.50,0.00,1,,1,,Armenia
392640 - Statuettes and other ornamental articles,908,6.50,0.00,1,,1,,Armenia
392690 - Other,"21,957",6.50,0.00,3,,3,,Armenia
,2016,"6,333",5.53,0.00,205,,176,,Armenia
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,0.00,2,,2,,Armenia
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,0.00,2,,1,,Armenia
390130 - Ethylene-vinyl acetate copolymers,,6.50,0.00,1,,1,,Armenia
390190 - Other,,3.25,0.00,2,,1,,Armenia
390210 - Polypropylene,,6.50,0.00,1,,1,,Armenia
390220 - Polyisobutylene,,6.50,0.00,1,,1,,Armenia
390230 - Propylene copolymers,,6.50,0.00,1,,1,,Armenia
390290 - Other,,2.17,0.00,3,,1,,Armenia
390311 -- Expansible,,6.50,0.00,1,,1,,Armenia
390319 -- Other,,6.50,0.00,1,,1,,Armenia
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,0.00,1,,1,,Armenia
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,0.00,1,,1,,Armenia
390390 - Other,,2.17,0.00,3,,1,,Armenia
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,0.00,1,,1,,Armenia
390421 -- Non-plasticised,,6.50,0.00,1,,1,,Armenia
390422 -- Plasticised,,6.50,0.00,1,,1,,Armenia
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,0.00,1,,1,,Armenia
390440 - Other vinyl chloride copolymers,,6.50,0.00,1,,1,,Armenia
390450 - Vinylidene chloride polymers,,3.25,0.00,2,,1,,Armenia
390461 -- Polytetrafluoroethylene,,6.50,0.00,1,,1,,Armenia
390469 -- Other,,4.33,0.00,3,,2,,Armenia
390490 - Other,,6.50,0.00,1,,1,,Armenia
390512 -- In aqueous dispersion,,6.50,0.00,1,,1,,Armenia
390519 -- Other,,6.50,0.00,1,,1,,Armenia
390521 -- In aqueous dispersion,,6.50,0.00,1,,1,,Armenia
390529 -- Other,,6.50,0.00,1,,1,,Armenia
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,0.00,1,,1,,Armenia
390591 -- Copolymers,,6.50,0.00,1,,1,,Armenia
390599 -- Other,,3.25,0.00,2,,1,,Armenia
390610 - Poly(methyl methacrylate),,6.50,0.00,1,,1,,Armenia
390690 - Other,,0.93,0.00,7,,1,,Armenia
390710 - Polyacetals,,6.50,0.00,1,,1,,Armenia
390720 - Other polyethers,,4.88,0.00,4,,3,,Armenia
390730 - Epoxide resins,,6.50,0.00,1,,1,,Armenia
390740 - Polycarbonates,,6.50,0.00,1,,1,,Armenia
390750 - Alkyd resins,,6.50,0.00,1,,1,,Armenia
390760 - Poly(ethylene terephthalate),,6.50,0.00,2,,2,,Armenia
390770 - Poly(lactic acid),,0.00,0.00,1,,,,Armenia
390791 -- Unsaturated,,6.50,0.00,2,,2,,Armenia
390799 -- Other,,3.25,0.00,2,,1,,Armenia
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,0.00,1,,1,,Armenia
390890 - Other,,6.50,0.00,1,,1,,Armenia
390910 - Urea resins; thiourea resins,,6.50,0.00,1,,1,,Armenia
390920 - Melamine resins,,6.50,0.00,1,,1,,Armenia
390930 - Other amino-resins,,6.50,0.00,1,,1,,Armenia
390940 - Phenolic resins,,6.50,0.00,1,,1,,Armenia
390950 - Polyurethanes,,3.25,0.00,2,,1,,Armenia
391000 Silicones in primary forms.,,6.50,0.00,1,,1,,Armenia
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,0.00,1,,1,,Armenia
391190 - Other,,3.30,0.00,5,,3,,Armenia
391211 -- Non-plasticised,,6.50,0.00,1,,1,,Armenia
391212 -- Plasticised,,6.50,0.00,1,,1,,Armenia
391220 - Cellulose nitrates (including collodions),,6.33,0.00,3,,3,,Armenia
391231 -- Carboxymethylcellulose and its salts,,6.50,0.00,1,,1,,Armenia
391239 -- Other,,3.25,0.00,2,,1,,Armenia
391290 - Other,,6.45,0.00,2,,2,,Armenia
