Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
European Union,"1,539,903,918",,,,,,,China
,2018,,2.75,2.75,23,,,,China
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,China
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,China
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,China
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,China
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,China
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,China
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,3.50,3,,,,China
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,China
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,,,China
880330 - Other parts of aeroplanes or helicopters,,2.70,2.70,1,,,,China
880390 - Other,,1.56,1.56,5,,,,China
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,China
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,China
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,China
880529 - - Other,,0.00,0.00,1,,,,China
,2017,"167,734,384",2.80,2.80,23,,,,China
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","121,363",3.20,3.20,2,,,,China
"880211 - - Of an unladen weight not exceeding 2,000 kg","6,786,286",7.50,7.50,1,,,,China
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,China
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","959,070",7.70,7.70,1,,,,China
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","4,586,563",2.70,2.70,1,,,,China
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","33,714,497",2.70,2.70,1,,,,China
