Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
European Union,"12,223,342,696",,,,,,,Brazil
,2018,,6.67,6.67,125,24,,,Brazil
080111 - - Desiccated,,0.00,0.00,1,,,,Brazil
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,Brazil
080119 - - Other,,0.00,0.00,1,,,,Brazil
080121 - - In shell,,0.00,0.00,1,,,,Brazil
080122 - - Shelled,,0.00,0.00,1,,,,Brazil
080131 - - In shell,,0.00,0.00,1,,,,Brazil
080132 - - Shelled,,0.00,0.00,1,,,,Brazil
080211 - - In shell,,2.80,2.80,2,,,,Brazil
080212 - - Shelled,,1.75,1.75,2,,,,Brazil
080221 - - In shell,,3.20,3.20,1,,,,Brazil
080222 - - Shelled,,3.20,3.20,1,,,,Brazil
080231 - - In shell,,4.00,4.00,1,,,,Brazil
080232 - - Shelled,,5.10,5.10,1,,,,Brazil
080241 - - In shell,,5.60,5.60,1,,,,Brazil
080242 - - Shelled,,5.60,5.60,1,,,,Brazil
080251 - - In shell,,1.60,1.60,1,,,,Brazil
080252 - - Shelled,,1.60,1.60,1,,,,Brazil
080261 - - In shell,,2.00,2.00,1,,,,Brazil
080262 - - Shelled,,2.00,2.00,1,,,,Brazil
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Brazil
080280 - Areca nuts,,0.00,0.00,1,,,,Brazil
080290 - Other,,1.33,1.33,3,,,,Brazil
080310 - Plantains,,16.00,16.00,2,,,,Brazil
080390 - Other,,16.00,16.00,2,1,,,Brazil
080410 - Dates,,7.70,7.70,1,,,,Brazil
080420 - Figs,,6.80,6.80,2,,,,Brazil
080430 - Pineapples,,5.80,5.80,1,,,,Brazil
080440 - Avocados,,4.00,4.00,1,,,,Brazil
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Brazil
080510 - Oranges,,16.00,16.00,4,3,,,Brazil
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,Brazil
080522 - - Clementines,,,,1,1,,,Brazil
080529 - - Other,,,,1,1,,,Brazil
"080540 - Grapefruit, including pomelos",,1.50,1.50,1,,,,Brazil
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,12.80,2,1,,,Brazil
080590 - Other,,12.80,12.80,1,,,,Brazil
080610 - Fresh,,14.40,14.40,2,1,,,Brazil
080620 - Dried,,2.40,2.40,3,,,,Brazil
080711 - - Watermelons,,8.80,8.80,1,,,,Brazil
080719 - - Other,,8.80,8.80,1,,,,Brazil
080720 - Papaws (papayas),,0.00,0.00,1,,,,Brazil
080810 - Apples,,,,2,2,,,Brazil
080830 - Pears,,,,2,2,,,Brazil
080840 - Quinces,,7.20,7.20,1,,,,Brazil
080910 - Apricots,,,,1,1,,,Brazil
080921 - - Sour cherries (Prunus cerasus),,,,1,1,,,Brazil
080929 - - Other,,,,1,1,,,Brazil
"080930 - Peaches, including nectarines",,,,2,2,,,Brazil
080940 - Plums and sloes,,12.00,12.00,2,1,,,Brazil
081010 - Strawberries,,11.20,11.20,1,,,,Brazil
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,9.20,2,,,,Brazil
"081030 - Black, white or red currants and gooseberries",,9.07,9.07,3,,,,Brazil
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,4.00,4,,,,Brazil
081050 - Kiwifruit,,8.80,8.80,1,,,,Brazil
081060 - Durians,,8.80,8.80,1,,,,Brazil
081070 - Persimmons,,8.80,8.80,1,,,,Brazil
081090 - Other,,4.40,4.40,2,,,,Brazil
081110 - Strawberries,,17.60,17.60,3,1,,,Brazil
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,14.67,7,1,,,Brazil
081190 - Other,,10.75,10.75,10,2,,,Brazil
081210 - Cherries,,8.80,8.80,1,,,,Brazil
081290 - Other,,7.16,7.16,5,,,,Brazil
081310 - Apricots,,5.60,5.60,1,,,,Brazil
081320 - Prunes,,9.60,9.60,1,,,,Brazil
081330 - Apples,,3.20,3.20,1,,,,Brazil
081340 - Other fruit,,3.28,3.28,5,,,,Brazil
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,6.86,7,,,,Brazil
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,1.60,1,,,,Brazil
,2017,"807,848,324",6.67,6.67,125,24,,,Brazil
080111 - - Desiccated,"2,044",0.00,0.00,1,,,,Brazil
080112 - - In the inner shell (endocarp),"1,258",0.00,0.00,1,,,,Brazil
080119 - - Other,"218,528",0.00,0.00,1,,,,Brazil
080121 - - In shell,"780,774",0.00,0.00,1,,,,Brazil
080122 - - Shelled,"515,767",0.00,0.00,1,,,,Brazil
080131 - - In shell,,0.00,0.00,1,,,,Brazil
080132 - - Shelled,"22,428,231",0.00,0.00,1,,,,Brazil
080211 - - In shell,112,2.80,2.80,2,,,,Brazil
080212 - - Shelled,655,1.75,1.75,2,,,,Brazil
080221 - - In shell,,3.20,3.20,1,,,,Brazil
080222 - - Shelled,947,3.20,3.20,1,,,,Brazil
080231 - - In shell,45,4.00,4.00,1,,,,Brazil
080232 - - Shelled,"24,593",5.10,5.10,1,,,,Brazil
080241 - - In shell,"535,832",5.60,5.60,1,,,,Brazil
080242 - - Shelled,346,5.60,5.60,1,,,,Brazil
080251 - - In shell,163,1.60,1.60,1,,,,Brazil
080252 - - Shelled,42,1.60,1.60,1,,,,Brazil
080261 - - In shell,,2.00,2.00,1,,,,Brazil
080262 - - Shelled,"448,739",2.00,2.00,1,,,,Brazil
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Brazil
080280 - Areca nuts,,0.00,0.00,1,,,,Brazil
080290 - Other,"101,661",1.33,1.33,3,,,,Brazil
080310 - Plantains,101,16.00,16.00,2,,,,Brazil
080390 - Other,"1,931,526",16.00,16.00,2,1,,,Brazil
080410 - Dates,"1,423",7.70,7.70,1,,,,Brazil
080420 - Figs,"7,956,867",6.80,6.80,2,,,,Brazil
080430 - Pineapples,"285,386",5.80,5.80,1,,,,Brazil
080440 - Avocados,"16,523,681",4.00,4.00,1,,,,Brazil
"080450 - Guavas, mangoes and mangosteens","198,007,239",0.00,0.00,1,,,,Brazil
080510 - Oranges,"18,416,837",16.00,16.00,4,3,,,Brazil
080521 - - Mandarins (including tangerines and satsumas),"1,311",,,2,2,,,Brazil
080522 - - Clementines,"3,902",,,1,1,,,Brazil
080529 - - Other,"3,827",,,1,1,,,Brazil
"080540 - Grapefruit, including pomelos","13,154",1.50,1.50,1,,,,Brazil
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","95,283,425",12.80,12.80,2,1,,,Brazil
080590 - Other,"140,839",12.80,12.80,1,,,,Brazil
080610 - Fresh,"87,239,182",14.40,14.40,2,1,,,Brazil
080620 - Dried,"1,888",2.40,2.40,3,,,,Brazil
080711 - - Watermelons,"45,406,656",8.80,8.80,1,,,,Brazil
080719 - - Other,"192,615,909",8.80,8.80,1,,,,Brazil
080720 - Papaws (papayas),"76,654,994",0.00,0.00,1,,,,Brazil
080810 - Apples,"33,199,199",,,2,2,,,Brazil
080830 - Pears,"3,413",,,2,2,,,Brazil
080840 - Quinces,29,7.20,7.20,1,,,,Brazil
080910 - Apricots,117,,,1,1,,,Brazil
080921 - - Sour cherries (Prunus cerasus),,,,1,1,,,Brazil
080929 - - Other,707,,,1,1,,,Brazil
"080930 - Peaches, including nectarines","11,759",,,2,2,,,Brazil
080940 - Plums and sloes,"11,572",12.00,12.00,2,1,,,Brazil
081010 - Strawberries,125,11.20,11.20,1,,,,Brazil
"081020 - Raspberries, blackberries, mulberries and loganberries","13,159",9.20,9.20,2,,,,Brazil
"081030 - Black, white or red currants and gooseberries",69,9.07,9.07,3,,,,Brazil
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","10,290",4.00,4.00,4,,,,Brazil
081050 - Kiwifruit,"1,695",8.80,8.80,1,,,,Brazil
081060 - Durians,9,8.80,8.80,1,,,,Brazil
081070 - Persimmons,"208,722",8.80,8.80,1,,,,Brazil
081090 - Other,"985,301",4.40,4.40,2,,,,Brazil
081110 - Strawberries,"7,062",17.60,17.60,3,1,,,Brazil
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","1,844",14.67,14.67,7,1,,,Brazil
081190 - Other,"6,196,264",10.75,10.75,10,2,,,Brazil
081210 - Cherries,,8.80,8.80,1,,,,Brazil
081290 - Other,"462,041",7.16,7.16,5,,,,Brazil
081310 - Apricots,140,5.60,5.60,1,,,,Brazil
081320 - Prunes,478,9.60,9.60,1,,,,Brazil
081330 - Apples,9,3.20,3.20,1,,,,Brazil
081340 - Other fruit,"560,071",3.28,3.28,5,,,,Brazil
081350 - Mixtures of nuts or dried fruits of this Chapter,"8,372",6.86,6.86,7,,,,Brazil
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","617,994",1.60,1.60,1,,,,Brazil
,2016,"752,826,783",6.67,6.67,124,23,,,Brazil
080111 -- Desiccated,609,0.00,0.00,1,,,,Brazil
080112 -- In the inner shell (endocarp),"3,719",0.00,0.00,1,,,,Brazil
080119 -- Other,"121,176",0.00,0.00,1,,,,Brazil
080121 -- In shell,"919,843",0.00,0.00,1,,,,Brazil
080122 -- Shelled,"2,717,435",0.00,0.00,1,,,,Brazil
080131 -- In shell,232,0.00,0.00,1,,,,Brazil
080132 -- Shelled,"27,335,754",0.00,0.00,1,,,,Brazil
080211 -- In shell,,2.80,2.80,2,,,,Brazil
080212 -- Shelled,,1.75,1.75,2,,,,Brazil
080221 -- In shell,,3.20,3.20,1,,,,Brazil
080222 -- Shelled,"16,295",3.20,3.20,1,,,,Brazil
080231 -- In shell,,4.00,4.00,1,,,,Brazil
080232 -- Shelled,,5.10,5.10,1,,,,Brazil
080241 -- In shell,"242,138",5.60,5.60,1,,,,Brazil
080242 -- Shelled,,5.60,5.60,1,,,,Brazil
080251 -- In shell,,1.60,1.60,1,,,,Brazil
080252 -- Shelled,"1,591",1.60,1.60,1,,,,Brazil
080261 -- In shell,,2.00,2.00,1,,,,Brazil
080262 -- Shelled,"1,061,015",2.00,2.00,1,,,,Brazil
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Brazil
080280 - Areca nuts,,0.00,0.00,1,,,,Brazil
080290 - Other,450,1.33,1.33,3,,,,Brazil
080310 - Plantains,656,16.00,16.00,2,,,,Brazil
080390 - Other,"13,358,930",16.00,16.00,2,1,,,Brazil
080410 - Dates,,7.70,7.70,1,,,,Brazil
080420 - Figs,"7,014,535",6.80,6.80,2,,,,Brazil
080430 - Pineapples,"441,468",5.80,5.80,1,,,,Brazil
080440 - Avocados,"9,488,207",4.00,4.00,1,,,,Brazil
"080450 - Guavas, mangoes and mangosteens","186,970,031",0.00,0.00,1,,,,Brazil
080510 - Oranges,"11,679,449",16.00,16.00,2,1,,,Brazil
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,,,5,5,,,Brazil
"080540 - Grapefruit, including pomelos",,1.50,1.50,1,,,,Brazil
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","107,263,627",12.80,12.80,2,1,,,Brazil
080590 - Other,"36,442",12.80,12.80,1,,,,Brazil
080610 - Fresh,"78,187,951",14.40,14.40,2,1,,,Brazil
080620 - Dried,,2.40,2.40,3,,,,Brazil
080711 -- Watermelons,"39,729,018",8.80,8.80,1,,,,Brazil
080719 -- Other,"173,057,452",8.80,8.80,1,,,,Brazil
080720 - Papaws (papayas),"66,918,997",0.00,0.00,1,,,,Brazil
080810 - Apples,"17,624,932",,,2,2,,,Brazil
080830 - Pears,"33,193",,,2,2,,,Brazil
080840 - Quinces,,7.20,7.20,1,,,,Brazil
080910 - Apricots,,,,1,1,,,Brazil
080921 -- Sour cherries (Prunus cerasus),,,,1,1,,,Brazil
080929 -- Other,,,,1,1,,,Brazil
"080930 - Peaches, including nectarines",,,,2,2,,,Brazil
080940 - Plums and sloes,,12.00,12.00,2,1,,,Brazil
081010 - Strawberries,,11.20,11.20,1,,,,Brazil
"081020 - Raspberries, blackberries, mulberries and loganberries","54,835",9.20,9.20,2,,,,Brazil
"081030 - Black, white or red currants and gooseberries",,9.07,9.07,3,,,,Brazil
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,4.00,4,,,,Brazil
081050 - Kiwifruit,,8.80,8.80,1,,,,Brazil
081060 - Durians,,8.80,8.80,1,,,,Brazil
081070 - Persimmons,"64,350",8.80,8.80,1,,,,Brazil
081090 - Other,"502,477",4.40,4.40,2,,,,Brazil
081110 - Strawberries,"6,783",17.60,17.60,3,1,,,Brazil
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,14.67,7,1,,,Brazil
081190 - Other,"5,648,596",10.75,10.75,10,2,,,Brazil
081210 - Cherries,,8.80,8.80,1,,,,Brazil
081290 - Other,"785,742",7.16,7.16,5,,,,Brazil
081310 - Apricots,,5.60,5.60,1,,,,Brazil
081320 - Prunes,,9.60,9.60,1,,,,Brazil
081330 - Apples,"5,427",3.20,3.20,1,,,,Brazil
081340 - Other fruit,"1,093,826",3.28,3.28,5,,,,Brazil
081350 - Mixtures of nuts or dried fruits of this Chapter,375,6.86,6.86,7,,,,Brazil
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","439,226",1.60,1.60,1,,,,Brazil
,2015,"769,670,932",6.67,6.67,124,23,,,Brazil
080111 -- Desiccated,"2,284",0.00,0.00,1,,,,Brazil
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,Brazil
080119 -- Other,"46,892",0.00,0.00,1,,,,Brazil
080121 -- In shell,"738,426",0.00,0.00,1,,,,Brazil
080122 -- Shelled,"8,227,545",0.00,0.00,1,,,,Brazil
080131 -- In shell,,0.00,0.00,1,,,,Brazil
080132 -- Shelled,"30,803,959",0.00,0.00,1,,,,Brazil
080211 -- In shell,,2.80,2.80,2,,,,Brazil
080212 -- Shelled,196,1.75,1.75,2,,,,Brazil
080221 -- In shell,,3.20,3.20,1,,,,Brazil
080222 -- Shelled,149,3.20,3.20,1,,,,Brazil
080231 -- In shell,,4.00,4.00,1,,,,Brazil
080232 -- Shelled,,5.10,5.10,1,,,,Brazil
080241 -- In shell,"1,396",5.60,5.60,1,,,,Brazil
080242 -- Shelled,,5.60,5.60,1,,,,Brazil
080251 -- In shell,,1.60,1.60,1,,,,Brazil
080252 -- Shelled,"8,595",1.60,1.60,1,,,,Brazil
080261 -- In shell,,2.00,2.00,1,,,,Brazil
080262 -- Shelled,"603,950",2.00,2.00,1,,,,Brazil
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Brazil
080280 - Areca nuts,,0.00,0.00,1,,,,Brazil
080290 - Other,166,1.33,1.33,3,,,,Brazil
080310 - Plantains,,16.00,16.00,2,,,,Brazil
080390 - Other,"12,316,967",16.00,16.00,2,1,,,Brazil
080410 - Dates,,7.70,7.70,1,,,,Brazil
080420 - Figs,"8,017,897",6.80,6.80,2,,,,Brazil
080430 - Pineapples,"105,377",5.80,5.80,1,,,,Brazil
080440 - Avocados,"7,123,211",4.00,4.00,1,,,,Brazil
"080450 - Guavas, mangoes and mangosteens","203,116,486",0.00,0.00,1,,,,Brazil
080510 - Oranges,"10,677,619",16.00,16.00,2,1,,,Brazil
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","242,002",,,5,5,,,Brazil
"080540 - Grapefruit, including pomelos","23,158",1.50,1.50,1,,,,Brazil
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","82,293,248",12.80,12.80,2,1,,,Brazil
080590 - Other,,12.80,12.80,1,,,,Brazil
080610 - Fresh,"81,791,142",14.40,14.40,2,1,,,Brazil
080620 - Dried,,2.40,2.40,3,,,,Brazil
080711 -- Watermelons,"32,259,995",8.80,8.80,1,,,,Brazil
080719 -- Other,"176,775,057",8.80,8.80,1,,,,Brazil
080720 - Papaws (papayas),"66,772,797",0.00,0.00,1,,,,Brazil
080810 - Apples,"38,179,952",,,2,2,,,Brazil
080830 - Pears,"154,614",,,2,2,,,Brazil
080840 - Quinces,,7.20,7.20,1,,,,Brazil
080910 - Apricots,,,,1,1,,,Brazil
080921 -- Sour cherries (Prunus cerasus),,,,1,1,,,Brazil
080929 -- Other,,,,1,1,,,Brazil
"080930 - Peaches, including nectarines",,,,2,2,,,Brazil
080940 - Plums and sloes,,12.00,12.00,2,1,,,Brazil
081010 - Strawberries,,11.20,11.20,1,,,,Brazil
"081020 - Raspberries, blackberries, mulberries and loganberries","3,164",9.20,9.20,2,,,,Brazil
"081030 - Black, white or red currants and gooseberries",,9.07,9.07,3,,,,Brazil
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","46,209",4.00,4.00,4,,,,Brazil
081050 - Kiwifruit,,8.80,8.80,1,,,,Brazil
081060 - Durians,,8.80,8.80,1,,,,Brazil
081070 - Persimmons,"128,065",8.80,8.80,1,,,,Brazil
081090 - Other,"1,126,641",4.40,4.40,2,,,,Brazil
081110 - Strawberries,"9,199",17.60,17.60,3,1,,,Brazil
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","10,130",14.67,14.67,7,1,,,Brazil
081190 - Other,"5,327,748",10.75,10.75,10,2,,,Brazil
081210 - Cherries,,8.80,8.80,1,,,,Brazil
081290 - Other,"439,559",7.16,7.16,5,,,,Brazil
081310 - Apricots,,5.60,5.60,1,,,,Brazil
081320 - Prunes,1,9.60,9.60,1,,,,Brazil
081330 - Apples,,3.20,3.20,1,,,,Brazil
081340 - Other fruit,"1,531,105",3.28,3.28,5,,,,Brazil
081350 - Mixtures of nuts or dried fruits of this Chapter,"3,329",6.86,6.86,7,,,,Brazil
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","762,699",1.60,1.60,1,,,,Brazil
,2014,"804,139,614",6.67,6.67,124,23,,,Brazil
080111 -- Desiccated,"105,506",0.00,0.00,1,,,,Brazil
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,Brazil
080119 -- Other,"77,644",0.00,0.00,1,,,,Brazil
080121 -- In shell,"217,246",0.00,0.00,1,,,,Brazil
080122 -- Shelled,"257,822",0.00,0.00,1,,,,Brazil
080131 -- In shell,"2,890",0.00,0.00,1,,,,Brazil
080132 -- Shelled,"41,259,423",0.00,0.00,1,,,,Brazil
080211 -- In shell,,2.80,2.80,2,,,,Brazil
080212 -- Shelled,161,1.75,1.75,2,,,,Brazil
080221 -- In shell,,3.20,3.20,1,,,,Brazil
080222 -- Shelled,,3.20,3.20,1,,,,Brazil
080231 -- In shell,"10,134",4.00,4.00,1,,,,Brazil
080232 -- Shelled,,5.10,5.10,1,,,,Brazil
080241 -- In shell,,5.60,5.60,1,,,,Brazil
080242 -- Shelled,,5.60,5.60,1,,,,Brazil
080251 -- In shell,,1.60,1.60,1,,,,Brazil
080252 -- Shelled,109,1.60,1.60,1,,,,Brazil
080261 -- In shell,"247,027",2.00,2.00,1,,,,Brazil
080262 -- Shelled,"1,103,678",2.00,2.00,1,,,,Brazil
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Brazil
080280 - Areca nuts,,0.00,0.00,1,,,,Brazil
080290 - Other,"1,219",1.33,1.33,3,,,,Brazil
080310 - Plantains,"1,766",16.00,16.00,2,,,,Brazil
080390 - Other,"21,519,842",16.00,16.00,2,1,,,Brazil
080410 - Dates,,7.70,7.70,1,,,,Brazil
080420 - Figs,"9,691,575",6.80,6.80,2,,,,Brazil
080430 - Pineapples,"121,021",5.80,5.80,1,,,,Brazil
080440 - Avocados,"10,538,929",4.00,4.00,1,,,,Brazil
"080450 - Guavas, mangoes and mangosteens","201,252,305",0.00,0.00,1,,,,Brazil
080510 - Oranges,"11,734,939",16.00,16.00,2,1,,,Brazil
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,,,5,5,,,Brazil
"080540 - Grapefruit, including pomelos","48,501",1.50,1.50,1,,,,Brazil
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","108,427,064",12.80,12.80,2,1,,,Brazil
080590 - Other,"6,689",12.80,12.80,1,,,,Brazil
080610 - Fresh,"80,784,634",14.40,14.40,2,1,,,Brazil
080620 - Dried,"53,905",2.40,2.40,3,,,,Brazil
080711 -- Watermelons,"23,911,981",8.80,8.80,1,,,,Brazil
080719 -- Other,"181,553,915",8.80,8.80,1,,,,Brazil
080720 - Papaws (papayas),"65,795,394",0.00,0.00,1,,,,Brazil
080810 - Apples,"36,202,160",,,2,2,,,Brazil
080830 - Pears,"10,103",,,2,2,,,Brazil
080840 - Quinces,,7.20,7.20,1,,,,Brazil
080910 - Apricots,,,,1,1,,,Brazil
080921 -- Sour cherries (Prunus cerasus),,,,1,1,,,Brazil
080929 -- Other,,,,1,1,,,Brazil
"080930 - Peaches, including nectarines","6,550",,,2,2,,,Brazil
080940 - Plums and sloes,,12.00,12.00,2,1,,,Brazil
081010 - Strawberries,,11.20,11.20,1,,,,Brazil
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,9.20,2,,,,Brazil
"081030 - Black, white or red currants and gooseberries",,9.07,9.07,3,,,,Brazil
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,4.00,4,,,,Brazil
081050 - Kiwifruit,,8.80,8.80,1,,,,Brazil
081060 - Durians,,8.80,8.80,1,,,,Brazil
081070 - Persimmons,"192,284",8.80,8.80,1,,,,Brazil
081090 - Other,"720,803",4.40,4.40,2,,,,Brazil
081110 - Strawberries,"11,712",17.60,17.60,3,1,,,Brazil
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","11,068",14.67,14.67,7,1,,,Brazil
081190 - Other,"5,342,542",10.75,10.75,10,2,,,Brazil
