Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
Yemen,0,,,,,,,Nepal
,2016,,10.00,10.00,106,,,,Nepal
610120 - Of cotton,,10.00,10.00,1,,,,Nepal
610130 - Of man-made fibres,,10.00,10.00,1,,,,Nepal
610190 - Of other textile materials,,10.00,10.00,1,,,,Nepal
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,Nepal
610220 - Of cotton,,10.00,10.00,1,,,,Nepal
610230 - Of man-made fibres,,10.00,10.00,1,,,,Nepal
610290 - Of other textile materials,,10.00,10.00,1,,,,Nepal
610310 - Suits,,10.00,10.00,1,,,,Nepal
610322 -- Of cotton,,10.00,10.00,1,,,,Nepal
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
610329 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Nepal
610332 -- Of cotton,,10.00,10.00,1,,,,Nepal
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
610339 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Nepal
610342 -- Of cotton,,10.00,10.00,1,,,,Nepal
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
610349 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
610419 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610422 -- Of cotton,,10.00,10.00,1,,,,Nepal
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
610429 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Nepal
610432 -- Of cotton,,10.00,10.00,1,,,,Nepal
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
610439 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610441 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Nepal
610442 -- Of cotton,,10.00,10.00,1,,,,Nepal
610443 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
610444 -- Of artificial fibres,,10.00,10.00,1,,,,Nepal
610449 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610451 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Nepal
610452 -- Of cotton,,10.00,10.00,1,,,,Nepal
610453 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
610459 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Nepal
610462 -- Of cotton,,10.00,10.00,1,,,,Nepal
610463 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
610469 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610510 - Of cotton,,10.00,10.00,1,,,,Nepal
610520 - Of man-made fibres,,10.00,10.00,1,,,,Nepal
610590 - Of other textile materials,,10.00,10.00,1,,,,Nepal
610610 - Of cotton,,10.00,10.00,1,,,,Nepal
610620 - Of man-made fibres,,10.00,10.00,1,,,,Nepal
610690 - Of other textile materials,,10.00,10.00,1,,,,Nepal
610711 -- Of cotton,,10.00,10.00,1,,,,Nepal
610712 -- Of man-made fibres,,10.00,10.00,1,,,,Nepal
610719 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610721 -- Of cotton,,10.00,10.00,1,,,,Nepal
610722 -- Of man-made fibres,,10.00,10.00,1,,,,Nepal
610729 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610791 -- Of cotton,,10.00,10.00,1,,,,Nepal
610799 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610811 -- Of man-made fibres,,10.00,10.00,1,,,,Nepal
610819 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610821 -- Of cotton,,10.00,10.00,1,,,,Nepal
610822 -- Of man-made fibres,,10.00,10.00,1,,,,Nepal
610829 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610831 -- Of cotton,,10.00,10.00,1,,,,Nepal
610832 -- Of man-made fibres,,10.00,10.00,1,,,,Nepal
610839 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610891 -- Of cotton,,10.00,10.00,1,,,,Nepal
610892 -- Of man-made fibres,,10.00,10.00,1,,,,Nepal
610899 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
610910 - Of cotton,,10.00,10.00,1,,,,Nepal
610990 - Of other textile materials,,10.00,10.00,1,,,,Nepal
611011 -- Of wool,,10.00,10.00,1,,,,Nepal
611012 -- Of Kashmir (cashmere) goats,,10.00,10.00,1,,,,Nepal
611019 -- Other,,10.00,10.00,1,,,,Nepal
611020 - Of cotton,,10.00,10.00,1,,,,Nepal
611030 - Of man-made fibres,,10.00,10.00,1,,,,Nepal
611090 - Of other textile materials,,10.00,10.00,1,,,,Nepal
611120 - Of cotton,,10.00,10.00,1,,,,Nepal
611130 - Of synthetic fibres,,10.00,10.00,1,,,,Nepal
611190 - Of other textile materials,,10.00,10.00,1,,,,Nepal
611211 -- Of cotton,,10.00,10.00,1,,,,Nepal
611212 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
611219 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
611220 - Ski suits,,10.00,10.00,1,,,,Nepal
611231 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
611239 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
611241 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
611249 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,1,,,,Nepal
611420 - Of cotton,,10.00,10.00,1,,,,Nepal
611430 - Of man-made fibres,,10.00,10.00,1,,,,Nepal
611490 - Of other textile materials,,10.00,10.00,1,,,,Nepal
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,1,,,,Nepal
"611521 -- Of synthetic fibres, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Nepal
"611522 -- Of synthetic fibres, measuring per single yarn 67 decitex or more",,10.00,10.00,1,,,,Nepal
611529 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Nepal
611594 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Nepal
611595 -- Of cotton,,10.00,10.00,1,,,,Nepal
611596 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
611599 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
"611610 - Impregnated, coated or covered with plastics or rubber",,10.00,10.00,1,,,,Nepal
611691 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Nepal
611692 -- Of cotton,,10.00,10.00,1,,,,Nepal
611693 -- Of synthetic fibres,,10.00,10.00,1,,,,Nepal
611699 -- Of other textile materials,,10.00,10.00,1,,,,Nepal
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,10.00,10.00,1,,,,Nepal
611780 - Other accessories,,10.00,10.00,1,,,,Nepal
611790 - Parts,,10.00,10.00,1,,,,Nepal
,2015,,10.00,10.00,106,,,,Nepal
610120 - Of cotton,,10.00,10.00,1,,,,Nepal
610130 - Of man-made fibres,,10.00,10.00,1,,,,Nepal
610190 - Of other textile materials,,10.00,10.00,1,,,,Nepal
