Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,25.00,25.00,1,,,,Cambodia
081190 - Other,,17.50,17.50,2,,,,Cambodia
081210 - Cherries,,25.00,25.00,1,,,,Cambodia
081290 - Other,,25.00,25.00,2,,,,Cambodia
081310 - Apricots,,25.00,25.00,1,,,,Cambodia
081320 - Prunes,,25.00,25.00,1,,,,Cambodia
081330 - Apples,,25.00,25.00,1,,,,Cambodia
081340 - Other fruit,,25.00,25.00,1,,,,Cambodia
081350 - Mixtures of nuts or dried fruits of this Chapter,,17.50,17.50,2,,,,Cambodia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,25.00,25.00,1,,,,Cambodia
