Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
Brazil,"776,375",,,,,,,Costa Rica
,2018,,22.38,22.38,156,,,,Costa Rica
870110 - Single axle tractors,,14.00,14.00,1,,,,Costa Rica
870120 - Road tractors for semi-trailers,,35.00,35.00,1,,,,Costa Rica
870130 - Track-laying tractors,,14.00,14.00,1,,,,Costa Rica
870191 - - Not exceeding 18 kW,,14.00,14.00,1,,,,Costa Rica
870192 - - Exceeding 18 kW but not exceeding 37 kW,,14.00,14.00,1,,,,Costa Rica
870193 - - Exceeding 37 kW but not exceeding 75 kW,,14.00,14.00,1,,,,Costa Rica
870194 - - Exceeding 75 kW but not exceeding 130 kW,,7.00,7.00,2,,,,Costa Rica
870195 - - Exceeding 130 kW,,7.00,7.00,2,,,,Costa Rica
870210 - With only compression-ignition internal combustion piston engine (diesel or semi-diesel),,35.00,35.00,1,,,,Costa Rica
870220 - With both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion,,35.00,35.00,1,,,,Costa Rica
870230 - With both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion,,35.00,35.00,1,,,,Costa Rica
870240 - With only electric motor for propulsion,,35.00,35.00,2,,,,Costa Rica
870290 - Other,,35.00,35.00,1,,,,Costa Rica
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,35.00,35.00,1,,,,Costa Rica
"870321 - - Of a cylinder capacity not exceeding 1,000 cc",,35.00,35.00,1,,,,Costa Rica
"870322 - - Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,35.00,35.00,2,,,,Costa Rica
"870323 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,35.00,35.00,2,,,,Costa Rica
"870324 - - Of a cylinder capacity exceeding 3,000 cc",,35.00,35.00,2,,,,Costa Rica
"870331 - - Of a cylinder capacity not exceeding 1,500 cc",,35.00,35.00,2,,,,Costa Rica
"870332 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,35.00,35.00,2,,,,Costa Rica
"870333 - - Of a cylinder capacity exceeding 2,500 cc",,35.00,35.00,2,,,,Costa Rica
"870340 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,Costa Rica
"870350 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,Costa Rica
"870360 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,Costa Rica
"870370 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,Costa Rica
"870380 - Other vehicles, with only electric motor for propulsion",,35.00,35.00,1,,,,Costa Rica
870390 - Other,,35.00,35.00,1,,,,Costa Rica
870410 - Dumpers designed for off-highway use,,7.00,7.00,2,,,,Costa Rica
870421 - - g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,Costa Rica
870422 - - g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,35.00,35.00,4,,,,Costa Rica
870423 - - g.v.w. exceeding 20 tonnes,,27.80,27.80,5,,,,Costa Rica
870431 - - g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,Costa Rica
870432 - - g.v.w. exceeding 5 tonnes,,35.00,35.00,4,,,,Costa Rica
870490 - Other,,35.00,35.00,1,,,,Costa Rica
870510 - Crane lorries,,17.50,17.50,2,,,,Costa Rica
870520 - Mobile drilling derricks,,35.00,35.00,1,,,,Costa Rica
870530 - Fire fighting vehicles,,35.00,35.00,1,,,,Costa Rica
870540 - Concrete-mixer lorries,,35.00,35.00,1,,,,Costa Rica
870590 - Other,,18.50,18.50,2,,,,Costa Rica
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,28.00,28.00,3,,,,Costa Rica
870710 - For the vehicles of heading 87.03,,35.00,35.00,1,,,,Costa Rica
870790 - Other,,24.50,24.50,2,,,,Costa Rica
870810 - Bumpers and parts thereof,,18.00,18.00,1,,,,Costa Rica
870821 - - Safety seat belts,,18.00,18.00,1,,,,Costa Rica
870829 - - Other,,14.73,14.73,11,,,,Costa Rica
870830 - Brakes and servo-brakes; parts thereof,,16.67,16.67,3,,,,Costa Rica
870840 - Gear boxes and parts thereof,,12.50,12.50,4,,,,Costa Rica
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof",,13.00,13.00,6,,,,Costa Rica
870870 - Road wheels and parts and accessories thereof,,16.00,16.00,2,,,,Costa Rica
870880 - Suspension systems and parts thereof (including shock-absorbers),,18.00,18.00,1,,,,Costa Rica
870891 - - Radiators and parts thereof,,18.00,18.00,1,,,,Costa Rica
870892 - - Silencers (mufflers) and exhaust pipes; parts thereof,,18.00,18.00,1,,,,Costa Rica
870893 - - Clutches and parts thereof,,18.00,18.00,1,,,,Costa Rica
"870894 - - Steering wheels, steering columns and steering boxes; parts thereof",,16.29,16.29,7,,,,Costa Rica
870895 - - Safety airbags with inflater system; parts thereof,,14.00,14.00,4,,,,Costa Rica
870899 - - Other,,9.00,9.00,2,,,,Costa Rica
870911 - - Electrical,,14.00,14.00,1,,,,Costa Rica
870919 - - Other,,14.00,14.00,1,,,,Costa Rica
870990 - Parts,,14.00,14.00,1,,,,Costa Rica
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,0.00,0.00,1,,,,Costa Rica
871110 - With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,20.00,20.00,1,,,,Costa Rica
871120 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,,20.00,20.00,3,,,,Costa Rica
871130 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,,20.00,20.00,1,,,,Costa Rica
871140 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,,20.00,20.00,1,,,,Costa Rica
871150 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,20.00,20.00,1,,,,Costa Rica
871160 - With electric motor for propulsion,,20.00,20.00,1,,,,Costa Rica
871190 - Other,,20.00,20.00,1,,,,Costa Rica
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",,20.00,20.00,2,,,,Costa Rica
871310 - Not mechanically propelled,,12.00,12.00,1,,,,Costa Rica
871390 - Other,,2.00,2.00,1,,,,Costa Rica
871410 - Of motorcycles (including mopeds),,16.00,16.00,1,,,,Costa Rica
871420 - Of carriages for disabled persons,,10.00,10.00,1,,,,Costa Rica
"871491 - - Frames and forks, and parts thereof",,16.00,16.00,1,,,,Costa Rica
871492 - - Wheel rims and spokes,,16.00,16.00,1,,,,Costa Rica
"871493 - - Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels",,16.00,16.00,2,,,,Costa Rica
"871494 - - Brakes, including coaster braking hubs and hub brakes, and parts thereof",,16.00,16.00,2,,,,Costa Rica
871495 - - Saddles,,16.00,16.00,1,,,,Costa Rica
"871496 - - Pedals and crank-gear, and parts thereof",,16.00,16.00,1,,,,Costa Rica
871499 - - Other,,16.00,16.00,2,,,,Costa Rica
871500 Baby carriages and parts thereof.,,20.00,20.00,1,,,,Costa Rica
"871610 - Trailers and semi-trailers of the caravan type, for housing or camping",,20.00,20.00,1,,,,Costa Rica
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,14.00,14.00,1,,,,Costa Rica
871631 - - Tanker trailers and tanker semi-trailers,,35.00,35.00,1,,,,Costa Rica
871639 - - Other,,35.00,35.00,1,,,,Costa Rica
871640 - Other trailers and semi-trailers,,35.00,35.00,1,,,,Costa Rica
871680 - Other vehicles,,35.00,35.00,1,,,,Costa Rica
871690 - Parts,,16.00,16.00,2,,,,Costa Rica
,2017,"53,831",22.75,22.75,155,,,,Costa Rica
870110 - Single axle tractors,,14.00,14.00,1,,,,Costa Rica
870120 - Road tractors for semi-trailers,,35.00,35.00,1,,,,Costa Rica
870130 - Track-laying tractors,,14.00,14.00,1,,,,Costa Rica
870191 - - Not exceeding 18 kW,,14.00,14.00,1,,,,Costa Rica
870192 - - Exceeding 18 kW but not exceeding 37 kW,,14.00,14.00,1,,,,Costa Rica
870193 - - Exceeding 37 kW but not exceeding 75 kW,,14.00,14.00,1,,,,Costa Rica
870194 - - Exceeding 75 kW but not exceeding 130 kW,,7.00,7.00,2,,,,Costa Rica
870195 - - Exceeding 130 kW,,7.00,7.00,2,,,,Costa Rica
870210 - With only compression-ignition internal combustion piston engine (diesel or semi-diesel),,35.00,35.00,1,,,,Costa Rica
870220 - With both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion,,35.00,35.00,1,,,,Costa Rica
870230 - With both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion,,35.00,35.00,1,,,,Costa Rica
870240 - With only electric motor for propulsion,,35.00,35.00,2,,,,Costa Rica
870290 - Other,,35.00,35.00,1,,,,Costa Rica
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,35.00,35.00,1,,,,Costa Rica
"870321 - - Of a cylinder capacity not exceeding 1,000 cc",,35.00,35.00,1,,,,Costa Rica
"870322 - - Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,35.00,35.00,2,,,,Costa Rica
"870323 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,35.00,35.00,2,,,,Costa Rica
"870324 - - Of a cylinder capacity exceeding 3,000 cc",,35.00,35.00,2,,,,Costa Rica
"870331 - - Of a cylinder capacity not exceeding 1,500 cc",,35.00,35.00,2,,,,Costa Rica
"870332 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,35.00,35.00,2,,,,Costa Rica
"870333 - - Of a cylinder capacity exceeding 2,500 cc",,35.00,35.00,2,,,,Costa Rica
"870340 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,Costa Rica
"870350 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,Costa Rica
"870360 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,Costa Rica
"870370 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,Costa Rica
"870380 - Other vehicles, with only electric motor for propulsion",,35.00,35.00,1,,,,Costa Rica
870390 - Other,,35.00,35.00,1,,,,Costa Rica
870410 - Dumpers designed for off-highway use,,7.00,7.00,2,,,,Costa Rica
870421 - - g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,Costa Rica
870422 - - g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,35.00,35.00,4,,,,Costa Rica
870423 - - g.v.w. exceeding 20 tonnes,,35.00,35.00,4,,,,Costa Rica
870431 - - g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,Costa Rica
870432 - - g.v.w. exceeding 5 tonnes,,35.00,35.00,4,,,,Costa Rica
870490 - Other,,35.00,35.00,1,,,,Costa Rica
870510 - Crane lorries,,35.00,35.00,2,,,,Costa Rica
870520 - Mobile drilling derricks,,35.00,35.00,1,,,,Costa Rica
870530 - Fire fighting vehicles,,35.00,35.00,1,,,,Costa Rica
870540 - Concrete-mixer lorries,,35.00,35.00,1,,,,Costa Rica
870590 - Other,,18.50,18.50,2,,,,Costa Rica
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,28.00,28.00,3,,,,Costa Rica
870710 - For the vehicles of heading 87.03,,35.00,35.00,1,,,,Costa Rica
870790 - Other,,24.50,24.50,2,,,,Costa Rica
870810 - Bumpers and parts thereof,,18.00,18.00,1,,,,Costa Rica
870821 - - Safety seat belts,,18.00,18.00,1,,,,Costa Rica
870829 - - Other,,14.73,14.73,11,,,,Costa Rica
870830 - Brakes and servo-brakes; parts thereof,,16.67,16.67,3,,,,Costa Rica
870840 - Gear boxes and parts thereof,,12.50,12.50,4,,,,Costa Rica
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof",,13.00,13.00,6,,,,Costa Rica
870870 - Road wheels and parts and accessories thereof,,16.00,16.00,2,,,,Costa Rica
870880 - Suspension systems and parts thereof (including shock-absorbers),326,18.00,18.00,1,,,,Costa Rica
870891 - - Radiators and parts thereof,27,18.00,18.00,1,,,,Costa Rica
870892 - - Silencers (mufflers) and exhaust pipes; parts thereof,,18.00,18.00,1,,,,Costa Rica
870893 - - Clutches and parts thereof,,18.00,18.00,1,,,,Costa Rica
"870894 - - Steering wheels, steering columns and steering boxes; parts thereof",,16.29,16.29,7,,,,Costa Rica
870895 - - Safety airbags with inflater system; parts thereof,,10.00,10.00,4,,,,Costa Rica
870899 - - Other,"53,478",9.00,9.00,2,,,,Costa Rica
870911 - - Electrical,,14.00,14.00,1,,,,Costa Rica
870919 - - Other,,14.00,14.00,1,,,,Costa Rica
870990 - Parts,,14.00,14.00,1,,,,Costa Rica
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,0.00,0.00,1,,,,Costa Rica
871110 - With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,20.00,20.00,1,,,,Costa Rica
871120 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,,20.00,20.00,3,,,,Costa Rica
871130 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,,20.00,20.00,1,,,,Costa Rica
871140 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,,20.00,20.00,1,,,,Costa Rica
871150 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,20.00,20.00,1,,,,Costa Rica
871160 - With electric motor for propulsion,,20.00,20.00,1,,,,Costa Rica
871190 - Other,,20.00,20.00,1,,,,Costa Rica
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",,27.50,27.50,2,,,,Costa Rica
871310 - Not mechanically propelled,,12.00,12.00,1,,,,Costa Rica
871390 - Other,,2.00,2.00,1,,,,Costa Rica
871410 - Of motorcycles (including mopeds),,16.00,16.00,1,,,,Costa Rica
871420 - Of carriages for disabled persons,,10.00,10.00,1,,,,Costa Rica
"871491 - - Frames and forks, and parts thereof",,16.00,16.00,1,,,,Costa Rica
