Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Nepal
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Nepal
950659 -- Other,,2.70,0.00,1,,1,,Nepal
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Nepal
950662 -- Inflatable,837,2.70,0.00,1,,1,,Nepal
950669 -- Other,"4,470",1.35,0.00,2,,1,,Nepal
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Nepal
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","9,052",2.70,0.00,2,,2,,Nepal
950699 -- Other,"4,414",1.35,0.00,2,,1,,Nepal
950710 - Fishing rods,,3.70,0.00,1,,1,,Nepal
"950720 - Fish-hooks, whether or not snelled",337,2.70,0.00,2,,2,,Nepal
950730 - Fishing reels,,3.70,0.00,1,,1,,Nepal
950790 - Other,,3.70,0.00,1,,1,,Nepal
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Nepal
950890 - Other,,1.70,0.00,1,,1,,Nepal
,2015,"507,424",2.17,0.00,62,,41,,Nepal
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","105,492",2.09,0.00,18,,8,,Nepal
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Nepal
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",210,0.00,0.00,3,,,,Nepal
950440 - Playing cards,8,2.70,0.00,1,,1,,Nepal
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Nepal
950490 - Other,98,0.00,0.00,2,,,,Nepal
950510 - Articles for Christmas festivities,"246,354",1.35,0.00,2,,1,,Nepal
950590 - Other,"152,093",2.70,0.00,1,,1,,Nepal
950611 -- Skis,,3.70,0.00,4,,4,,Nepal
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Nepal
950619 -- Other,,2.70,0.00,1,,1,,Nepal
950621 -- Sailboards,,2.70,0.00,1,,1,,Nepal
950629 -- Other,,2.70,0.00,1,,1,,Nepal
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Nepal
950632 -- Balls,392,2.70,0.00,1,,1,,Nepal
950639 -- Other,,2.70,0.00,2,,2,,Nepal
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Nepal
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Nepal
950659 -- Other,,2.70,0.00,1,,1,,Nepal
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Nepal
950662 -- Inflatable,148,2.70,0.00,1,,1,,Nepal
950669 -- Other,"1,114",1.35,0.00,2,,1,,Nepal
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Nepal
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",464,2.70,0.00,2,,2,,Nepal
950699 -- Other,"1,054",1.35,0.00,2,,1,,Nepal
950710 - Fishing rods,,3.70,0.00,1,,1,,Nepal
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Nepal
950730 - Fishing reels,,3.70,0.00,1,,1,,Nepal
950790 - Other,,3.70,0.00,1,,1,,Nepal
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Nepal
950890 - Other,,1.70,0.00,1,,1,,Nepal
,2014,"326,128",2.17,0.00,62,,41,,Nepal
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","107,641",2.09,0.00,18,,8,,Nepal
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Nepal
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,Nepal
950440 - Playing cards,96,2.70,0.00,1,,1,,Nepal
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Nepal
950490 - Other,"4,081",0.00,0.00,2,,,,Nepal
950510 - Articles for Christmas festivities,"125,855",1.35,0.00,2,,1,,Nepal
950590 - Other,"78,027",2.70,0.00,1,,1,,Nepal
950611 -- Skis,,3.70,0.00,4,,4,,Nepal
