Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
Yemen,0,,,,,,,Nepal
,2016,,9.40,9.40,126,,,,Nepal
870110 - Pedestrian controlled tractors,,5.00,5.00,2,,,,Nepal
870120 - Road tractors for semi-trailers,,15.00,15.00,3,,,,Nepal
870130 -Track-laying tractors,,5.00,5.00,1,,,,Nepal
870190 - Other,,5.00,5.00,2,,,,Nepal
870210 -With compression-ignition internal combustion piston engine (diesel or semi-diesel),,15.00,15.00,3,,,,Nepal
870290 - Other,,15.00,15.00,3,,,,Nepal
870310 -Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,15.00,15.00,3,,,,Nepal
"870321 -- Of a cylinder capacity not exceeding 1,000 cc",,15.00,15.00,3,,,,Nepal
"870322 -- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,15.00,15.00,3,,,,Nepal
"870323 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,15.00,15.00,3,,,,Nepal
"870324 -- Of a cylinder capacity exceeding 3,000 cc",,15.00,15.00,3,,,,Nepal
"870331 -- Of a cylinder capacity not exceeding 1,500 cc",,15.00,15.00,3,,,,Nepal
"870332 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,15.00,15.00,3,,,,Nepal
"870333 -- Of a cylinder capacity exceeding 2,500 cc",,15.00,15.00,3,,,,Nepal
870390 - Other,,15.00,15.00,3,,,,Nepal
870410 - Dumpers designed for off-highway use,,15.00,15.00,3,,,,Nepal
870421 -- g.v.w. not exceeding 5 tonnes,,15.00,15.00,3,,,,Nepal
870422 -- g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,15.00,15.00,3,,,,Nepal
870423 -- g.v.w. exceeding 20 tonnes,,15.00,15.00,3,,,,Nepal
870431 -- g.v.w. not exceeding 5 tonnes,,15.00,15.00,3,,,,Nepal
870432 -- g.v.w. exceeding 5 tonnes,,15.00,15.00,3,,,,Nepal
870490 - Other,,15.00,15.00,3,,,,Nepal
870510 - Crane lorries,,5.00,5.00,1,,,,Nepal
870520 -Mobile drilling derricks,,5.00,5.00,1,,,,Nepal
870530 - Fire fighting vehicles,,5.00,5.00,1,,,,Nepal
870540 - Concrete-mixer lorries,,5.00,5.00,1,,,,Nepal
870590 - Other,,5.00,5.00,1,,,,Nepal
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,5.00,5.00,1,,,,Nepal
870710 - For the vehicles of heading 87.03,,5.00,5.00,1,,,,Nepal
870790 - Other,,5.00,5.00,1,,,,Nepal
870810 - Bumpers and parts thereof,,5.00,5.00,1,,,,Nepal
870821 -- Safety seat belts,,5.00,5.00,1,,,,Nepal
870829 -- Other,,5.00,5.00,1,,,,Nepal
870830 - Brakes and servo-brakes; parts thereof,,5.00,5.00,1,,,,Nepal
870840 - Gear boxes and parts thereof,,5.00,5.00,1,,,,Nepal
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof",,5.00,5.00,1,,,,Nepal
870870 - Road wheels and parts and accessories thereof,,5.00,5.00,1,,,,Nepal
870880 - Suspension systems and parts thereof (including shock- absorbers),,5.00,5.00,1,,,,Nepal
870891 -- Radiators and parts thereof,,5.00,5.00,1,,,,Nepal
870892 -- Silencers (mufflers) and exhaust pipes; parts thereof,,5.00,5.00,1,,,,Nepal
870893 -- Clutches and parts thereof,,5.00,5.00,1,,,,Nepal
"870894 -- Steering wheels, steering columns and steering boxes; parts thereof",,5.00,5.00,1,,,,Nepal
870895 -- Safety airbags with inflater system; parts thereof,,5.00,5.00,1,,,,Nepal
870899 -- Other,,5.00,5.00,1,,,,Nepal
870911 -- Electrical,,5.00,5.00,1,,,,Nepal
870919 -- Other,,5.00,5.00,1,,,,Nepal
870990 - Parts,,5.00,5.00,1,,,,Nepal
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,5.00,5.00,1,,,,Nepal
871110 -With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,5.00,5.00,1,,,,Nepal
871120 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,,5.00,5.00,1,,,,Nepal
871130 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,,5.00,5.00,1,,,,Nepal
871140 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,,5.00,5.00,1,,,,Nepal
871150 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,5.00,5.00,1,,,,Nepal
871190 - Other,,5.00,5.00,1,,,,Nepal
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",,5.00,5.00,2,,,,Nepal
871310 - Not mechanically propelled,,0.00,0.00,1,,,,Nepal
871390 - Other,,0.00,0.00,1,,,,Nepal
871410 - Of motorcycles (including mopeds),,5.00,5.00,1,,,,Nepal
871420 - Of carriages for disabled persons,,0.00,0.00,1,,,,Nepal
