Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
European Union,"412,120,328",,,,,,,Russian Federation
,2018,,6.84,6.84,44,39,,,Russian Federation
170112 - - Beet sugar,,,,2,2,,,Russian Federation
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Russian Federation
170114 - - Other cane sugar,,,,2,2,,,Russian Federation
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 - - Other,,,,2,2,,,Russian Federation
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Russian Federation
170219 - - Other,,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,12.80,8,7,,,Russian Federation
170310 - Cane molasses,,0.00,0.00,1,,,,Russian Federation
170390 - Other,,0.00,0.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,,,Russian Federation
170490 - Other,,13.40,13.40,10,9,,,Russian Federation
,2017,"47,018,482",6.84,6.84,44,39,,,Russian Federation
170112 - - Beet sugar,,,,2,2,,,Russian Federation
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Russian Federation
170114 - - Other cane sugar,59,,,2,2,,,Russian Federation
170191 - - Containing added flavouring or colouring matter,343,,,1,1,,,Russian Federation
170199 - - Other,"4,482",,,2,2,,,Russian Federation
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","5,720",,,1,1,,,Russian Federation
170219 - - Other,"11,557",,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,469,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","3,942",,,3,3,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",87,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,85,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",1,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","1,607",12.80,12.80,8,7,,,Russian Federation
170310 - Cane molasses,"26,553",0.00,0.00,1,,,,Russian Federation
170390 - Other,"34,970,117",0.00,0.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","823,333",,,2,2,,,Russian Federation
170490 - Other,"11,170,128",13.40,13.40,10,9,,,Russian Federation
,2016,"38,083,965",6.84,6.84,44,39,,,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Russian Federation
170114 -- Other cane sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,"6,212",,,1,1,,,Russian Federation
170199 -- Other,"3,995",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Russian Federation
170219 -- Other,"19,074",,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,226",,,3,3,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","2,912",,,3,3,,,Russian Federation
