Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
Yemen,0,,,,,,,Albania
,2016,,10.00,10.00,106,,,,Albania
610120 - Of cotton,,10.00,10.00,1,,,,Albania
610130 - Of man-made fibres,,10.00,10.00,1,,,,Albania
610190 - Of other textile materials,,10.00,10.00,1,,,,Albania
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,Albania
610220 - Of cotton,,10.00,10.00,1,,,,Albania
610230 - Of man-made fibres,,10.00,10.00,1,,,,Albania
610290 - Of other textile materials,,10.00,10.00,1,,,,Albania
610310 - Suits,,10.00,10.00,1,,,,Albania
610322 -- Of cotton,,10.00,10.00,1,,,,Albania
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
610329 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Albania
610332 -- Of cotton,,10.00,10.00,1,,,,Albania
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
610339 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Albania
610342 -- Of cotton,,10.00,10.00,1,,,,Albania
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
610349 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
610419 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610422 -- Of cotton,,10.00,10.00,1,,,,Albania
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
610429 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Albania
610432 -- Of cotton,,10.00,10.00,1,,,,Albania
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
610439 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610441 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Albania
610442 -- Of cotton,,10.00,10.00,1,,,,Albania
610443 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
610444 -- Of artificial fibres,,10.00,10.00,1,,,,Albania
610449 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610451 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Albania
610452 -- Of cotton,,10.00,10.00,1,,,,Albania
610453 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
610459 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Albania
610462 -- Of cotton,,10.00,10.00,1,,,,Albania
610463 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
610469 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610510 - Of cotton,,10.00,10.00,1,,,,Albania
610520 - Of man-made fibres,,10.00,10.00,1,,,,Albania
610590 - Of other textile materials,,10.00,10.00,1,,,,Albania
610610 - Of cotton,,10.00,10.00,1,,,,Albania
610620 - Of man-made fibres,,10.00,10.00,1,,,,Albania
610690 - Of other textile materials,,10.00,10.00,1,,,,Albania
610711 -- Of cotton,,10.00,10.00,1,,,,Albania
610712 -- Of man-made fibres,,10.00,10.00,1,,,,Albania
610719 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610721 -- Of cotton,,10.00,10.00,1,,,,Albania
610722 -- Of man-made fibres,,10.00,10.00,1,,,,Albania
610729 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610791 -- Of cotton,,10.00,10.00,1,,,,Albania
610799 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610811 -- Of man-made fibres,,10.00,10.00,1,,,,Albania
610819 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610821 -- Of cotton,,10.00,10.00,1,,,,Albania
610822 -- Of man-made fibres,,10.00,10.00,1,,,,Albania
610829 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610831 -- Of cotton,,10.00,10.00,1,,,,Albania
610832 -- Of man-made fibres,,10.00,10.00,1,,,,Albania
610839 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610891 -- Of cotton,,10.00,10.00,1,,,,Albania
610892 -- Of man-made fibres,,10.00,10.00,1,,,,Albania
610899 -- Of other textile materials,,10.00,10.00,1,,,,Albania
610910 - Of cotton,,10.00,10.00,1,,,,Albania
610990 - Of other textile materials,,10.00,10.00,1,,,,Albania
611011 -- Of wool,,10.00,10.00,1,,,,Albania
611012 -- Of Kashmir (cashmere) goats,,10.00,10.00,1,,,,Albania
611019 -- Other,,10.00,10.00,1,,,,Albania
611020 - Of cotton,,10.00,10.00,1,,,,Albania
611030 - Of man-made fibres,,10.00,10.00,1,,,,Albania
611090 - Of other textile materials,,10.00,10.00,1,,,,Albania
611120 - Of cotton,,10.00,10.00,1,,,,Albania
611130 - Of synthetic fibres,,10.00,10.00,1,,,,Albania
611190 - Of other textile materials,,10.00,10.00,1,,,,Albania
611211 -- Of cotton,,10.00,10.00,1,,,,Albania
611212 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
611219 -- Of other textile materials,,10.00,10.00,1,,,,Albania
611220 - Ski suits,,10.00,10.00,1,,,,Albania
611231 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
611239 -- Of other textile materials,,10.00,10.00,1,,,,Albania
611241 -- Of synthetic fibres,,10.00,10.00,1,,,,Albania
611249 -- Of other textile materials,,10.00,10.00,1,,,,Albania
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,1,,,,Albania
611420 - Of cotton,,10.00,10.00,1,,,,Albania
611430 - Of man-made fibres,,10.00,10.00,1,,,,Albania
611490 - Of other textile materials,,10.00,10.00,1,,,,Albania
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,1,,,,Albania
"611521 -- Of synthetic fibres, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Albania
"611522 -- Of synthetic fibres, measuring per single yarn 67 decitex or more",,10.00,10.00,1,,,,Albania
611529 -- Of other textile materials,,10.00,10.00,1,,,,Albania
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Albania
