Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
India,"5,374,654",,,,,,,Brazil
,2018,,38.17,38.17,103,2,,,Brazil
080111 - - Desiccated,,70.00,70.00,1,,,,Brazil
080112 - - In the inner shell (endocarp),,70.00,70.00,3,,,,Brazil
080119 - - Other,,70.00,70.00,3,,,,Brazil
080121 - - In shell,,30.00,30.00,1,,,,Brazil
080122 - - Shelled,,30.00,30.00,1,,,,Brazil
080131 - - In shell,,30.00,30.00,1,,,,Brazil
080132 - - Shelled,,30.00,30.00,3,,,,Brazil
080211 - - In shell,,,,1,1,,,Brazil
080212 - - Shelled,,,,1,1,,,Brazil
080221 - - In shell,,30.00,30.00,1,,,,Brazil
080222 - - Shelled,,30.00,30.00,1,,,,Brazil
080231 - - In shell,,30.00,30.00,1,,,,Brazil
080232 - - Shelled,,30.00,30.00,1,,,,Brazil
080241 - - In shell,,30.00,30.00,1,,,,Brazil
080242 - - Shelled,,30.00,30.00,1,,,,Brazil
080251 - - In shell,,30.00,30.00,1,,,,Brazil
080252 - - Shelled,,30.00,30.00,1,,,,Brazil
080261 - - In shell,,30.00,30.00,1,,,,Brazil
080262 - - Shelled,,30.00,30.00,1,,,,Brazil
080270 - Kola nuts (Cola spp.),,30.00,30.00,1,,,,Brazil
080280 - Areca nuts,,100.00,100.00,4,,,,Brazil
080290 - Other,,100.00,100.00,1,,,,Brazil
080310 - Plantains,,30.00,30.00,2,,,,Brazil
080390 - Other,,30.00,30.00,2,,,,Brazil
080410 - Dates,,30.00,30.00,4,,,,Brazil
080420 - Figs,,30.00,30.00,2,,,,Brazil
080430 - Pineapples,,30.00,30.00,1,,,,Brazil
080440 - Avocados,,30.00,30.00,1,,,,Brazil
"080450 - Guavas, mangoes and mangosteens",,30.00,30.00,5,,,,Brazil
080510 - Oranges,,40.00,40.00,1,,,,Brazil
080521 - - Mandarins (including tangerines and satsumas),,30.00,30.00,1,,,,Brazil
080522 - - Clementines,,30.00,30.00,1,,,,Brazil
080529 - - Other,,30.00,30.00,1,,,,Brazil
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,Brazil
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,40.00,40.00,1,,,,Brazil
080590 - Other,,30.00,30.00,1,,,,Brazil
080610 - Fresh,,40.00,40.00,1,,,,Brazil
080620 - Dried,,105.00,105.00,2,,,,Brazil
080711 - - Watermelons,,30.00,30.00,1,,,,Brazil
080719 - - Other,,30.00,30.00,1,,,,Brazil
080720 - Papaws (papayas),,30.00,30.00,1,,,,Brazil
080810 - Apples,,50.00,50.00,1,,,,Brazil
