Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
European Union,"2,473,782,110",,,,,,,Viet Nam
,2018,,2.14,0.13,63,,41,,Viet Nam
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,0.44,19,,8,,Viet Nam
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Viet Nam
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,Viet Nam
950440 - Playing cards,,2.70,0.00,1,,1,,Viet Nam
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Viet Nam
950490 - Other,,0.00,0.00,2,,,,Viet Nam
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,Viet Nam
950590 - Other,,2.70,0.00,1,,1,,Viet Nam
950611 - - Skis,,3.70,0.00,4,,4,,Viet Nam
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Viet Nam
950619 - - Other,,2.70,0.00,1,,1,,Viet Nam
950621 - - Sailboards,,2.70,0.00,1,,1,,Viet Nam
950629 - - Other,,2.70,0.00,1,,1,,Viet Nam
"950631 - - Clubs, complete",,2.70,0.00,1,,1,,Viet Nam
950632 - - Balls,,2.70,0.00,1,,1,,Viet Nam
950639 - - Other,,2.70,0.00,2,,2,,Viet Nam
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Viet Nam
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Viet Nam
950659 - - Other,,2.70,0.00,1,,1,,Viet Nam
950661 - - Lawn-tennis balls,,2.70,0.00,1,,1,,Viet Nam
950662 - - Inflatable,,2.70,0.00,1,,1,,Viet Nam
950669 - - Other,,1.35,0.00,2,,1,,Viet Nam
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Viet Nam
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Viet Nam
950699 - - Other,,1.35,0.00,2,,1,,Viet Nam
950710 - Fishing rods,,3.70,0.00,1,,1,,Viet Nam
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Viet Nam
950730 - Fishing reels,,3.70,0.00,1,,1,,Viet Nam
950790 - Other,,3.70,0.00,1,,1,,Viet Nam
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Viet Nam
950890 - Other,,1.70,0.00,1,,1,,Viet Nam
,2017,"343,873,410",2.14,0.13,63,,41,,Viet Nam
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","220,012,355",1.98,0.44,19,,8,,Viet Nam
950420 - Articles and accessories for billiards of all kinds,"78,417",0.00,0.00,1,,,,Viet Nam
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","73,388",0.00,0.00,3,,,,Viet Nam
950440 - Playing cards,"793,305",2.70,0.00,1,,1,,Viet Nam
"950450 - Video game consoles and machines, other than those of subheading 9504.30","88,805",0.00,0.00,1,,,,Viet Nam
950490 - Other,"11,086,091",0.00,0.00,2,,,,Viet Nam
950510 - Articles for Christmas festivities,"9,616,465",1.35,0.00,2,,1,,Viet Nam
950590 - Other,"1,733,278",2.70,0.00,1,,1,,Viet Nam
950611 - - Skis,"7,663",3.70,0.00,4,,4,,Viet Nam
950612 - - Ski-fastenings (ski-bindings),"6,872",3.70,0.00,1,,1,,Viet Nam
950619 - - Other,"611,916",2.70,0.00,1,,1,,Viet Nam
950621 - - Sailboards,"737,117",2.70,0.00,1,,1,,Viet Nam
950629 - - Other,"2,056,487",2.70,0.00,1,,1,,Viet Nam
"950631 - - Clubs, complete","13,863,973",2.70,0.00,1,,1,,Viet Nam
950632 - - Balls,"197,827",2.70,0.00,1,,1,,Viet Nam
950639 - - Other,"18,306,906",2.70,0.00,2,,2,,Viet Nam
950640 - Articles and equipment for table-tennis,"21,507",2.70,0.00,1,,1,,Viet Nam
"950651 - - Lawn-tennis rackets, whether or not strung","12,404",4.70,0.00,1,,1,,Viet Nam
950659 - - Other,"90,405",2.70,0.00,1,,1,,Viet Nam
950661 - - Lawn-tennis balls,"7,308",2.70,0.00,1,,1,,Viet Nam
950662 - - Inflatable,"28,610,373",2.70,0.00,1,,1,,Viet Nam
950669 - - Other,"168,805",1.35,0.00,2,,1,,Viet Nam
"950670 - Ice skates and roller skates, including skating boots with skates attached","9,951,887",1.80,0.00,3,,2,,Viet Nam
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics","7,309,525",2.70,0.00,2,,2,,Viet Nam
950699 - - Other,"10,164,528",1.35,0.00,2,,1,,Viet Nam
950710 - Fishing rods,"1,367,617",3.70,0.00,1,,1,,Viet Nam
"950720 - Fish-hooks, whether or not snelled","357,984",2.70,0.00,2,,2,,Viet Nam
950730 - Fishing reels,"5,644,036",3.70,0.00,1,,1,,Viet Nam
950790 - Other,"885,053",3.70,0.00,1,,1,,Viet Nam
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Viet Nam
950890 - Other,"11,113",1.70,0.00,1,,1,,Viet Nam
,2016,"248,500,585",2.17,0.14,62,,41,,Viet Nam
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","153,059,070",2.09,0.47,18,,8,,Viet Nam
950420 - Articles and accessories for billiards of all kinds,"24,354",0.00,0.00,1,,,,Viet Nam
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","29,665",0.00,0.00,3,,,,Viet Nam
950440 - Playing cards,"8,418",2.70,0.00,1,,1,,Viet Nam
"950450 -Video game consoles and machines, other than those of subheading 9504.30","48,068",0.00,0.00,1,,,,Viet Nam
950490 - Other,"2,742,441",0.00,0.00,2,,,,Viet Nam
950510 - Articles for Christmas festivities,"6,139,152",1.35,0.00,2,,1,,Viet Nam
950590 - Other,"1,546,745",2.70,0.00,1,,1,,Viet Nam
950611 -- Skis,"5,710",3.70,0.00,4,,4,,Viet Nam
950612 -- Ski-fastenings (ski-bindings),"10,309",3.70,0.00,1,,1,,Viet Nam
950619 -- Other,"508,958",2.70,0.00,1,,1,,Viet Nam
950621 -- Sailboards,"820,622",2.70,0.00,1,,1,,Viet Nam
950629 -- Other,"1,237,352",2.70,0.00,1,,1,,Viet Nam
"950631 -- Clubs, complete","11,385,989",2.70,0.00,1,,1,,Viet Nam
950632 -- Balls,"26,956",2.70,0.00,1,,1,,Viet Nam
950639 -- Other,"12,477,434",2.70,0.00,2,,2,,Viet Nam
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Viet Nam
"950651 -- Lawn-tennis rackets, whether or not strung","90,024",4.70,0.00,1,,1,,Viet Nam
950659 -- Other,"261,337",2.70,0.00,1,,1,,Viet Nam
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Viet Nam
950662 -- Inflatable,"22,538,133",2.70,0.00,1,,1,,Viet Nam
950669 -- Other,"355,518",1.35,0.00,2,,1,,Viet Nam
"950670 - Ice skates and roller skates, including skating boots with skates attached","11,098,505",1.80,0.00,3,,2,,Viet Nam
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","5,928,136",2.70,0.00,2,,2,,Viet Nam
950699 -- Other,"10,586,892",1.35,0.00,2,,1,,Viet Nam
950710 - Fishing rods,"979,187",3.70,0.00,1,,1,,Viet Nam
