Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
Yemen,0,,,,,,,Albania
,2016,,6.39,6.39,230,,,,Albania
390110 - Polyethylene having a specific gravity of less than 0.94,,5.00,5.00,2,,,,Albania
390120 - Polyethylene having a specific gravity of 0.94 or more,,5.00,5.00,2,,,,Albania
390130 - Ethylene-vinyl acetate copolymers,,5.00,5.00,2,,,,Albania
390190 - Other,,5.00,5.00,2,,,,Albania
390210 - Polypropylene,,5.00,5.00,2,,,,Albania
390220 - Polyisobutylene,,5.00,5.00,2,,,,Albania
390230 - Propylene copolymers,,5.00,5.00,2,,,,Albania
390290 - Other,,5.00,5.00,2,,,,Albania
390311 -- Expansible,,5.00,5.00,2,,,,Albania
390319 -- Other,,5.00,5.00,2,,,,Albania
390320 - Styrene-acrylonitrile (SAN) copolymers,,5.00,5.00,2,,,,Albania
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,5.00,5.00,2,,,,Albania
390390 - Other,,5.00,5.00,2,,,,Albania
"390410 - Poly(vinyl chloride), not mixed with any other substances",,5.00,5.00,2,,,,Albania
390421 -- Non-plasticised,,5.00,5.00,2,,,,Albania
390422 -- Plasticised,,5.00,5.00,2,,,,Albania
390430 - Vinyl chloride-vinyl acetate copolymers,,5.00,5.00,2,,,,Albania
390440 - Other vinyl chloride copolymers,,5.00,5.00,2,,,,Albania
390450 - Vinylidene chloride polymers,,5.00,5.00,2,,,,Albania
390461 -- Polytetrafluoroethylene,,5.00,5.00,2,,,,Albania
390469 -- Other,,5.00,5.00,2,,,,Albania
390490 - Other,,5.00,5.00,2,,,,Albania
390512 -- In aqueous dispersion,,5.00,5.00,2,,,,Albania
390519 -- Other,,5.00,5.00,2,,,,Albania
390521 -- In aqueous dispersion,,5.00,5.00,2,,,,Albania
390529 -- Other,,5.00,5.00,2,,,,Albania
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,5.00,5.00,2,,,,Albania
390591 -- Copolymers,,5.00,5.00,2,,,,Albania
390599 -- Other,,5.00,5.00,2,,,,Albania
390610 - Poly(methyl methacrylate),,5.00,5.00,2,,,,Albania
390690 - Other,,5.00,5.00,2,,,,Albania
390710 - Polyacetals,,5.00,5.00,2,,,,Albania
390720 - Other polyethers,,5.00,5.00,2,,,,Albania
390730 - Epoxide resins,,5.00,5.00,2,,,,Albania
390740 - Polycarbonates,,5.00,5.00,2,,,,Albania
390750 - Alkyd resins,,5.00,5.00,2,,,,Albania
390760 - Poly(ethylene terephthalate),,5.00,5.00,2,,,,Albania
390770 - Poly(lactic acid),,5.00,5.00,2,,,,Albania
390791 -- Unsaturated,,5.00,5.00,2,,,,Albania
