Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
040390 - Other,,,,18,18,6,6,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,150,,,5,5,,,India
040520 - Dairy spreads,,,,3,3,2,2,India
040590 - Other,793,,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,India
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,120,,,32,32,,,India
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,India
040719 -- Other,,7.70,4.20,3,2,1,,India
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,India
040729 -- Other,,7.70,4.20,2,1,1,,India
040790 - Others,,7.70,4.20,2,1,1,,India
040811 -- Dried,"41,887",0.00,0.00,2,1,,,India
040819 -- Other,,0.00,0.00,3,2,,,India
040891 -- Dried,"1,963,721",0.00,0.00,2,1,,,India
040899 -- Other,10,0.00,0.00,2,1,,,India
040900 Natural honey.,"144,680",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,2.60,1,,1,,India
,2014,"2,033,897",5.77,4.35,172,161,18,14,India
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,India
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,India
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",758,,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,12,,,4,4,,,India
040229 -- Other,8,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,India
040299 -- Other,186,,,5,5,,,India
040310 - Yogurt,,,,12,12,6,6,India
040390 - Other,,,,18,18,6,6,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,,,,5,5,,,India
040520 - Dairy spreads,3,,,3,3,2,2,India
040590 - Other,"1,157",,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,India
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,,7.70,7.70,33,32,,,India
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,India
040719 -- Other,,7.70,4.20,3,2,1,,India
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,India
040729 -- Other,,7.70,4.20,2,1,1,,India
040790 - Others,,7.70,4.20,2,1,1,,India
040811 -- Dried,"224,458",0.00,0.00,2,1,,,India
040819 -- Other,,0.00,0.00,3,2,,,India
040891 -- Dried,"1,437,805",0.00,0.00,2,1,,,India
040899 -- Other,80,0.00,0.00,2,1,,,India
040900 Natural honey.,"369,432",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,2.60,1,,1,,India
,2013,"2,004,647",5.77,4.35,172,161,18,14,India
"040110 - Of a fat content, by weight, not exceeding 1 %",112,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,India
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,India
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",910,,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,,,India
040229 -- Other,3,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,India
040299 -- Other,27,,,5,5,,,India
040310 - Yogurt,7,,,12,12,6,6,India
040390 - Other,40,,,18,18,6,6,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",5,,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,17,,,5,5,,,India
040520 - Dairy spreads,,,,3,3,2,2,India
040590 - Other,"1,049",,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,India
"040620 - Grated or powdered cheese, of all kinds",80,7.70,7.70,2,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,518,7.70,7.70,33,32,,,India
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,India
040719 -- Other,,7.70,4.20,3,2,1,,India
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,India
040729 -- Other,,7.70,4.20,2,1,1,,India
040790 - Others,,7.70,4.20,2,1,1,,India
040811 -- Dried,"1,129,782",0.00,0.00,2,1,,,India
040819 -- Other,,0.00,0.00,3,2,,,India
040891 -- Dried,"137,224",0.00,0.00,2,1,,,India
040899 -- Other,299,0.00,0.00,2,1,,,India
040900 Natural honey.,"639,183",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.","95,392",7.70,2.60,1,,1,,India
,2012,"2,723,712",5.77,4.35,172,161,18,14,India
"040110 - Of a fat content, by weight, not exceeding 1 %",1,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",12,,,4,4,,,India
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,India
"040150 - Of a fat content, by weight, exceeding 10 %",103,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",167,,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,,,India
040229 -- Other,,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,India
040299 -- Other,12,,,5,5,,,India
040310 - Yogurt,1,,,12,12,6,6,India
040390 - Other,,,,18,18,6,6,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",219,,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,,,,5,5,,,India
040520 - Dairy spreads,,,,3,3,2,2,India
040590 - Other,373,,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,India
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,51,7.70,7.70,33,32,,,India
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,India
040719 -- Other,,7.70,4.20,3,2,1,,India
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,India
040729 -- Other,,7.70,4.20,2,1,1,,India
040790 - Others,,7.70,4.20,2,1,1,,India
040811 -- Dried,"1,138,033",0.00,0.00,2,1,,,India
040819 -- Other,"20,656",0.00,0.00,3,2,,,India
040891 -- Dried,"416,195",0.00,0.00,2,1,,,India
040899 -- Other,13,0.00,0.00,2,1,,,India
040900 Natural honey.,"1,118,468",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.","29,409",7.70,2.60,1,,1,,India
,2011,"2,731,828",5.34,4.39,166,157,16,14,India
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,India
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",111,,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,India
040229 -- Other,,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,India
040299 -- Other,"5,512",,,5,5,,,India
040310 - Yogurt,,,,12,12,6,6,India
040390 - Other,,,,18,18,6,6,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,India
040490 - Other,42,,,6,6,,,India
040510 - Butter,,,,5,5,,,India
040520 - Dairy spreads,,,,3,3,2,2,India
040590 - Other,,,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,India
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,,7.70,7.70,33,32,,,India
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,4.20,4,3,1,,India
040811 -- Dried,"163,811",0.00,0.00,2,1,,,India
040819 -- Other,,0.00,0.00,3,2,,,India
040891 -- Dried,"136,305",0.00,0.00,2,1,,,India
040899 -- Other,,0.00,0.00,2,1,,,India
040900 Natural honey.,"2,426,047",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,2.60,1,,1,,India
,2010,"10,153,245",5.34,5.34,166,157,,,India
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",40,,,4,4,,,India
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%","2,320",,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,"13,058",,,5,5,,,India
040229 -- Other,,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,India
040299 -- Other,,,,5,5,,,India
040310 - Yogurt,,,,12,12,,,India
040390 - Other,,,,18,18,,,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,,,,5,5,,,India
040520 - Dairy spreads,,,,3,3,,,India
040590 - Other,"7,769",,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,India
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,159,7.70,7.70,33,32,,,India
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,7.70,4,3,,,India
040811 -- Dried,"456,266",0.00,0.00,2,1,,,India
040819 -- Other,,0.00,0.00,3,2,,,India
040891 -- Dried,"710,721",0.00,0.00,2,1,,,India
040899 -- Other,,0.00,0.00,2,1,,,India
040900 Natural honey.,"8,962,912",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,India
,2009,"13,273,210",5.34,5.34,166,157,,,India
"040110 - Of a fat content, by weight, not exceeding 1%",84,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,India
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",98,,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,India
040229 -- Other,14,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,India
040299 -- Other,432,,,5,5,,,India
040310 - Yogurt,,,,12,12,,,India
040390 - Other,,,,18,18,,,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,167,,,5,5,,,India
040520 - Dairy spreads,,,,3,3,,,India
040590 - Other,"1,409",,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","1,186",,,2,2,,,India
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,,7.70,7.70,33,32,,,India
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,7.70,4,3,,,India
040811 -- Dried,"226,781",0.00,0.00,2,1,,,India
040819 -- Other,,0.00,0.00,3,2,,,India
040891 -- Dried,"2,428,291",0.00,0.00,2,1,,,India
040899 -- Other,,0.00,0.00,2,1,,,India
040900 Natural honey.,"10,614,749",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,India
,2008,"17,445,519",5.34,5.34,166,157,,,India
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,India
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",29,,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,India
040229 -- Other,,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,India
040299 -- Other,29,,,5,5,,,India
040310 - Yogurt,117,,,12,12,,,India
040390 - Other,,,,18,18,,,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",234,,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,439,,,5,5,,,India
040520 - Dairy spreads,,,,3,3,,,India
040590 - Other,850,,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,India
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,,7.70,7.70,33,32,,,India
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,7.70,4,3,,,India
040811 -- Dried,"1,003,171",0.00,0.00,2,1,,,India
040819 -- Other,,0.00,0.00,3,2,,,India
040891 -- Dried,"3,737,723",0.00,0.00,2,1,,,India
040899 -- Other,,0.00,0.00,2,1,,,India
040900 Natural honey.,"12,702,809",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.",117,7.70,7.70,1,,,,India
,2007,"11,033,388",5.34,5.34,169,160,,,India
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,India
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,India
040229 -- Other,,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,8,8,,,India
040299 -- Other,,,,6,6,,,India
040310 - Yogurt,,,,12,12,,,India
040390 - Other,,,,18,18,,,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",302,,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,27,,,5,5,,,India
040520 - Dairy spreads,,,,3,3,,,India
040590 - Other,"3,659",,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,India
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,"2,357",7.70,7.70,33,32,,,India
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,7.70,4,3,,,India
040811 -- Dried,"253,063",0.00,0.00,2,1,,,India
040819 -- Other,"1,672",0.00,0.00,3,2,,,India
040891 -- Dried,"2,745,070",0.00,0.00,2,1,,,India
040899 -- Other,,0.00,0.00,2,1,,,India
040900 Natural honey.,"8,025,950",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.","1,288",7.70,7.70,1,,,,India
,2006,"10,159,311",5.34,5.34,170,161,,,India
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6%",,,,4,4,,,India
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",653,,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,India
040229 -- Other,,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,8,8,,,India
040299 -- Other,,,,6,6,,,India
040310 - Yogurt,"11,677",,,12,12,,,India
040390 - Other,,,,18,18,,,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter","47,487",,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,"2,235",,,5,5,,,India
040520 - Dairy spreads,,,,3,3,,,India
040590 - Other,"11,803",,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,India
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese,,,,3,3,,,India
040690 - Other cheese,,7.70,7.70,34,33,,,India
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,7.70,4,3,,,India
040811 -- Dried,"394,811",0.00,0.00,2,1,,,India
040819 -- Other,,0.00,0.00,3,2,,,India
040891 -- Dried,"1,994,495",0.00,0.00,2,1,,,India
040899 -- Other,,0.00,0.00,2,1,,,India
040900 Natural honey.,"7,696,150",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,India
,2005,"8,877,237",5.34,5.34,175,166,,,India
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6%",,,,4,4,,,India
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%","1,269",,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,India
040229 -- Other,,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,8,8,,,India
040299 -- Other,,,,6,6,,,India
040310 - Yogurt,,,,12,12,,,India
040390 - Other,,,,18,18,,,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,684,,,5,5,,,India
040520 - Dairy spreads,,,,3,3,,,India
040590 - Other,"15,800",,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,India
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese,,,,3,3,,,India
040690 - Other cheese,,7.70,7.70,39,38,,,India
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,7.70,4,3,,,India
040811 -- Dried,"352,951",0.00,0.00,2,1,,,India
040819 -- Other,"1,680",0.00,0.00,3,2,,,India
040891 -- Dried,"1,853,360",0.00,0.00,2,1,,,India
040899 -- Other,,0.00,0.00,2,1,,,India
040900 Natural honey.,"6,608,347",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.","43,145",7.70,7.70,1,,,,India
,2004,"17,432,714",5.34,5.34,175,166,,,India
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6%",,,,4,4,,,India
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,India
040229 -- Other,,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,8,8,,,India
040299 -- Other,,,,6,6,,,India
040310 - Yogurt,,,,12,12,,,India
