Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
European Union,"138,138,678",,,,,,,India
,2018,,5.34,3.61,171,162,18,14,India
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,India
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,India
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,India
040221 - - Not containing added sugar or other sweetening matter,,,,4,4,,,India
040229 - - Other,,,,5,5,,,India
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,India
040299 - - Other,,,,5,5,,,India
040310 - Yogurt,,,,12,12,6,6,India
040390 - Other,,,,18,18,6,6,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,,,,5,5,,,India
040520 - Dairy spreads,,,,3,3,2,2,India
040590 - Other,,,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,India
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,,,,32,32,,,India
040711 - - Of fowls of the species Gallus domesticus,,,,1,1,,,India
040719 - - Other,,7.70,4.20,3,2,1,,India
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,India
040729 - - Other,,7.70,4.20,2,1,1,,India
040790 - Others,,7.70,4.20,2,1,1,,India
040811 - - Dried,,0.00,0.00,2,1,,,India
040819 - - Other,,0.00,0.00,3,2,,,India
040891 - - Dried,,0.00,0.00,2,1,,,India
040899 - - Other,,0.00,0.00,2,1,,,India
040900 Natural honey.,,17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,2.60,1,,1,,India
,2017,"401,891",5.34,3.61,171,162,18,14,India
"040110 - Of a fat content, by weight, not exceeding 1 %",27,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,India
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",1,,,2,2,,,India
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",421,,,4,4,,,India
040221 - - Not containing added sugar or other sweetening matter,,,,4,4,,,India
040229 - - Other,42,,,5,5,,,India
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,India
040299 - - Other,,,,5,5,,,India
040310 - Yogurt,80,,,12,12,6,6,India
040390 - Other,,,,18,18,6,6,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",27,,,24,24,,,India
040490 - Other,,,,6,6,,,India
040510 - Butter,"4,089",,,5,5,,,India
040520 - Dairy spreads,,,,3,3,2,2,India
040590 - Other,223,,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,India
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,India
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,3,,,32,32,,,India
040711 - - Of fowls of the species Gallus domesticus,,,,1,1,,,India
040719 - - Other,,7.70,4.20,3,2,1,,India
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,India
040729 - - Other,,7.70,4.20,2,1,1,,India
040790 - Others,,7.70,4.20,2,1,1,,India
040811 - - Dried,,0.00,0.00,2,1,,,India
040819 - - Other,,0.00,0.00,3,2,,,India
040891 - - Dried,,0.00,0.00,2,1,,,India
040899 - - Other,,0.00,0.00,2,1,,,India
040900 Natural honey.,"396,977",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,2.60,1,,1,,India
,2016,"251,447",5.34,3.61,171,162,18,14,India
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,India
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,India
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",476,,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,,,India
040229 -- Other,,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,India
040299 -- Other,,,,5,5,,,India
040310 - Yogurt,"14,401",,,12,12,6,6,India
040390 - Other,,,,18,18,6,6,India
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,India
040490 - Other,103,,,6,6,,,India
040510 - Butter,,,,5,5,,,India
040520 - Dairy spreads,,,,3,3,2,2,India
040590 - Other,564,,,2,2,,,India
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,India
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,India
"040630 - Processed cheese, not grated or powdered",175,,,4,4,,,India
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,India
040690 - Other cheese,,,,32,32,,,India
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,India
040719 -- Other,,7.70,4.20,3,2,1,,India
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,India
040729 -- Other,,7.70,4.20,2,1,1,,India
040790 - Others,,7.70,4.20,2,1,1,,India
040811 -- Dried,49,0.00,0.00,2,1,,,India
040819 -- Other,,0.00,0.00,3,2,,,India
040891 -- Dried,"17,077",0.00,0.00,2,1,,,India
040899 -- Other,,0.00,0.00,2,1,,,India
040900 Natural honey.,"217,871",17.30,17.30,1,,,,India
"041000 Edible products of animal origin, not elsewhere specified or included.",732,7.70,2.60,1,,1,,India
,2015,"2,154,557",5.34,3.61,171,162,18,14,India
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,India
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",3,,,4,4,,,India
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,India
"040150 - Of a fat content, by weight, exceeding 10 %",84,,,6,6,,,India
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",720,,,4,4,,,India
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,,,India
040229 -- Other,,,,5,5,,,India
040291 -- Not containing added sugar or other sweetening matter,91,,,6,6,,,India
040299 -- Other,,,,5,5,,,India
040310 - Yogurt,"2,298",,,12,12,6,6,India
