Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
391723 - - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,"Korea, Republic of"
391729 - - Of other plastics,,6.50,0.00,1,,1,,"Korea, Republic of"
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,6.50,0.00,1,,1,,"Korea, Republic of"
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,6.50,0.00,1,,1,,"Korea, Republic of"
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,6.50,0.00,1,,1,,"Korea, Republic of"
391739 - - Other,,6.50,0.00,1,,1,,"Korea, Republic of"
391740 - Fittings,,6.50,0.00,1,,1,,"Korea, Republic of"
391810 - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,"Korea, Republic of"
391890 - Of other plastics,,6.50,0.00,1,,1,,"Korea, Republic of"
391910 - In rolls of a width not exceeding 20 cm,,6.35,0.00,4,,4,,"Korea, Republic of"
391990 - Other,,3.25,0.00,2,,1,,"Korea, Republic of"
392010 - Of polymers of ethylene,,4.64,0.00,7,,5,,"Korea, Republic of"
392020 - Of polymers of propylene,,6.50,0.00,3,,3,,"Korea, Republic of"
392030 - Of polymers of styrene,,6.50,0.00,1,,1,,"Korea, Republic of"
392043 - - Containing by weight not less than 6 % of plasticisers,,6.50,0.00,2,,2,,"Korea, Republic of"
392049 - - Other,,6.50,0.00,2,,2,,"Korea, Republic of"
392051 - - Of poly(methyl methacrylate),,6.50,0.00,1,,1,,"Korea, Republic of"
392059 - - Other,,3.25,0.00,2,,1,,"Korea, Republic of"
392061 - - Of polycarbonates,,6.50,0.00,1,,1,,"Korea, Republic of"
392062 - - Of poly(ethylene terephthalate),,4.33,0.00,3,,2,,"Korea, Republic of"
392063 - - Of unsaturated polyesters,,6.50,0.00,1,,1,,"Korea, Republic of"
392069 - - Of other polyesters,,6.50,0.00,1,,1,,"Korea, Republic of"
392071 - - Of regenerated cellulose,,6.50,0.00,1,,1,,"Korea, Republic of"
392073 - - Of cellulose acetate,,6.40,0.00,2,,2,,"Korea, Republic of"
392079 - - Of other cellulose derivatives,,6.10,0.00,2,,2,,"Korea, Republic of"
392091 - - Of poly(vinyl butyral),,6.10,0.00,1,,1,,"Korea, Republic of"
392092 - - Of polyamides,,6.50,0.00,1,,1,,"Korea, Republic of"
392093 - - Of amino-resins,,6.50,0.00,1,,1,,"Korea, Republic of"
392094 - - Of phenolic resins,,6.50,0.00,1,,1,,"Korea, Republic of"
392099 - - Of other plastics,,3.25,0.00,6,,3,,"Korea, Republic of"
392111 - - Of polymers of styrene,,6.50,0.00,1,,1,,"Korea, Republic of"
392112 - - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,"Korea, Republic of"
392113 - - Of polyurethanes,,6.50,0.00,2,,2,,"Korea, Republic of"
392114 - - Of regenerated cellulose,,6.50,0.00,1,,1,,"Korea, Republic of"
392119 - - Of other plastics,,6.50,0.00,1,,1,,"Korea, Republic of"
392190 - Other,,6.50,0.00,8,,8,,"Korea, Republic of"
"392210 - Baths, shower-baths, sinks and wash-basins",,6.50,0.00,1,,1,,"Korea, Republic of"
392220 - Lavatory seats and covers,,6.50,0.00,1,,1,,"Korea, Republic of"
392290 - Other,,6.50,0.00,1,,1,,"Korea, Republic of"
"392310 - Boxes, cases, crates and similar articles",,3.25,0.00,2,,1,,"Korea, Republic of"
392321 - - Of polymers of ethylene,,6.50,0.00,1,,1,,"Korea, Republic of"
392329 - - Of other plastics,,6.50,0.00,2,,2,,"Korea, Republic of"
"392330 - Carboys, bottles, flasks and similar articles",,6.50,0.00,2,,2,,"Korea, Republic of"
"392340 - Spools, cops, bobbins and similar supports",,5.90,0.00,2,,2,,"Korea, Republic of"
"392350 - Stoppers, lids, caps and other closures",,6.50,0.00,2,,2,,"Korea, Republic of"
392390 - Other,,6.50,0.00,1,,1,,"Korea, Republic of"
392410 - Tableware and kitchenware,,6.50,0.00,1,,1,,"Korea, Republic of"
392490 - Other,,6.50,0.00,1,,1,,"Korea, Republic of"
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,0.00,1,,1,,"Korea, Republic of"
"392520 - Doors, windows and their frames and thresholds for doors",,6.50,0.00,1,,1,,"Korea, Republic of"
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,6.50,0.00,1,,1,,"Korea, Republic of"
392590 - Other,,6.50,0.00,3,,3,,"Korea, Republic of"
392610 - Office or school supplies,,6.50,0.00,1,,1,,"Korea, Republic of"
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,6.50,0.00,1,,1,,"Korea, Republic of"
"392630 - Fittings for furniture, coachwork or the like",,6.50,0.00,1,,1,,"Korea, Republic of"
392640 - Statuettes and other ornamental articles,,6.50,0.00,1,,1,,"Korea, Republic of"
392690 - Other,,6.50,0.00,3,,3,,"Korea, Republic of"
,2017,"3,556,384,317",5.49,0.00,210,,179,,"Korea, Republic of"
390110 - Polyethylene having a specific gravity of less than 0.94,"230,131,388",6.50,0.00,2,,2,,"Korea, Republic of"
390120 - Polyethylene having a specific gravity of 0.94 or more,"163,913,626",3.25,0.00,2,,1,,"Korea, Republic of"
390130 - Ethylene-vinyl acetate copolymers,"78,995,760",6.50,0.00,1,,1,,"Korea, Republic of"
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94","22,066,314",6.50,0.00,1,,1,,"Korea, Republic of"
390190 - Other,"42,387,501",3.25,0.00,2,,1,,"Korea, Republic of"
390210 - Polypropylene,"179,961,133",6.50,0.00,1,,1,,"Korea, Republic of"
390220 - Polyisobutylene,"25,469,000",6.50,0.00,1,,1,,"Korea, Republic of"
390230 - Propylene copolymers,"144,031,327",6.50,0.00,1,,1,,"Korea, Republic of"
390290 - Other,"13,759,385",2.17,0.00,3,,1,,"Korea, Republic of"
390311 - - Expansible,"3,625,016",6.50,0.00,1,,1,,"Korea, Republic of"
390319 - - Other,"36,351,455",6.50,0.00,1,,1,,"Korea, Republic of"
390320 - Styrene-acrylonitrile (SAN) copolymers,"37,754,756",6.50,0.00,1,,1,,"Korea, Republic of"
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,"338,326,425",6.50,0.00,1,,1,,"Korea, Republic of"
390390 - Other,"81,797,066",2.17,0.00,3,,1,,"Korea, Republic of"
"390410 - Poly(vinyl chloride), not mixed with any other substances","21,324,095",6.50,0.00,1,,1,,"Korea, Republic of"
390421 - - Non-plasticised,"278,554",6.50,0.00,1,,1,,"Korea, Republic of"
390422 - - Plasticised,"193,719",6.50,0.00,1,,1,,"Korea, Republic of"
390430 - Vinyl chloride-vinyl acetate copolymers,"206,988",6.50,0.00,1,,1,,"Korea, Republic of"
390440 - Other vinyl chloride copolymers,"1,211",6.50,0.00,1,,1,,"Korea, Republic of"
390450 - Vinylidene chloride polymers,506,3.25,0.00,2,,1,,"Korea, Republic of"
390461 - - Polytetrafluoroethylene,"934,549",6.50,0.00,1,,1,,"Korea, Republic of"
390469 - - Other,"471,198",4.33,0.00,3,,2,,"Korea, Republic of"
390490 - Other,"35,192",6.50,0.00,1,,1,,"Korea, Republic of"
390512 - - In aqueous dispersion,,6.50,0.00,1,,1,,"Korea, Republic of"
390519 - - Other,399,6.50,0.00,1,,1,,"Korea, Republic of"
390521 - - In aqueous dispersion,"2,516",6.50,0.00,1,,1,,"Korea, Republic of"
390529 - - Other,"97,555",6.50,0.00,1,,1,,"Korea, Republic of"
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups","100,244",6.50,0.00,1,,1,,"Korea, Republic of"
390591 - - Copolymers,"97,404",6.50,0.00,1,,1,,"Korea, Republic of"
390599 - - Other,"8,508",3.25,0.00,2,,1,,"Korea, Republic of"
