Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
European Union,"123,580,938,001",,,,,,,China
,2018,,5.48,5.48,210,,,,China
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,6.50,2,,,,China
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,3.25,2,,,,China
390130 - Ethylene-vinyl acetate copolymers,,6.50,6.50,1,,,,China
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,6.50,1,,,,China
390190 - Other,,3.25,3.25,2,,,,China
390210 - Polypropylene,,6.50,6.50,1,,,,China
390220 - Polyisobutylene,,6.50,6.50,1,,,,China
390230 - Propylene copolymers,,6.50,6.50,1,,,,China
390290 - Other,,2.17,2.17,3,,,,China
390311 - - Expansible,,6.50,6.50,1,,,,China
390319 - - Other,,6.50,6.50,1,,,,China
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,6.50,1,,,,China
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,6.50,1,,,,China
390390 - Other,,2.17,2.17,3,,,,China
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,6.50,1,,,,China
390421 - - Non-plasticised,,6.50,6.50,1,,,,China
390422 - - Plasticised,,6.50,6.50,1,,,,China
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,6.50,1,,,,China
390440 - Other vinyl chloride copolymers,,6.50,6.50,1,,,,China
390450 - Vinylidene chloride polymers,,3.25,3.25,2,,,,China
390461 - - Polytetrafluoroethylene,,6.50,6.50,1,,,,China
390469 - - Other,,4.33,4.33,3,,,,China
390490 - Other,,6.50,6.50,1,,,,China
390512 - - In aqueous dispersion,,6.50,6.50,1,,,,China
390519 - - Other,,6.50,6.50,1,,,,China
390521 - - In aqueous dispersion,,6.50,6.50,1,,,,China
390529 - - Other,,6.50,6.50,1,,,,China
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,6.50,1,,,,China
390591 - - Copolymers,,6.50,6.50,1,,,,China
390599 - - Other,,3.25,3.25,2,,,,China
390610 - Poly(methyl methacrylate),,6.50,6.50,1,,,,China
390690 - Other,,0.93,0.93,7,,,,China
390710 - Polyacetals,,6.50,6.50,1,,,,China
390720 - Other polyethers,,4.88,4.88,4,,,,China
390730 - Epoxide resins,,6.50,6.50,1,,,,China
390740 - Polycarbonates,,6.50,6.50,1,,,,China
390750 - Alkyd resins,,6.50,6.50,1,,,,China
390761 - - Having a viscosity number of 78 ml/g or higher,,6.50,6.50,1,,,,China
390769 - - Other,,6.50,6.50,1,,,,China
390770 - Poly(lactic acid),,0.00,0.00,1,,,,China
390791 - - Unsaturated,,6.50,6.50,2,,,,China
390799 - - Other,,3.27,3.27,3,,,,China
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,6.50,1,,,,China
390890 - Other,,6.50,6.50,1,,,,China
390910 - Urea resins; thiourea resins,,6.50,6.50,1,,,,China
390920 - Melamine resins,,6.50,6.50,1,,,,China
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,6.50,6.50,1,,,,China
390939 - - Other,,6.50,6.50,1,,,,China
390940 - Phenolic resins,,6.50,6.50,1,,,,China
390950 - Polyurethanes,,3.25,3.25,2,,,,China
391000 Silicones in primary forms.,,6.50,6.50,1,,,,China
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,6.50,1,,,,China
