Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
European Union,"6,062,989,905",,,,,,,India
,2018,,6.67,4.49,125,24,82,2,India
080111 - - Desiccated,,0.00,0.00,1,,,,India
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,India
080119 - - Other,,0.00,0.00,1,,,,India
080121 - - In shell,,0.00,0.00,1,,,,India
080122 - - Shelled,,0.00,0.00,1,,,,India
080131 - - In shell,,0.00,0.00,1,,,,India
080132 - - Shelled,,0.00,0.00,1,,,,India
080211 - - In shell,,2.80,1.05,2,,1,,India
080212 - - Shelled,,1.75,0.00,2,,1,,India
080221 - - In shell,,3.20,0.00,1,,1,,India
080222 - - Shelled,,3.20,0.00,1,,1,,India
080231 - - In shell,,4.00,0.00,1,,1,,India
080232 - - Shelled,,5.10,1.60,1,,1,,India
080241 - - In shell,,5.60,2.10,1,,1,,India
080242 - - Shelled,,5.60,2.10,1,,1,,India
080251 - - In shell,,1.60,0.00,1,,1,,India
080252 - - Shelled,,1.60,0.00,1,,1,,India
080261 - - In shell,,2.00,0.00,1,,1,,India
080262 - - Shelled,,2.00,0.00,1,,1,,India
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,India
080280 - Areca nuts,,0.00,0.00,1,,,,India
080290 - Other,,1.33,0.00,3,,2,,India
080310 - Plantains,,16.00,12.50,2,,2,,India
080390 - Other,,16.00,12.50,2,1,1,,India
080410 - Dates,,7.70,4.20,1,,1,,India
080420 - Figs,,6.80,3.30,2,,2,,India
080430 - Pineapples,,5.80,2.30,1,,1,,India
080440 - Avocados,,4.00,0.00,1,,1,,India
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,India
080510 - Oranges,,16.00,16.00,4,3,,,India
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,India
080522 - - Clementines,,,,1,1,,,India
080529 - - Other,,,,1,1,,,India
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,India
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,8.90,2,1,1,,India
080590 - Other,,12.80,9.30,1,,1,,India
080610 - Fresh,,14.40,9.45,2,1,2,,India
080620 - Dried,,2.40,0.00,3,,3,,India
080711 - - Watermelons,,8.80,5.30,1,,1,,India
080719 - - Other,,8.80,5.30,1,,1,,India
080720 - Papaws (papayas),,0.00,0.00,1,,,,India
080810 - Apples,,,,2,2,,,India
080830 - Pears,,,,2,2,,,India
080840 - Quinces,,7.20,3.70,1,,1,,India
080910 - Apricots,,,16.50,1,1,1,,India
080921 - - Sour cherries (Prunus cerasus),,,8.50,1,1,1,,India
080929 - - Other,,,8.50,1,1,1,,India
"080930 - Peaches, including nectarines",,,14.10,2,2,2,,India
080940 - Plums and sloes,,12.00,5.65,2,1,2,,India
081010 - Strawberries,,11.20,7.70,1,,1,,India
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,5.70,2,,2,,India
"081030 - Black, white or red currants and gooseberries",,9.07,5.57,3,,3,,India
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,1.53,4,,3,,India
