Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
392063 - - Of unsaturated polyesters,,6.50,3.00,1,,1,,India
392069 - - Of other polyesters,,6.50,3.00,1,,1,,India
392071 - - Of regenerated cellulose,,6.50,3.00,1,,1,,India
392073 - - Of cellulose acetate,,6.40,2.90,2,,2,,India
392079 - - Of other cellulose derivatives,,6.10,2.60,2,,2,,India
392091 - - Of poly(vinyl butyral),,6.10,2.60,1,,1,,India
392092 - - Of polyamides,,6.50,3.00,1,,1,,India
392093 - - Of amino-resins,,6.50,3.00,1,,1,,India
392094 - - Of phenolic resins,,6.50,3.00,1,,1,,India
392099 - - Of other plastics,,3.25,1.50,6,,3,,India
392111 - - Of polymers of styrene,,6.50,0.00,1,,1,,India
392112 - - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,India
392113 - - Of polyurethanes,,6.50,0.00,2,,2,,India
392114 - - Of regenerated cellulose,,6.50,0.00,1,,1,,India
392119 - - Of other plastics,,6.50,0.00,1,,1,,India
392190 - Other,,6.50,0.38,8,,8,,India
"392210 - Baths, shower-baths, sinks and wash-basins",,6.50,0.00,1,,1,,India
392220 - Lavatory seats and covers,,6.50,0.00,1,,1,,India
392290 - Other,,6.50,0.00,1,,1,,India
"392310 - Boxes, cases, crates and similar articles",,3.25,0.00,2,,1,,India
392321 - - Of polymers of ethylene,,6.50,3.00,1,,1,,India
392329 - - Of other plastics,,6.50,0.00,2,,2,,India
"392330 - Carboys, bottles, flasks and similar articles",,6.50,0.00,2,,2,,India
"392340 - Spools, cops, bobbins and similar supports",,5.90,0.00,2,,2,,India
"392350 - Stoppers, lids, caps and other closures",,6.50,0.00,2,,2,,India
392390 - Other,,6.50,0.00,1,,1,,India
392410 - Tableware and kitchenware,,6.50,0.00,1,,1,,India
392490 - Other,,6.50,0.00,1,,1,,India
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,0.00,1,,1,,India
"392520 - Doors, windows and their frames and thresholds for doors",,6.50,0.00,1,,1,,India
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,6.50,0.00,1,,1,,India
392590 - Other,,6.50,0.00,3,,3,,India
392610 - Office or school supplies,,6.50,0.00,1,,1,,India
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,6.50,0.00,1,,1,,India
"392630 - Fittings for furniture, coachwork or the like",,6.50,0.00,1,,1,,India
392640 - Statuettes and other ornamental articles,,6.50,0.00,1,,1,,India
392690 - Other,,6.50,0.00,3,,3,,India
