Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
European Union,"24,258,538",,,,,,,South Africa
,2018,,5.34,0.00,171,162,157,14,South Africa
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,2,2,2,,South Africa
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,4,4,4,,South Africa
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,2,2,2,,South Africa
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,6,,South Africa
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,South Africa
040221 - - Not containing added sugar or other sweetening matter,,,0.00,4,4,4,,South Africa
040229 - - Other,,,0.00,5,5,5,,South Africa
040291 - - Not containing added sugar or other sweetening matter,,,0.00,6,6,6,,South Africa
040299 - - Other,,,0.00,5,5,5,,South Africa
040310 - Yogurt,,,0.00,12,12,12,6,South Africa
040390 - Other,,,0.00,18,18,18,6,South Africa
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,0.00,24,24,24,,South Africa
040490 - Other,,,0.00,6,6,6,,South Africa
040510 - Butter,,,,5,5,,,South Africa
040520 - Dairy spreads,,,,3,3,2,2,South Africa
040590 - Other,,,0.00,2,2,2,,South Africa
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,0.00,3,3,3,,South Africa
"040620 - Grated or powdered cheese, of all kinds",,,0.00,1,1,1,,South Africa
"040630 - Processed cheese, not grated or powdered",,,0.00,4,4,4,,South Africa
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,0.00,3,3,3,,South Africa
040690 - Other cheese,,,0.00,32,32,32,,South Africa
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,South Africa
040719 - - Other,,7.70,0.00,3,2,3,,South Africa
040721 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,South Africa
040729 - - Other,,7.70,0.00,2,1,2,,South Africa
040790 - Others,,7.70,0.00,2,1,2,,South Africa
040811 - - Dried,,0.00,0.00,2,1,1,,South Africa
040819 - - Other,,0.00,0.00,3,2,2,,South Africa
040891 - - Dried,,0.00,0.00,2,1,1,,South Africa
040899 - - Other,,0.00,0.00,2,1,1,,South Africa
040900 Natural honey.,,17.30,0.00,1,,1,,South Africa
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,South Africa
,2017,"2,992",5.34,0.00,171,162,157,14,South Africa
"040110 - Of a fat content, by weight, not exceeding 1 %",9,,0.00,2,2,2,,South Africa
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",121,,0.00,4,4,4,,South Africa
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",1,,0.00,2,2,2,,South Africa
"040150 - Of a fat content, by weight, exceeding 10 %",87,,0.00,6,6,6,,South Africa
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",757,,,4,4,,,South Africa
040221 - - Not containing added sugar or other sweetening matter,"1,028",,0.00,4,4,4,,South Africa
040229 - - Other,,,0.00,5,5,5,,South Africa
040291 - - Not containing added sugar or other sweetening matter,,,0.00,6,6,6,,South Africa
040299 - - Other,,,0.00,5,5,5,,South Africa
040310 - Yogurt,,,0.00,12,12,12,6,South Africa
040390 - Other,,,0.00,18,18,18,6,South Africa
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",10,,0.00,24,24,24,,South Africa
040490 - Other,,,0.00,6,6,6,,South Africa
040510 - Butter,355,,,5,5,,,South Africa
040520 - Dairy spreads,,,,3,3,2,2,South Africa
040590 - Other,82,,0.00,2,2,2,,South Africa
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,0.00,3,3,3,,South Africa
"040620 - Grated or powdered cheese, of all kinds",,,0.00,1,1,1,,South Africa
"040630 - Processed cheese, not grated or powdered",,,0.00,4,4,4,,South Africa
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,0.00,3,3,3,,South Africa
040690 - Other cheese,,,0.00,32,32,32,,South Africa
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,South Africa
040719 - - Other,,7.70,0.00,3,2,3,,South Africa
040721 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,South Africa
040729 - - Other,,7.70,0.00,2,1,2,,South Africa
040790 - Others,,7.70,0.00,2,1,2,,South Africa
040811 - - Dried,177,0.00,0.00,2,1,1,,South Africa
040819 - - Other,,0.00,0.00,3,2,2,,South Africa
040891 - - Dried,,0.00,0.00,2,1,1,,South Africa
040899 - - Other,,0.00,0.00,2,1,1,,South Africa
040900 Natural honey.,365,17.30,0.00,1,,1,,South Africa
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,South Africa
,2016,"1,981",5.34,0.00,171,162,99,14,South Africa
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,2,2,2,,South Africa
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",23,,0.00,4,4,4,,South Africa
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,2,2,2,,South Africa
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,6,,South Africa
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,South Africa
040221 -- Not containing added sugar or other sweetening matter,522,,,4,4,,,South Africa
040229 -- Other,,,,5,5,,,South Africa
040291 -- Not containing added sugar or other sweetening matter,,,0.00,6,6,6,,South Africa
040299 -- Other,1,,0.00,5,5,5,,South Africa
040310 - Yogurt,,,0.00,12,12,12,6,South Africa
040390 - Other,87,,0.00,18,18,12,6,South Africa
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,0.00,24,24,12,,South Africa
040490 - Other,,,,6,6,,,South Africa
040510 - Butter,,,,5,5,,,South Africa
040520 - Dairy spreads,,,,3,3,2,2,South Africa
040590 - Other,,,,2,2,,,South Africa
