Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
European Union,"844,035,399",,,,,,,United States of America
,2018,,5.34,5.34,171,162,,,United States of America
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,United States of America
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,United States of America
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,United States of America
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,United States of America
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,United States of America
040221 - - Not containing added sugar or other sweetening matter,,,,4,4,,,United States of America
040229 - - Other,,,,5,5,,,United States of America
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,United States of America
040299 - - Other,,,,5,5,,,United States of America
040310 - Yogurt,,,,12,12,,,United States of America
040390 - Other,,,,18,18,,,United States of America
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,United States of America
040490 - Other,,,,6,6,,,United States of America
040510 - Butter,,,,5,5,,,United States of America
040520 - Dairy spreads,,,,3,3,,,United States of America
040590 - Other,,,,2,2,,,United States of America
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,United States of America
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,United States of America
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,United States of America
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,United States of America
040690 - Other cheese,,,,32,32,,,United States of America
040711 - - Of fowls of the species Gallus domesticus,,,,1,1,,,United States of America
040719 - - Other,,7.70,7.70,3,2,,,United States of America
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,United States of America
040729 - - Other,,7.70,7.70,2,1,,,United States of America
040790 - Others,,7.70,7.70,2,1,,,United States of America
040811 - - Dried,,0.00,0.00,2,1,,,United States of America
040819 - - Other,,0.00,0.00,3,2,,,United States of America
040891 - - Dried,,0.00,0.00,2,1,,,United States of America
040899 - - Other,,0.00,0.00,2,1,,,United States of America
040900 Natural honey.,,17.30,17.30,1,,,,United States of America
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,United States of America
,2017,"32,397,776",5.34,5.34,171,162,,,United States of America
"040110 - Of a fat content, by weight, not exceeding 1 %",647,,,2,2,,,United States of America
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",7,,,4,4,,,United States of America
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",9,,,2,2,,,United States of America
"040150 - Of a fat content, by weight, exceeding 10 %","99,484",,,6,6,,,United States of America
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","3,248,102",,,4,4,,,United States of America
040221 - - Not containing added sugar or other sweetening matter,"718,403",,,4,4,,,United States of America
040229 - - Other,307,,,5,5,,,United States of America
040291 - - Not containing added sugar or other sweetening matter,579,,,6,6,,,United States of America
040299 - - Other,"5,278",,,5,5,,,United States of America
040310 - Yogurt,"309,134",,,12,12,,,United States of America
040390 - Other,"1,063,601",,,18,18,,,United States of America
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter","2,348,520",,,24,24,,,United States of America
040490 - Other,"429,624",,,6,6,,,United States of America
040510 - Butter,"39,295",,,5,5,,,United States of America
040520 - Dairy spreads,,,,3,3,,,United States of America
040590 - Other,"24,738",,,2,2,,,United States of America
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","669,640",,,3,3,,,United States of America
"040620 - Grated or powdered cheese, of all kinds",103,,,1,1,,,United States of America
"040630 - Processed cheese, not grated or powdered","159,189",,,4,4,,,United States of America
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,"35,807",,,3,3,,,United States of America
040690 - Other cheese,"1,964,239",,,32,32,,,United States of America
040711 - - Of fowls of the species Gallus domesticus,"4,944,602",,,1,1,,,United States of America
040719 - - Other,"1,295,476",7.70,7.70,3,2,,,United States of America
040721 - - Of fowls of the species Gallus domesticus,"8,616,544",,,1,1,,,United States of America
040729 - - Other,,7.70,7.70,2,1,,,United States of America
040790 - Others,"173,418",7.70,7.70,2,1,,,United States of America
040811 - - Dried,"75,962",0.00,0.00,2,1,,,United States of America
040819 - - Other,"48,340",0.00,0.00,3,2,,,United States of America
040891 - - Dried,"5,977,493",0.00,0.00,2,1,,,United States of America
040899 - - Other,1,0.00,0.00,2,1,,,United States of America
040900 Natural honey.,"142,062",17.30,17.30,1,,,,United States of America
"041000 Edible products of animal origin, not elsewhere specified or included.","7,172",7.70,7.70,1,,,,United States of America
,2016,"33,476,707",5.34,5.34,171,162,,,United States of America
"040110 - Of a fat content, by weight, not exceeding 1 %",402,,,2,2,,,United States of America
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",701,,,4,4,,,United States of America
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,United States of America
"040150 - Of a fat content, by weight, exceeding 10 %","675,210",,,6,6,,,United States of America
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","68,157",,,4,4,,,United States of America
040221 -- Not containing added sugar or other sweetening matter,"423,663",,,4,4,,,United States of America
040229 -- Other,"2,678",,,5,5,,,United States of America
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,United States of America
040299 -- Other,"10,191",,,5,5,,,United States of America
040310 - Yogurt,"250,481",,,12,12,,,United States of America
040390 - Other,"1,152,120",,,18,18,,,United States of America
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter","3,561,478",,,24,24,,,United States of America
040490 - Other,"348,563",,,6,6,,,United States of America
040510 - Butter,"182,417",,,5,5,,,United States of America
040520 - Dairy spreads,,,,3,3,,,United States of America
040590 - Other,"24,364",,,2,2,,,United States of America
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","1,373,751",,,3,3,,,United States of America
"040620 - Grated or powdered cheese, of all kinds","3,599",,,1,1,,,United States of America
