Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
European Union,"41,902,420,224",,,,,,,India
,2018,,11.60,9.28,147,,147,,India
610120 - Of cotton,,12.00,9.60,2,,2,,India
610130 - Of man-made fibres,,12.00,9.60,2,,2,,India
610190 - Of other textile materials,,12.00,9.60,2,,2,,India
610210 - Of wool or fine animal hair,,12.00,9.60,2,,2,,India
610220 - Of cotton,,12.00,9.60,2,,2,,India
610230 - Of man-made fibres,,12.00,9.60,2,,2,,India
610290 - Of other textile materials,,12.00,9.60,2,,2,,India
610310 - Suits,,12.00,9.60,2,,2,,India
610322 - - Of cotton,,12.00,9.60,1,,1,,India
610323 - - Of synthetic fibres,,12.00,9.60,1,,1,,India
610329 - - Of other textile materials,,12.00,9.60,1,,1,,India
610331 - - Of wool or fine animal hair,,12.00,9.60,1,,1,,India
610332 - - Of cotton,,12.00,9.60,1,,1,,India
610333 - - Of synthetic fibres,,12.00,9.60,1,,1,,India
610339 - - Of other textile materials,,12.00,9.60,1,,1,,India
610341 - - Of wool or fine animal hair,,12.00,9.60,1,,1,,India
610342 - - Of cotton,,12.00,9.60,1,,1,,India
610343 - - Of synthetic fibres,,12.00,9.60,1,,1,,India
610349 - - Of other textile materials,,12.00,9.60,1,,1,,India
610413 - - Of synthetic fibres,,12.00,9.60,1,,1,,India
610419 - - Of other textile materials,,12.00,9.60,2,,2,,India
610422 - - Of cotton,,12.00,9.60,1,,1,,India
610423 - - Of synthetic fibres,,12.00,9.60,1,,1,,India
610429 - - Of other textile materials,,12.00,9.60,2,,2,,India
610431 - - Of wool or fine animal hair,,12.00,9.60,1,,1,,India
610432 - - Of cotton,,12.00,9.60,1,,1,,India
610433 - - Of synthetic fibres,,12.00,9.60,1,,1,,India
610439 - - Of other textile materials,,12.00,9.60,1,,1,,India
610441 - - Of wool or fine animal hair,,12.00,9.60,1,,1,,India
610442 - - Of cotton,,12.00,9.60,1,,1,,India
