Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
Yemen,0,,,,,,,"Saudi Arabia, Kingdom of"
,2016,,1.97,1.97,33,,,,"Saudi Arabia, Kingdom of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
950440 - Playing cards,,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
950490 - Other,,2.50,2.50,2,,,,"Saudi Arabia, Kingdom of"
950510 - Articles for Christmas festivities,,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
950590 - Other,,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
950611 -- Skis,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950619 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950621 -- Sailboards,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950629 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"950631 -- Clubs, complete",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950632 -- Balls,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950639 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950640 - Articles and equipment for table-tennis,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"950651 -- Lawn-tennis rackets, whether or not strung",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950659 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950661 -- Lawn-tennis balls,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950662 -- Inflatable,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950669 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"950670 - Ice skates and roller skates, including skating boots with skates attached",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950699 -- Other,,0.00,0.00,2,,,,"Saudi Arabia, Kingdom of"
950710 - Fishing rods,,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
"950720 - Fish-hooks, whether or not snelled",,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
950730 - Fishing reels,,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
950790 - Other,,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
950810 - Travelling circuses and travelling menageries,,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
950890 - Other,,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
,2015,,1.97,0.00,33,,13,,"Saudi Arabia, Kingdom of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,5.00,0.00,1,,1,,"Saudi Arabia, Kingdom of"
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,5.00,0.00,1,,1,,"Saudi Arabia, Kingdom of"
950440 - Playing cards,,5.00,0.00,1,,1,,"Saudi Arabia, Kingdom of"
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,5.00,0.00,1,,1,,"Saudi Arabia, Kingdom of"
950490 - Other,,2.50,0.00,2,,1,,"Saudi Arabia, Kingdom of"
950510 - Articles for Christmas festivities,,5.00,0.00,1,,1,,"Saudi Arabia, Kingdom of"
950590 - Other,,5.00,0.00,1,,1,,"Saudi Arabia, Kingdom of"
950611 -- Skis,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950619 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950621 -- Sailboards,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950629 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"950631 -- Clubs, complete",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950632 -- Balls,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950639 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950640 - Articles and equipment for table-tennis,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"950651 -- Lawn-tennis rackets, whether or not strung",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950659 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950661 -- Lawn-tennis balls,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950662 -- Inflatable,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
950669 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
