Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
European Union,"227,092,436",,,,,,,Viet Nam
,2018,,2.75,0.00,23,,20,,Viet Nam
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Viet Nam
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Viet Nam
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Viet Nam
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,0.00,3,,3,,Viet Nam
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Viet Nam
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Viet Nam
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Viet Nam
880390 - Other,,1.56,0.00,5,,4,,Viet Nam
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Viet Nam
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Viet Nam
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Viet Nam
880529 - - Other,,0.00,0.00,1,,,,Viet Nam
,2017,"22,052,444",2.80,0.00,23,,20,,Viet Nam
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","107,703",3.20,0.00,2,,2,,Viet Nam
"880211 - - Of an unladen weight not exceeding 2,000 kg",8,7.50,0.00,1,,1,,Viet Nam
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",304,7.70,0.00,1,,1,,Viet Nam
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",5,2.70,0.00,1,,1,,Viet Nam
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",468,2.70,0.00,1,,1,,Viet Nam
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,0.00,3,,3,,Viet Nam
880310 - Propellers and rotors and parts thereof,"24,747",2.70,0.00,1,,1,,Viet Nam
880320 - Under-carriages and parts thereof,"264,737",2.70,0.00,1,,1,,Viet Nam
880330 - Other parts of aeroplanes or helicopters,"4,417,945",2.70,0.00,1,,1,,Viet Nam
880390 - Other,"449,063",1.56,0.00,5,,4,,Viet Nam
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"16,784,908",2.70,0.00,1,,1,,Viet Nam
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Viet Nam
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Viet Nam
880529 - - Other,"2,558",0.00,0.00,1,,,,Viet Nam
,2016,"20,197,025",3.07,0.00,21,,21,,Viet Nam
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","74,572",3.20,0.00,2,,2,,Viet Nam
"880211 -- Of an unladen weight not exceeding 2,000 kg",122,7.50,0.00,1,,1,,Viet Nam
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Viet Nam
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Viet Nam
880310 - Propellers and rotors and parts thereof,"39,265",2.70,0.00,1,,1,,Viet Nam
880320 - Under-carriages and parts thereof,"224,364",2.70,0.00,1,,1,,Viet Nam
880330 - Other parts of aeroplanes or helicopters,"5,423,857",2.70,0.00,1,,1,,Viet Nam
880390 - Other,"44,142",1.95,0.00,4,,4,,Viet Nam
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"14,389,188",2.70,0.00,1,,1,,Viet Nam
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Viet Nam
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Viet Nam
880529 -- Other,"1,515",1.70,0.00,1,,1,,Viet Nam
,2015,"16,625,998",3.07,0.00,21,,21,,Viet Nam
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","55,094",3.20,0.00,2,,2,,Viet Nam
"880211 -- Of an unladen weight not exceeding 2,000 kg",204,7.50,0.00,1,,1,,Viet Nam
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",121,7.70,0.00,1,,1,,Viet Nam
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Viet Nam
880310 - Propellers and rotors and parts thereof,"123,994",2.70,0.00,1,,1,,Viet Nam
880320 - Under-carriages and parts thereof,"234,734",2.70,0.00,1,,1,,Viet Nam
880330 - Other parts of aeroplanes or helicopters,"638,199",2.70,0.00,1,,1,,Viet Nam
880390 - Other,"2,634,087",1.95,0.00,4,,4,,Viet Nam
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"12,937,203",2.70,0.00,1,,1,,Viet Nam
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Viet Nam
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Viet Nam
880529 -- Other,"2,362",1.70,0.00,1,,1,,Viet Nam
,2014,"65,809,290",3.07,0.00,21,,21,,Viet Nam
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","50,657",3.20,0.00,2,,2,,Viet Nam
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Viet Nam
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Viet Nam
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","50,868,584",2.70,0.00,1,,1,,Viet Nam
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Viet Nam
880310 - Propellers and rotors and parts thereof,"1,665",2.70,0.00,1,,1,,Viet Nam
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Viet Nam
880330 - Other parts of aeroplanes or helicopters,"750,349",2.70,0.00,1,,1,,Viet Nam
880390 - Other,"71,009",1.95,0.00,4,,4,,Viet Nam
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"14,062,127",2.70,0.00,1,,1,,Viet Nam
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Viet Nam
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Viet Nam
880529 -- Other,"4,900",1.70,0.00,1,,1,,Viet Nam
,2013,"14,962,623",3.07,0.00,21,,21,,Viet Nam
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","58,169",3.20,0.00,2,,2,,Viet Nam
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Viet Nam
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Viet Nam
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"2,058",4.20,0.00,2,,2,,Viet Nam
880310 - Propellers and rotors and parts thereof,"1,009",2.70,0.00,1,,1,,Viet Nam
880320 - Under-carriages and parts thereof,"161,979",2.70,0.00,1,,1,,Viet Nam
880330 - Other parts of aeroplanes or helicopters,"3,639,084",2.70,0.00,1,,1,,Viet Nam
880390 - Other,"136,946",1.95,0.00,4,,4,,Viet Nam
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"10,963,378",2.70,0.00,1,,1,,Viet Nam
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Viet Nam
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Viet Nam
880529 -- Other,,1.70,0.00,1,,1,,Viet Nam
,2012,"15,408,378",3.07,0.00,21,,21,,Viet Nam
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","19,023",3.20,0.00,2,,2,,Viet Nam
"880211 -- Of an unladen weight not exceeding 2,000 kg","1,823,008",7.50,0.00,1,,1,,Viet Nam
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Viet Nam
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Viet Nam
880310 - Propellers and rotors and parts thereof,154,2.70,0.00,1,,1,,Viet Nam
880320 - Under-carriages and parts thereof,"73,895",2.70,0.00,1,,1,,Viet Nam
880330 - Other parts of aeroplanes or helicopters,"4,088,368",2.70,0.00,1,,1,,Viet Nam
880390 - Other,"104,653",1.95,0.00,4,,4,,Viet Nam
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"9,294,162",2.70,0.00,1,,1,,Viet Nam
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"3,830",2.20,0.00,2,,2,,Viet Nam
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Viet Nam
880529 -- Other,"1,285",1.70,0.00,1,,1,,Viet Nam
,2011,"10,238,230",3.07,0.00,21,,21,,Viet Nam
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","44,530",3.20,0.00,2,,2,,Viet Nam
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Viet Nam
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Viet Nam
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Viet Nam
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Viet Nam
880310 - Propellers and rotors and parts thereof,"10,774",2.70,0.00,1,,1,,Viet Nam
