Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
European Union,"1,853,837,040",,,,,,,"Korea, Republic of"
,2018,,2.14,0.00,63,,41,,"Korea, Republic of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,0.00,19,,8,,"Korea, Republic of"
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,"Korea, Republic of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,"Korea, Republic of"
950440 - Playing cards,,2.70,0.00,1,,1,,"Korea, Republic of"
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,"Korea, Republic of"
950490 - Other,,0.00,0.00,2,,,,"Korea, Republic of"
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,"Korea, Republic of"
950590 - Other,,2.70,0.00,1,,1,,"Korea, Republic of"
950611 - - Skis,,3.70,0.00,4,,4,,"Korea, Republic of"
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,"Korea, Republic of"
950619 - - Other,,2.70,0.00,1,,1,,"Korea, Republic of"
950621 - - Sailboards,,2.70,0.00,1,,1,,"Korea, Republic of"
950629 - - Other,,2.70,0.00,1,,1,,"Korea, Republic of"
"950631 - - Clubs, complete",,2.70,0.00,1,,1,,"Korea, Republic of"
950632 - - Balls,,2.70,0.00,1,,1,,"Korea, Republic of"
950639 - - Other,,2.70,0.00,2,,2,,"Korea, Republic of"
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,"Korea, Republic of"
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,"Korea, Republic of"
950659 - - Other,,2.70,0.00,1,,1,,"Korea, Republic of"
950661 - - Lawn-tennis balls,,2.70,0.00,1,,1,,"Korea, Republic of"
950662 - - Inflatable,,2.70,0.00,1,,1,,"Korea, Republic of"
950669 - - Other,,1.35,0.00,2,,1,,"Korea, Republic of"
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,"Korea, Republic of"
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,"Korea, Republic of"
950699 - - Other,,1.35,0.00,2,,1,,"Korea, Republic of"
950710 - Fishing rods,,3.70,0.00,1,,1,,"Korea, Republic of"
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,"Korea, Republic of"
950730 - Fishing reels,,3.70,0.00,1,,1,,"Korea, Republic of"
950790 - Other,,3.70,0.00,1,,1,,"Korea, Republic of"
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,"Korea, Republic of"
950890 - Other,,1.70,0.00,1,,1,,"Korea, Republic of"
,2017,"66,132,679",2.14,0.00,63,,41,,"Korea, Republic of"
