Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
Brazil,"19,073,203",,,,,,,Costa Rica
,2018,,10.82,10.82,318,,,,Costa Rica
390110 - Polyethylene having a specific gravity of less than 0.94,,14.00,14.00,3,,,,Costa Rica
390120 - Polyethylene having a specific gravity of 0.94 or more,,8.00,8.00,4,,,,Costa Rica
390130 - Ethylene-vinyl acetate copolymers,,14.00,14.00,2,,,,Costa Rica
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,14.00,14.00,1,,,,Costa Rica
390190 - Other,,8.00,8.00,6,,,,Costa Rica
390210 - Polypropylene,,14.00,14.00,2,,,,Costa Rica
390220 - Polyisobutylene,,14.00,14.00,1,,,,Costa Rica
390230 - Propylene copolymers,,14.00,14.00,1,,,,Costa Rica
390290 - Other,,14.00,14.00,1,,,,Costa Rica
390311 - - Expansible,,14.00,14.00,2,,,,Costa Rica
390319 - - Other,,14.00,14.00,1,,,,Costa Rica
390320 - Styrene-acrylonitrile (SAN) copolymers,,14.00,14.00,1,,,,Costa Rica
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,14.00,14.00,2,,,,Costa Rica
390390 - Other,,10.00,10.00,3,,,,Costa Rica
"390410 - Poly(vinyl chloride), not mixed with any other substances",,14.00,14.00,3,,,,Costa Rica
390421 - - Non-plasticised,,14.00,14.00,1,,,,Costa Rica
390422 - - Plasticised,,14.00,14.00,1,,,,Costa Rica
390430 - Vinyl chloride-vinyl acetate copolymers,,14.00,14.00,1,,,,Costa Rica
390440 - Other vinyl chloride copolymers,,14.00,14.00,2,,,,Costa Rica
390450 - Vinylidene chloride polymers,,2.00,2.00,2,,,,Costa Rica
390461 - - Polytetrafluoroethylene,,2.00,2.00,2,,,,Costa Rica
390469 - - Other,,2.00,2.00,2,,,,Costa Rica
390490 - Other,,14.00,14.00,1,,,,Costa Rica
390512 - - In aqueous dispersion,,14.00,14.00,1,,,,Costa Rica
390519 - - Other,,14.00,14.00,2,,,,Costa Rica
390521 - - In aqueous dispersion,,14.00,14.00,1,,,,Costa Rica
390529 - - Other,,14.00,14.00,1,,,,Costa Rica
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,2.00,2.00,1,,,,Costa Rica
390591 - - Copolymers,,8.00,8.00,2,,,,Costa Rica
390599 - - Other,,4.50,4.50,4,,,,Costa Rica
390610 - Poly(methyl methacrylate),,14.00,14.00,1,,,,Costa Rica
390690 - Other,,9.33,9.33,18,,,,Costa Rica
390710 - Polyacetals,,8.67,8.67,9,,,,Costa Rica
390720 - Other polyethers,,8.67,8.67,9,,,,Costa Rica
390730 - Epoxide resins,,14.00,14.00,5,,,,Costa Rica
390740 - Polycarbonates,,8.00,8.00,2,,,,Costa Rica
390750 - Alkyd resins,,14.00,14.00,2,,,,Costa Rica
390761 - - Having a viscosity number of 78 ml/g or higher,,14.00,14.00,1,,,,Costa Rica
390769 - - Other,,14.00,14.00,1,,,,Costa Rica
390770 - Poly(lactic acid),,14.00,14.00,1,,,,Costa Rica
390791 - - Unsaturated,,14.00,14.00,1,,,,Costa Rica
390799 - - Other,,6.00,6.00,9,,,,Costa Rica
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.80,6.80,10,,,,Costa Rica
390890 - Other,,6.00,6.00,3,,,,Costa Rica
390910 - Urea resins; thiourea resins,,14.00,14.00,1,,,,Costa Rica
390920 - Melamine resins,,14.00,14.00,4,,,,Costa Rica
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,14.00,14.00,1,,,,Costa Rica
390939 - - Other,,14.00,14.00,1,,,,Costa Rica
390940 - Phenolic resins,,14.00,14.00,4,,,,Costa Rica
390950 - Polyurethanes,,9.20,9.20,5,,,,Costa Rica
391000 Silicones in primary forms.,,9.50,9.50,8,,,,Costa Rica
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,3,,,,Costa Rica
391190 - Other,,5.69,5.69,13,,,,Costa Rica
391211 - - Non-plasticised,,5.00,5.00,2,,,,Costa Rica
391212 - - Plasticised,,2.00,2.00,1,,,,Costa Rica
391220 - Cellulose nitrates (including collodions),,14.00,14.00,3,,,,Costa Rica
391231 - - Carboxymethylcellulose and its salts,,14.00,14.00,4,,,,Costa Rica
391239 - - Other,,2.00,2.00,4,,,,Costa Rica
391290 - Other,,10.00,10.00,6,,,,Costa Rica
"391310 - Alginic acid, its salts and esters",,2.00,2.00,1,,,,Costa Rica
391390 - Other,,4.67,4.67,9,,,,Costa Rica
