Importer,Year,Value,Ad val. duties,Number of lines,Yemen
,(US$),Simple average,MFN duties,Pref. duties,Yemen
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Yemen
European Union,"135,998",,,,,,,Yemen
,2018,,6.67,0.00,125,24,106,,Yemen
080111 - - Desiccated,,0.00,0.00,1,,,,Yemen
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,Yemen
080119 - - Other,,0.00,0.00,1,,,,Yemen
080121 - - In shell,,0.00,0.00,1,,,,Yemen
080122 - - Shelled,,0.00,0.00,1,,,,Yemen
080131 - - In shell,,0.00,0.00,1,,,,Yemen
080132 - - Shelled,,0.00,0.00,1,,,,Yemen
080211 - - In shell,,2.80,0.00,2,,1,,Yemen
080212 - - Shelled,,1.75,0.00,2,,1,,Yemen
080221 - - In shell,,3.20,0.00,1,,1,,Yemen
080222 - - Shelled,,3.20,0.00,1,,1,,Yemen
080231 - - In shell,,4.00,0.00,1,,1,,Yemen
080232 - - Shelled,,5.10,0.00,1,,1,,Yemen
080241 - - In shell,,5.60,0.00,1,,1,,Yemen
080242 - - Shelled,,5.60,0.00,1,,1,,Yemen
080251 - - In shell,,1.60,0.00,1,,1,,Yemen
080252 - - Shelled,,1.60,0.00,1,,1,,Yemen
080261 - - In shell,,2.00,0.00,1,,1,,Yemen
080262 - - Shelled,,2.00,0.00,1,,1,,Yemen
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Yemen
080280 - Areca nuts,,0.00,0.00,1,,,,Yemen
080290 - Other,,1.33,0.00,3,,2,,Yemen
080310 - Plantains,,16.00,0.00,2,,2,,Yemen
080390 - Other,,16.00,0.00,2,1,2,,Yemen
080410 - Dates,,7.70,0.00,1,,1,,Yemen
080420 - Figs,,6.80,0.00,2,,2,,Yemen
080430 - Pineapples,,5.80,0.00,1,,1,,Yemen
080440 - Avocados,,4.00,0.00,1,,1,,Yemen
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Yemen
080510 - Oranges,,16.00,0.00,4,3,4,,Yemen
080521 - - Mandarins (including tangerines and satsumas),,,0.00,2,2,2,,Yemen
080522 - - Clementines,,,0.00,1,1,1,,Yemen
080529 - - Other,,,0.00,1,1,1,,Yemen
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,Yemen
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,0.00,2,1,2,,Yemen
080590 - Other,,12.80,0.00,1,,1,,Yemen
080610 - Fresh,,14.40,0.00,2,1,2,,Yemen
080620 - Dried,,2.40,0.00,3,,3,,Yemen
080711 - - Watermelons,,8.80,0.00,1,,1,,Yemen
080719 - - Other,,8.80,0.00,1,,1,,Yemen
080720 - Papaws (papayas),,0.00,0.00,1,,,,Yemen
080810 - Apples,,,0.00,2,2,2,,Yemen
080830 - Pears,,,0.00,2,2,2,,Yemen
080840 - Quinces,,7.20,0.00,1,,1,,Yemen
080910 - Apricots,,,0.00,1,1,1,,Yemen
080921 - - Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Yemen
080929 - - Other,,,0.00,1,1,1,,Yemen
"080930 - Peaches, including nectarines",,,0.00,2,2,2,,Yemen
080940 - Plums and sloes,,12.00,0.00,2,1,2,,Yemen
081010 - Strawberries,,11.20,0.00,1,,1,,Yemen
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,Yemen
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Yemen
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,0.00,4,,3,,Yemen
081050 - Kiwifruit,,8.80,0.00,1,,1,,Yemen
081060 - Durians,,8.80,0.00,1,,1,,Yemen
081070 - Persimmons,,8.80,0.00,1,,1,,Yemen
081090 - Other,,4.40,0.00,2,,1,,Yemen
081110 - Strawberries,,17.60,0.00,3,1,3,,Yemen
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,0.00,7,1,7,,Yemen
081190 - Other,,10.75,0.00,10,2,8,,Yemen
081210 - Cherries,,8.80,0.00,1,,1,,Yemen
081290 - Other,,7.16,0.00,5,,5,,Yemen
