Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",,14.50,0.00,2,,2,,Albania
871310 - Not mechanically propelled,,0.00,0.00,1,,,,Albania
871390 - Other,,0.00,0.00,1,,,,Albania
871410 - Of motorcycles (including mopeds),,3.70,0.00,6,,6,,Albania
871420 - Of carriages for disabled persons,,0.00,0.00,1,,,,Albania
"871491 - - Frames and forks, and parts thereof",,4.70,0.00,3,,3,,Albania
871492 - - Wheel rims and spokes,,4.70,0.00,2,,2,,Albania
"871493 - - Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels",,4.70,0.00,1,,1,,Albania
"871494 - - Brakes, including coaster braking hubs and hub brakes, and parts thereof",,4.70,0.00,2,,2,,Albania
871495 - - Saddles,,4.70,0.00,1,,1,,Albania
"871496 - - Pedals and crank-gear, and parts thereof",,4.70,0.00,3,,3,,Albania
871499 - - Other,,4.70,0.00,4,,4,,Albania
871500 Baby carriages and parts thereof.,,2.70,0.00,2,,2,,Albania
"871610 - Trailers and semi-trailers of the caravan type, for housing or camping",,2.70,0.00,2,,2,,Albania
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,2.70,0.00,1,,1,,Albania
871631 - - Tanker trailers and tanker semi-trailers,,2.70,0.00,1,,1,,Albania
871639 - - Other,,2.70,0.00,4,,4,,Albania
871640 - Other trailers and semi-trailers,,2.70,0.00,1,,1,,Albania
871680 - Other vehicles,,1.70,0.00,1,,1,,Albania
871690 - Parts,,1.70,0.00,4,,4,,Albania
,2017,"20,252,486",6.65,0.00,199,,188,,Albania
870110 - Single axle tractors,,3.00,0.00,1,,1,,Albania
870120 - Road tractors for semi-trailers,"29,019",16.00,0.00,2,,2,,Albania
870130 - Track-laying tractors,,0.00,0.00,1,,,,Albania
870191 - - Not exceeding 18 kW,,3.50,0.00,2,,1,,Albania
