Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
European Union,"2,071,800",,,,,,,Albania
,2018,,2.75,0.00,23,,20,,Albania
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Albania
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Albania
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Albania
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Albania
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Albania
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Albania
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,0.00,3,,3,,Albania
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Albania
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Albania
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Albania
880390 - Other,,1.56,0.00,5,,4,,Albania
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Albania
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Albania
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Albania
880529 - - Other,,0.00,0.00,1,,,,Albania
,2017,"4,890",2.80,0.00,23,,20,,Albania
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Albania
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Albania
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Albania
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Albania
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Albania
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Albania
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,0.00,3,,3,,Albania
880310 - Propellers and rotors and parts thereof,1,2.70,0.00,1,,1,,Albania
880320 - Under-carriages and parts thereof,1,2.70,0.00,1,,1,,Albania
880330 - Other parts of aeroplanes or helicopters,"1,624",2.70,0.00,1,,1,,Albania
880390 - Other,"3,263",1.56,0.00,5,,4,,Albania
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Albania
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Albania
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Albania
880529 - - Other,,0.00,0.00,1,,,,Albania
,2016,"7,012",3.07,0.00,21,,21,,Albania
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Albania
"880211 -- Of an unladen weight not exceeding 2,000 kg",88,7.50,0.00,1,,1,,Albania
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Albania
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Albania
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Albania
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Albania
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Albania
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Albania
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Albania
880330 - Other parts of aeroplanes or helicopters,"1,835",2.70,0.00,1,,1,,Albania
880390 - Other,"5,088",1.95,0.00,4,,4,,Albania
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Albania
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Albania
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Albania
880529 -- Other,,1.70,0.00,1,,1,,Albania
,2015,"9,657",3.07,0.00,21,,21,,Albania
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Albania
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Albania
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Albania
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Albania
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Albania
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Albania
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Albania
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Albania
880320 - Under-carriages and parts thereof,"6,342",2.70,0.00,1,,1,,Albania
880330 - Other parts of aeroplanes or helicopters,"3,315",2.70,0.00,1,,1,,Albania
880390 - Other,,1.95,0.00,4,,4,,Albania
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Albania
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Albania
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Albania
880529 -- Other,,1.70,0.00,1,,1,,Albania
,2014,"57,988",3.07,0.00,21,,21,,Albania
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Albania
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Albania
