Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
European Union,"2,602,468",,,,,,,"Korea, Republic of"
,2018,,5.34,0.00,171,162,167,,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,2,2,2,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,4,4,4,,"Korea, Republic of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,2,2,2,,"Korea, Republic of"
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,6,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,0.00,4,4,4,,"Korea, Republic of"
040221 - - Not containing added sugar or other sweetening matter,,,0.00,4,4,4,,"Korea, Republic of"
040229 - - Other,,,0.00,5,5,5,,"Korea, Republic of"
040291 - - Not containing added sugar or other sweetening matter,,,0.00,6,6,6,,"Korea, Republic of"
040299 - - Other,,,0.00,5,5,5,,"Korea, Republic of"
040310 - Yogurt,,,0.00,12,12,12,,"Korea, Republic of"
040390 - Other,,,0.00,18,18,18,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,0.00,24,24,24,,"Korea, Republic of"
040490 - Other,,,0.00,6,6,6,,"Korea, Republic of"
040510 - Butter,,,0.00,5,5,5,,"Korea, Republic of"
040520 - Dairy spreads,,,0.00,3,3,3,,"Korea, Republic of"
040590 - Other,,,0.00,2,2,2,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,0.00,3,3,3,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,,0.00,1,1,1,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,,0.00,4,4,4,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,0.00,3,3,3,,"Korea, Republic of"
040690 - Other cheese,,,0.00,32,32,32,,"Korea, Republic of"
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,"Korea, Republic of"
040719 - - Other,,7.70,0.00,3,2,3,,"Korea, Republic of"
040721 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,"Korea, Republic of"
040729 - - Other,,7.70,0.00,2,1,2,,"Korea, Republic of"
040790 - Others,,7.70,0.00,2,1,2,,"Korea, Republic of"
040811 - - Dried,,0.00,0.00,2,1,1,,"Korea, Republic of"
040819 - - Other,,0.00,0.00,3,2,2,,"Korea, Republic of"
040891 - - Dried,,0.00,0.00,2,1,1,,"Korea, Republic of"
040899 - - Other,,0.00,0.00,2,1,1,,"Korea, Republic of"
040900 Natural honey.,,17.30,0.00,1,,1,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,"Korea, Republic of"
,2017,"759,822",5.34,0.00,171,162,167,,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,2,2,2,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,4,4,4,,"Korea, Republic of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %","1,171",,0.00,2,2,2,,"Korea, Republic of"
"040150 - Of a fat content, by weight, exceeding 10 %","43,273",,0.00,6,6,6,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,0.00,4,4,4,,"Korea, Republic of"
040221 - - Not containing added sugar or other sweetening matter,,,0.00,4,4,4,,"Korea, Republic of"
040229 - - Other,,,0.00,5,5,5,,"Korea, Republic of"
040291 - - Not containing added sugar or other sweetening matter,,,0.00,6,6,6,,"Korea, Republic of"
040299 - - Other,,,0.00,5,5,5,,"Korea, Republic of"
040310 - Yogurt,,,0.00,12,12,12,,"Korea, Republic of"
040390 - Other,"50,694",,0.00,18,18,18,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter","84,386",,0.00,24,24,24,,"Korea, Republic of"
040490 - Other,"149,001",,0.00,6,6,6,,"Korea, Republic of"
040510 - Butter,217,,0.00,5,5,5,,"Korea, Republic of"
040520 - Dairy spreads,,,0.00,3,3,3,,"Korea, Republic of"
040590 - Other,34,,0.00,2,2,2,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,0.00,3,3,3,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,,0.00,1,1,1,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,,0.00,4,4,4,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,0.00,3,3,3,,"Korea, Republic of"
040690 - Other cheese,"89,799",,0.00,32,32,32,,"Korea, Republic of"
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,"Korea, Republic of"
040719 - - Other,,7.70,0.00,3,2,3,,"Korea, Republic of"
040721 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,"Korea, Republic of"
040729 - - Other,,7.70,0.00,2,1,2,,"Korea, Republic of"
040790 - Others,"339,671",7.70,0.00,2,1,2,,"Korea, Republic of"
040811 - - Dried,,0.00,0.00,2,1,1,,"Korea, Republic of"
040819 - - Other,,0.00,0.00,3,2,2,,"Korea, Republic of"
040891 - - Dried,,0.00,0.00,2,1,1,,"Korea, Republic of"
040899 - - Other,,0.00,0.00,2,1,1,,"Korea, Republic of"
040900 Natural honey.,"1,577",17.30,0.00,1,,1,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,"Korea, Republic of"
,2016,"55,169",5.34,0.02,171,162,167,24,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1 %","52,238",,0.00,2,2,2,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,4,4,4,,"Korea, Republic of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %","1,122",,0.00,2,2,2,,"Korea, Republic of"
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,6,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,4,4,"Korea, Republic of"
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,4,4,"Korea, Republic of"
040229 -- Other,,,,5,5,5,5,"Korea, Republic of"
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,6,6,"Korea, Republic of"
040299 -- Other,,,,5,5,5,5,"Korea, Republic of"
040310 - Yogurt,31,,0.00,12,12,12,,"Korea, Republic of"
040390 - Other,,,0.00,18,18,18,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter","1,686",,0.00,24,24,24,,"Korea, Republic of"
040490 - Other,,,0.00,6,6,6,,"Korea, Republic of"
040510 - Butter,93,,0.00,5,5,5,,"Korea, Republic of"
040520 - Dairy spreads,,,0.00,3,3,3,,"Korea, Republic of"
040590 - Other,,,0.00,2,2,2,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,0.00,3,3,3,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,,0.00,1,1,1,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,,0.00,4,4,4,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,0.00,3,3,3,,"Korea, Republic of"
040690 - Other cheese,,,0.00,32,32,32,,"Korea, Republic of"
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,"Korea, Republic of"
040719 -- Other,,7.70,0.00,3,2,3,,"Korea, Republic of"
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,"Korea, Republic of"
040729 -- Other,,7.70,0.00,2,1,2,,"Korea, Republic of"
040790 - Others,,7.70,0.00,2,1,2,,"Korea, Republic of"
040811 -- Dried,,0.00,0.00,2,1,1,,"Korea, Republic of"
040819 -- Other,,0.00,0.00,3,2,2,,"Korea, Republic of"
040891 -- Dried,,0.00,0.00,2,1,1,,"Korea, Republic of"
040899 -- Other,,0.00,0.00,2,1,1,,"Korea, Republic of"
040900 Natural honey.,,17.30,2.80,1,,1,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,"Korea, Republic of"
,2015,"129,617",5.34,0.04,171,162,167,24,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1 %","64,710",,0.00,2,2,2,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,4,4,4,,"Korea, Republic of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,2,2,2,,"Korea, Republic of"
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,6,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",63,,,4,4,4,4,"Korea, Republic of"
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,4,4,"Korea, Republic of"
040229 -- Other,4,,,5,5,5,5,"Korea, Republic of"
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,6,6,"Korea, Republic of"
040299 -- Other,,,,5,5,5,5,"Korea, Republic of"
040310 - Yogurt,"1,722",,0.00,12,12,12,,"Korea, Republic of"
040390 - Other,,,0.00,18,18,18,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,0.00,24,24,24,,"Korea, Republic of"
040490 - Other,"53,235",,0.00,6,6,6,,"Korea, Republic of"
040510 - Butter,,,0.00,5,5,5,,"Korea, Republic of"
040520 - Dairy spreads,,,0.00,3,3,3,,"Korea, Republic of"
040590 - Other,,,0.00,2,2,2,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,0.00,3,3,3,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds","5,235",,0.00,1,1,1,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,,0.00,4,4,4,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,0.00,3,3,3,,"Korea, Republic of"
040690 - Other cheese,,,0.00,32,32,32,,"Korea, Republic of"
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,"Korea, Republic of"
040719 -- Other,,7.70,0.00,3,2,3,,"Korea, Republic of"
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,"Korea, Republic of"
040729 -- Other,,7.70,0.00,2,1,2,,"Korea, Republic of"
040790 - Others,,7.70,0.00,2,1,2,,"Korea, Republic of"
040811 -- Dried,273,0.00,0.00,2,1,1,,"Korea, Republic of"
040819 -- Other,,0.00,0.00,3,2,2,,"Korea, Republic of"
040891 -- Dried,,0.00,0.00,2,1,1,,"Korea, Republic of"
040899 -- Other,,0.00,0.00,2,1,1,,"Korea, Republic of"
040900 Natural honey.,"4,374",17.30,5.70,1,,1,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,"Korea, Republic of"
,2014,"9,141",5.77,0.06,172,161,168,24,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,2,2,2,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,4,4,4,,"Korea, Republic of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %","2,413",,0.00,2,2,2,,"Korea, Republic of"
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,6,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,4,4,"Korea, Republic of"
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,4,4,"Korea, Republic of"
040229 -- Other,,,,5,5,5,5,"Korea, Republic of"
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,6,6,"Korea, Republic of"
040299 -- Other,,,,5,5,5,5,"Korea, Republic of"
040310 - Yogurt,"6,693",,0.00,12,12,12,,"Korea, Republic of"
040390 - Other,,,0.00,18,18,18,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,0.00,24,24,24,,"Korea, Republic of"
040490 - Other,,,0.00,6,6,6,,"Korea, Republic of"
040510 - Butter,,,0.00,5,5,5,,"Korea, Republic of"
040520 - Dairy spreads,,,0.00,3,3,3,,"Korea, Republic of"
040590 - Other,,,0.00,2,2,2,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,0.00,2,2,2,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,7.70,0.00,2,1,2,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,,0.00,4,4,4,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,0.00,3,3,3,,"Korea, Republic of"
040690 - Other cheese,34,7.70,0.00,33,32,33,,"Korea, Republic of"
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,"Korea, Republic of"
040719 -- Other,,7.70,0.00,3,2,3,,"Korea, Republic of"
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,"Korea, Republic of"
040729 -- Other,,7.70,0.00,2,1,2,,"Korea, Republic of"
040790 - Others,,7.70,0.00,2,1,2,,"Korea, Republic of"
040811 -- Dried,,0.00,0.00,2,1,1,,"Korea, Republic of"
040819 -- Other,,0.00,0.00,3,2,2,,"Korea, Republic of"
040891 -- Dried,,0.00,0.00,2,1,1,,"Korea, Republic of"
040899 -- Other,,0.00,0.00,2,1,1,,"Korea, Republic of"
040900 Natural honey.,,17.30,8.60,1,,1,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,"Korea, Republic of"
,2013,"633,625",5.77,0.08,172,161,168,24,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,2,2,2,,"Korea, Republic of"
