Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
India,"313,852,782",,,,,,,Brazil
,2018,,10.05,10.05,414,,,,Brazil
390110 - Polyethylene having a specific gravity of less than 0.94,,10.00,10.00,2,,,,Brazil
390120 - Polyethylene having a specific gravity of 0.94 or more,,10.00,10.00,1,,,,Brazil
390130 - Ethylene-vinyl acetate copolymers,,10.00,10.00,1,,,,Brazil
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,10.00,10.00,1,,,,Brazil
390190 - Other,,10.00,10.00,2,,,,Brazil
390210 - Polypropylene,,10.00,10.00,1,,,,Brazil
390220 - Polyisobutylene,,10.00,10.00,1,,,,Brazil
390230 - Propylene copolymers,,10.00,10.00,1,,,,Brazil
390290 - Other,,10.00,10.00,1,,,,Brazil
390311 - - Expansible,,10.00,10.00,1,,,,Brazil
390319 - - Other,,10.00,10.00,2,,,,Brazil
390320 - Styrene-acrylonitrile (SAN) copolymers,,10.00,10.00,1,,,,Brazil
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,10.00,10.00,1,,,,Brazil
390390 - Other,,10.00,10.00,3,,,,Brazil
"390410 - Poly(vinyl chloride), not mixed with any other substances",,10.00,10.00,2,,,,Brazil
390421 - - Non-plasticised,,10.00,10.00,2,,,,Brazil
390422 - - Plasticised,,10.00,10.00,2,,,,Brazil
390430 - Vinyl chloride-vinyl acetate copolymers,,10.00,10.00,2,,,,Brazil
390440 - Other vinyl chloride copolymers,,10.00,10.00,1,,,,Brazil
390450 - Vinylidene chloride polymers,,10.00,10.00,2,,,,Brazil
390461 - - Polytetrafluoroethylene,,10.00,10.00,1,,,,Brazil
390469 - - Other,,10.00,10.00,2,,,,Brazil
390490 - Other,,10.00,10.00,1,,,,Brazil
390512 - - In aqueous dispersion,,10.00,10.00,3,,,,Brazil
390519 - - Other,,10.00,10.00,3,,,,Brazil
390521 - - In aqueous dispersion,,10.00,10.00,1,,,,Brazil
390529 - - Other,,10.00,10.00,1,,,,Brazil
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,10.00,10.00,1,,,,Brazil
390591 - - Copolymers,,10.00,10.00,1,,,,Brazil
390599 - - Other,,10.00,10.00,2,,,,Brazil
390610 - Poly(methyl methacrylate),,10.00,10.00,2,,,,Brazil
390690 - Other,,10.00,10.00,4,,,,Brazil
390710 - Polyacetals,,10.00,10.00,1,,,,Brazil
390720 - Other polyethers,,10.00,10.00,2,,,,Brazil
390730 - Epoxide resins,,10.00,10.00,2,,,,Brazil
390740 - Polycarbonates,,10.00,10.00,1,,,,Brazil
390750 - Alkyd resins,,10.00,10.00,1,,,,Brazil
390761 - - Having a viscosity number of 78 ml/g or higher,,10.00,10.00,1,,,,Brazil
390769 - - Other,,10.00,10.00,3,,,,Brazil
390770 - Poly(lactic acid),,10.00,10.00,1,,,,Brazil
390791 - - Unsaturated,,10.00,10.00,6,,,,Brazil
390799 - - Other,,10.00,10.00,3,,,,Brazil
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,10.00,10.00,2,,,,Brazil
390890 - Other,,10.00,10.00,3,,,,Brazil
390910 - Urea resins; thiourea resins,,10.00,10.00,2,,,,Brazil
390920 - Melamine resins,,10.00,10.00,2,,,,Brazil
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,10.00,10.00,1,,,,Brazil
390939 - - Other,,10.00,10.00,2,,,,Brazil
390940 - Phenolic resins,,10.00,10.00,7,,,,Brazil
390950 - Polyurethanes,,10.00,10.00,1,,,,Brazil
391000 Silicones in primary forms.,,10.00,10.00,3,,,,Brazil
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,2,,,,Brazil
391190 - Other,,10.00,10.00,2,,,,Brazil
391211 - - Non-plasticised,,10.00,10.00,5,,,,Brazil
391212 - - Plasticised,,10.00,10.00,4,,,,Brazil
391220 - Cellulose nitrates (including collodions),,10.00,10.00,4,,,,Brazil
391231 - - Carboxymethylcellulose and its salts,,10.00,10.00,1,,,,Brazil
391239 - - Other,,10.00,10.00,6,,,,Brazil
391290 - Other,,10.00,10.00,3,,,,Brazil
"391310 - Alginic acid, its salts and esters",,10.00,10.00,2,,,,Brazil
391390 - Other,,10.00,10.00,5,,,,Brazil
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,10.00,10.00,3,,,,Brazil
391510 - Of polymers of ethylene,,10.00,10.00,1,,,,Brazil
391520 - Of polymers of styrene,,10.00,10.00,1,,,,Brazil
391530 - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Brazil
391590 - Of other plastics,,10.00,10.00,17,,,,Brazil
391610 - Of polymers of ethylene,,10.00,10.00,3,,,,Brazil
391620 - Of polymers of vinyl chloride,,10.00,10.00,4,,,,Brazil
391690 - Of other plastics,,10.00,10.00,17,,,,Brazil
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,10.00,10.00,2,,,,Brazil
391721 - - Of polymers of ethylene,,10.00,10.00,2,,,,Brazil
391722 - - Of polymers of propylene,,10.00,10.00,1,,,,Brazil
391723 - - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Brazil
391729 - - Of other plastics,,10.00,10.00,6,,,,Brazil
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,10.00,10.00,1,,,,Brazil
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,10.00,10.00,3,,,,Brazil
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,10.00,10.00,1,,,,Brazil
391739 - - Other,,10.00,10.00,3,,,,Brazil
391740 - Fittings,,10.00,10.00,1,,,,Brazil
391810 - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Brazil
391890 - Of other plastics,,10.00,10.00,3,,,,Brazil
391910 - In rolls of a width not exceeding 20 cm,,10.00,10.00,1,,,,Brazil
391990 - Other,,11.67,11.67,3,,,,Brazil
392010 - Of polymers of ethylene,,10.00,10.00,6,,,,Brazil
392020 - Of polymers of propylene,,10.00,10.00,3,,,,Brazil
392030 - Of polymers of styrene,,10.00,10.00,3,,,,Brazil
392043 - - Containing by weight not less than 6 % of plasticisers,,10.00,10.00,1,,,,Brazil
392049 - - Other,,10.00,10.00,1,,,,Brazil
392051 - - Of poly(methyl methacrylate),,10.00,10.00,6,,,,Brazil
392059 - - Other,,10.00,10.00,6,,,,Brazil
392061 - - Of polycarbonates,,10.00,10.00,3,,,,Brazil
392062 - - Of poly(ethylene terephthalate),,10.00,10.00,3,,,,Brazil
392063 - - Of unsaturated polyesters,,10.00,10.00,3,,,,Brazil
392069 - - Of other polyesters,,10.00,10.00,12,,,,Brazil
392071 - - Of regenerated cellulose,,10.00,10.00,7,,,,Brazil
392073 - - Of cellulose acetate,,10.00,10.00,9,,,,Brazil
392079 - - Of other cellulose derivatives,,10.00,10.00,6,,,,Brazil
392091 - - Of poly(vinyl butyral),,10.00,10.00,3,,,,Brazil
392092 - - Of polyamides,,10.00,10.00,6,,,,Brazil
392093 - - Of amino-resins,,10.00,10.00,3,,,,Brazil
392094 - - Of phenolic resins,,10.00,10.00,3,,,,Brazil
392099 - - Of other plastics,,10.26,10.26,19,,,,Brazil
392111 - - Of polymers of styrene,,10.00,10.00,1,,,,Brazil
392112 - - Of polymers of vinyl chloride,,10.00,10.00,1,,,,Brazil
392113 - - Of polyurethanes,,10.00,10.00,2,,,,Brazil
392114 - - Of regenerated cellulose,,10.00,10.00,1,,,,Brazil
392119 - - Of other plastics,,10.00,10.00,1,,,,Brazil
392190 - Other,,10.00,10.00,22,,,,Brazil
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Brazil
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Brazil
392290 - Other,,10.00,10.00,1,,,,Brazil
"392310 - Boxes, cases, crates and similar articles",,10.00,10.00,5,,,,Brazil
392321 - - Of polymers of ethylene,,10.00,10.00,1,,,,Brazil
392329 - - Of other plastics,,10.00,10.00,2,,,,Brazil
"392330 - Carboys, bottles, flasks and similar articles",,10.00,10.00,2,,,,Brazil
"392340 - Spools, cops, bobbins and similar supports",,10.00,10.00,1,,,,Brazil
"392350 - Stoppers, lids, caps and other closures",,10.00,10.00,2,,,,Brazil
392390 - Other,,10.00,10.00,3,,,,Brazil
392410 - Tableware and kitchenware,,10.00,10.00,2,,,,Brazil
392490 - Other,,10.00,10.00,3,,,,Brazil
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,10.00,10.00,1,,,,Brazil
"392520 - Doors, windows and their frames and thresholds for doors",,10.00,10.00,1,,,,Brazil
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,10.00,10.00,1,,,,Brazil
392590 - Other,,10.00,10.00,2,,,,Brazil
392610 - Office or school supplies,,10.00,10.00,4,,,,Brazil
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,10.00,10.00,10,,,,Brazil
"392630 - Fittings for furniture, coachwork or the like",,10.00,10.00,2,,,,Brazil
392640 - Statuettes and other ornamental articles,,10.00,10.00,13,,,,Brazil
392690 - Other,,10.63,10.63,16,,,,Brazil
,2017,,9.15,9.15,414,,,,Brazil
390110 - Polyethylene having a specific gravity of less than 0.94,,7.50,7.50,2,,,,Brazil
390120 - Polyethylene having a specific gravity of 0.94 or more,,7.50,7.50,1,,,,Brazil
390130 - Ethylene-vinyl acetate copolymers,,7.50,7.50,1,,,,Brazil
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,10.00,10.00,1,,,,Brazil
390190 - Other,,7.50,7.50,2,,,,Brazil
390210 - Polypropylene,,7.50,7.50,1,,,,Brazil
390220 - Polyisobutylene,,7.50,7.50,1,,,,Brazil
390230 - Propylene copolymers,,7.50,7.50,1,,,,Brazil
390290 - Other,,7.50,7.50,1,,,,Brazil
390311 - - Expansible,,7.50,7.50,1,,,,Brazil
390319 - - Other,,7.50,7.50,2,,,,Brazil
390320 - Styrene-acrylonitrile (SAN) copolymers,,7.50,7.50,1,,,,Brazil
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,7.50,7.50,1,,,,Brazil
390390 - Other,,7.50,7.50,3,,,,Brazil
"390410 - Poly(vinyl chloride), not mixed with any other substances",,7.50,7.50,2,,,,Brazil
390421 - - Non-plasticised,,7.50,7.50,2,,,,Brazil
390422 - - Plasticised,,7.50,7.50,2,,,,Brazil
390430 - Vinyl chloride-vinyl acetate copolymers,,7.50,7.50,2,,,,Brazil
390440 - Other vinyl chloride copolymers,,7.50,7.50,1,,,,Brazil
390450 - Vinylidene chloride polymers,,7.50,7.50,2,,,,Brazil
390461 - - Polytetrafluoroethylene,,7.50,7.50,1,,,,Brazil
390469 - - Other,,7.50,7.50,2,,,,Brazil
390490 - Other,,7.50,7.50,1,,,,Brazil
390512 - - In aqueous dispersion,,7.50,7.50,3,,,,Brazil
390519 - - Other,,7.50,7.50,3,,,,Brazil
390521 - - In aqueous dispersion,,7.50,7.50,1,,,,Brazil
390529 - - Other,,7.50,7.50,1,,,,Brazil
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,7.50,7.50,1,,,,Brazil
390591 - - Copolymers,,7.50,7.50,1,,,,Brazil
390599 - - Other,,7.50,7.50,2,,,,Brazil
390610 - Poly(methyl methacrylate),,7.50,7.50,2,,,,Brazil
390690 - Other,,7.50,7.50,4,,,,Brazil
390710 - Polyacetals,,7.50,7.50,1,,,,Brazil
390720 - Other polyethers,,7.50,7.50,2,,,,Brazil
390730 - Epoxide resins,,7.50,7.50,2,,,,Brazil
390740 - Polycarbonates,,7.50,7.50,1,,,,Brazil
390750 - Alkyd resins,,7.50,7.50,1,,,,Brazil
390761 - - Having a viscosity number of 78 ml/g or higher,,10.00,10.00,1,,,,Brazil
390769 - - Other,,10.00,10.00,3,,,,Brazil
390770 - Poly(lactic acid),,7.50,7.50,1,,,,Brazil
390791 - - Unsaturated,,7.50,7.50,6,,,,Brazil
390799 - - Other,,7.50,7.50,3,,,,Brazil
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,10.00,10.00,2,,,,Brazil
390890 - Other,,10.00,10.00,3,,,,Brazil
390910 - Urea resins; thiourea resins,,7.50,7.50,2,,,,Brazil
390920 - Melamine resins,,7.50,7.50,2,,,,Brazil
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,10.00,10.00,1,,,,Brazil
390939 - - Other,,10.00,10.00,2,,,,Brazil
390940 - Phenolic resins,,7.50,7.50,7,,,,Brazil
390950 - Polyurethanes,,7.50,7.50,1,,,,Brazil
391000 Silicones in primary forms.,,7.50,7.50,3,,,,Brazil
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,7.50,7.50,2,,,,Brazil
391190 - Other,,7.50,7.50,2,,,,Brazil
391211 - - Non-plasticised,,7.50,7.50,5,,,,Brazil
391212 - - Plasticised,,7.50,7.50,4,,,,Brazil
391220 - Cellulose nitrates (including collodions),,7.50,7.50,4,,,,Brazil
391231 - - Carboxymethylcellulose and its salts,,7.50,7.50,1,,,,Brazil
391239 - - Other,,7.50,7.50,6,,,,Brazil
391290 - Other,,7.50,7.50,3,,,,Brazil
"391310 - Alginic acid, its salts and esters",,7.50,7.50,2,,,,Brazil
391390 - Other,,7.50,7.50,5,,,,Brazil
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,7.50,7.50,3,,,,Brazil
391510 - Of polymers of ethylene,,7.50,7.50,1,,,,Brazil
391520 - Of polymers of styrene,,7.50,7.50,1,,,,Brazil
391530 - Of polymers of vinyl chloride,,7.50,7.50,2,,,,Brazil
391590 - Of other plastics,,7.50,7.50,17,,,,Brazil
391610 - Of polymers of ethylene,,10.00,10.00,3,,,,Brazil
391620 - Of polymers of vinyl chloride,,10.00,10.00,4,,,,Brazil
391690 - Of other plastics,,10.00,10.00,17,,,,Brazil
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,10.00,10.00,2,,,,Brazil
391721 - - Of polymers of ethylene,,10.00,10.00,2,,,,Brazil
391722 - - Of polymers of propylene,,10.00,10.00,1,,,,Brazil
391723 - - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Brazil
391729 - - Of other plastics,,10.00,10.00,6,,,,Brazil
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,10.00,10.00,1,,,,Brazil
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,10.00,10.00,3,,,,Brazil
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,10.00,10.00,1,,,,Brazil
391739 - - Other,,10.00,10.00,3,,,,Brazil
391740 - Fittings,,10.00,10.00,1,,,,Brazil
391810 - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Brazil
391890 - Of other plastics,,10.00,10.00,3,,,,Brazil
391910 - In rolls of a width not exceeding 20 cm,,10.00,10.00,1,,,,Brazil
391990 - Other,,10.00,10.00,3,,,,Brazil
392010 - Of polymers of ethylene,,10.00,10.00,6,,,,Brazil
392020 - Of polymers of propylene,,10.00,10.00,3,,,,Brazil
392030 - Of polymers of styrene,,10.00,10.00,3,,,,Brazil
392043 - - Containing by weight not less than 6 % of plasticisers,,10.00,10.00,1,,,,Brazil
392049 - - Other,,10.00,10.00,1,,,,Brazil
392051 - - Of poly(methyl methacrylate),,10.00,10.00,6,,,,Brazil
392059 - - Other,,10.00,10.00,6,,,,Brazil
392061 - - Of polycarbonates,,10.00,10.00,3,,,,Brazil
392062 - - Of poly(ethylene terephthalate),,10.00,10.00,3,,,,Brazil
392063 - - Of unsaturated polyesters,,10.00,10.00,3,,,,Brazil
392069 - - Of other polyesters,,10.00,10.00,12,,,,Brazil
392071 - - Of regenerated cellulose,,10.00,10.00,7,,,,Brazil
392073 - - Of cellulose acetate,,10.00,10.00,9,,,,Brazil
392079 - - Of other cellulose derivatives,,10.00,10.00,6,,,,Brazil
392091 - - Of poly(vinyl butyral),,10.00,10.00,3,,,,Brazil
392092 - - Of polyamides,,10.00,10.00,6,,,,Brazil
392093 - - Of amino-resins,,10.00,10.00,3,,,,Brazil
392094 - - Of phenolic resins,,10.00,10.00,3,,,,Brazil
392099 - - Of other plastics,,10.00,10.00,19,,,,Brazil
392111 - - Of polymers of styrene,,10.00,10.00,1,,,,Brazil
392112 - - Of polymers of vinyl chloride,,10.00,10.00,1,,,,Brazil
392113 - - Of polyurethanes,,10.00,10.00,2,,,,Brazil
392114 - - Of regenerated cellulose,,10.00,10.00,1,,,,Brazil
392119 - - Of other plastics,,10.00,10.00,1,,,,Brazil
392190 - Other,,10.00,10.00,22,,,,Brazil
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Brazil
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Brazil
392290 - Other,,10.00,10.00,1,,,,Brazil
"392310 - Boxes, cases, crates and similar articles",,10.00,10.00,5,,,,Brazil
392321 - - Of polymers of ethylene,,10.00,10.00,1,,,,Brazil
392329 - - Of other plastics,,10.00,10.00,2,,,,Brazil
"392330 - Carboys, bottles, flasks and similar articles",,10.00,10.00,2,,,,Brazil
"392340 - Spools, cops, bobbins and similar supports",,10.00,10.00,1,,,,Brazil
"392350 - Stoppers, lids, caps and other closures",,10.00,10.00,2,,,,Brazil
392390 - Other,,10.00,10.00,3,,,,Brazil
392410 - Tableware and kitchenware,,10.00,10.00,2,,,,Brazil
392490 - Other,,10.00,10.00,3,,,,Brazil
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,10.00,10.00,1,,,,Brazil
"392520 - Doors, windows and their frames and thresholds for doors",,10.00,10.00,1,,,,Brazil
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,10.00,10.00,1,,,,Brazil
392590 - Other,,10.00,10.00,2,,,,Brazil
392610 - Office or school supplies,,10.00,10.00,4,,,,Brazil
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,10.00,10.00,10,,,,Brazil
"392630 - Fittings for furniture, coachwork or the like",,10.00,10.00,2,,,,Brazil
392640 - Statuettes and other ornamental articles,,10.00,10.00,13,,,,Brazil
392690 - Other,,10.00,10.00,16,,,,Brazil
,2016,"112,638,228",9.11,9.11,411,,,,Brazil
390110 - Polyethylene having a specific gravity of less than 0.94,"3,723,634",7.50,7.50,2,,,,Brazil
390120 - Polyethylene having a specific gravity of 0.94 or more,"809,833",7.50,7.50,1,,,,Brazil
390130 - Ethylene-vinyl acetate copolymers,"1,229,505",7.50,7.50,1,,,,Brazil
390190 - Other,"27,910",7.50,7.50,2,,,,Brazil
390210 - Polypropylene,"362,808",7.50,7.50,1,,,,Brazil
390220 - Polyisobutylene,"221,315",7.50,7.50,1,,,,Brazil
390230 - Propylene copolymers,"528,828",7.50,7.50,1,,,,Brazil
390290 - Other,,7.50,7.50,1,,,,Brazil
390311 -- Expansible,,7.50,7.50,1,,,,Brazil
390319 -- Other,,7.50,7.50,2,,,,Brazil
390320 - Styrene-acrylonitrile (SAN) copolymers,,7.50,7.50,1,,,,Brazil
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,7.50,7.50,1,,,,Brazil
390390 - Other,"7,344",7.50,7.50,3,,,,Brazil
"390410 - Poly(vinyl chloride), not mixed with any other substances","10,348,753",7.50,7.50,2,,,,Brazil
390421 -- Non-plasticised,"76,144,397",7.50,7.50,2,,,,Brazil
390422 -- Plasticised,"751,802",7.50,7.50,2,,,,Brazil
390430 - Vinyl chloride-vinyl acetate copolymers,,7.50,7.50,2,,,,Brazil
390440 - Other vinyl chloride copolymers,,7.50,7.50,1,,,,Brazil
390450 - Vinylidene chloride polymers,,7.50,7.50,2,,,,Brazil
390461 -- Polytetrafluoroethylene,,7.50,7.50,1,,,,Brazil
390469 -- Other,,7.50,7.50,2,,,,Brazil
390490 - Other,,7.50,7.50,1,,,,Brazil
390512 -- In aqueous dispersion,,7.50,7.50,3,,,,Brazil
390519 -- Other,"1,083",7.50,7.50,3,,,,Brazil
390521 -- In aqueous dispersion,,7.50,7.50,1,,,,Brazil
390529 -- Other,,7.50,7.50,1,,,,Brazil
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",103,7.50,7.50,1,,,,Brazil
390591 -- Copolymers,,7.50,7.50,1,,,,Brazil
390599 -- Other,202,7.50,7.50,2,,,,Brazil
390610 - Poly(methyl methacrylate),,7.50,7.50,2,,,,Brazil
390690 - Other,"29,062",7.50,7.50,4,,,,Brazil
390710 - Polyacetals,,7.50,7.50,1,,,,Brazil
390720 - Other polyethers,"9,365,398",7.50,7.50,2,,,,Brazil
390730 - Epoxide resins,"131,078",7.50,7.50,2,,,,Brazil
390740 - Polycarbonates,,7.50,7.50,1,,,,Brazil
390750 - Alkyd resins,,7.50,7.50,1,,,,Brazil
390760 - Poly(ethylene terephthalate),"3,128",7.50,7.50,3,,,,Brazil
390770 - Poly(lactic acid),,7.50,7.50,1,,,,Brazil
390791 -- Unsaturated,"68,527",7.50,7.50,6,,,,Brazil
390799 -- Other,"1,497",7.50,7.50,3,,,,Brazil
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12","621,585",10.00,10.00,2,,,,Brazil
390890 - Other,"55,447",10.00,10.00,3,,,,Brazil
390910 - Urea resins; thiourea resins,"5,854",7.50,7.50,2,,,,Brazil
390920 - Melamine resins,"7,582",7.50,7.50,2,,,,Brazil
390930 - Other amino-resins,,7.50,7.50,2,,,,Brazil
390940 - Phenolic resins,"279,831",7.50,7.50,7,,,,Brazil
390950 - Polyurethanes,"3,850",7.50,7.50,1,,,,Brazil
391000 Silicones in primary forms.,"44,966",7.50,7.50,3,,,,Brazil
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes","99,025",7.50,7.50,2,,,,Brazil
391190 - Other,,7.50,7.50,2,,,,Brazil
391211 -- Non-plasticised,"848,673",7.50,7.50,5,,,,Brazil
391212 -- Plasticised,,7.50,7.50,4,,,,Brazil
391220 - Cellulose nitrates (including collodions),"1,889,941",7.50,7.50,4,,,,Brazil
391231 -- Carboxymethylcellulose and its salts,,7.50,7.50,1,,,,Brazil
391239 -- Other,"1,823",7.50,7.50,6,,,,Brazil
391290 - Other,"1,237,120",7.50,7.50,3,,,,Brazil
"391310 - Alginic acid, its salts and esters",,7.50,7.50,2,,,,Brazil
391390 - Other,,7.50,7.50,5,,,,Brazil
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.","40,046",7.50,7.50,3,,,,Brazil
391510 - Of polymers of ethylene,,7.50,7.50,1,,,,Brazil
391520 - Of polymers of styrene,,7.50,7.50,1,,,,Brazil
391530 - Of polymers of vinyl chloride,,7.50,7.50,2,,,,Brazil
391590 - Of other plastics,,7.50,7.50,17,,,,Brazil
391610 - Of polymers of ethylene,,10.00,10.00,3,,,,Brazil
391620 - Of polymers of vinyl chloride,,10.00,10.00,4,,,,Brazil
391690 - Of other plastics,,10.00,10.00,17,,,,Brazil
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,10.00,10.00,2,,,,Brazil
391721 -- Of polymers of ethylene,,10.00,10.00,2,,,,Brazil
391722 -- Of polymers of propylene,,10.00,10.00,1,,,,Brazil
391723 -- Of polymers of vinyl chloride,,10.00,10.00,2,,,,Brazil
391729 -- Of other plastics,"1,539",10.00,10.00,6,,,,Brazil
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,10.00,10.00,1,,,,Brazil
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings","8,105",10.00,10.00,3,,,,Brazil
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings",,10.00,10.00,1,,,,Brazil
391739 -- Other,"84,852",10.00,10.00,3,,,,Brazil
391740 - Fittings,"2,258",10.00,10.00,1,,,,Brazil
391810 - Of polymers of vinyl chloride,"609,040",10.00,10.00,2,,,,Brazil
391890 - Of other plastics,"11,323",10.00,10.00,3,,,,Brazil
391910 - In rolls of a width not exceeding 20 cm,"11,667",10.00,10.00,1,,,,Brazil
391990 - Other,"122,993",10.00,10.00,3,,,,Brazil
392010 - Of polymers of ethylene,"178,285",10.00,10.00,6,,,,Brazil
392020 - Of polymers of propylene,,10.00,10.00,3,,,,Brazil
392030 - Of polymers of styrene,,10.00,10.00,3,,,,Brazil
392043 -- Containing by weight not less than 6 % of plasticisers,"3,665",10.00,10.00,1,,,,Brazil
392049 -- Other,"16,240",10.00,10.00,1,,,,Brazil
392051 -- Of poly(methyl methacrylate),,10.00,10.00,6,,,,Brazil
392059 -- Other,,10.00,10.00,6,,,,Brazil
392061 -- Of polycarbonates,,10.00,10.00,3,,,,Brazil
392062 -- Of poly(ethylene terephthalate),"112,049",10.00,10.00,3,,,,Brazil
392063 -- Of unsaturated polyesters,,10.00,10.00,3,,,,Brazil
392069 -- Of other polyesters,"35,395",10.00,10.00,12,,,,Brazil
392071 -- Of regenerated cellulose,,10.00,10.00,7,,,,Brazil
392073 -- Of cellulose acetate,,10.00,10.00,9,,,,Brazil
392079 -- Of other cellulose derivatives,,10.00,10.00,6,,,,Brazil
392091 -- Of poly(vinyl butyral),,10.00,10.00,3,,,,Brazil
392092 -- Of polyamides,,10.00,10.00,6,,,,Brazil
392093 -- Of amino-resins,,10.00,10.00,3,,,,Brazil
392094 -- Of phenolic resins,,10.00,10.00,3,,,,Brazil
392099 -- Of other plastics,"83,466",10.00,10.00,19,,,,Brazil
392111 -- Of polymers of styrene,,10.00,10.00,1,,,,Brazil
392112 -- Of polymers of vinyl chloride,,10.00,10.00,1,,,,Brazil
392113 -- Of polyurethanes,,10.00,10.00,2,,,,Brazil
392114 -- Of regenerated cellulose,,10.00,10.00,1,,,,Brazil
392119 -- Of other plastics,"79,347",10.00,10.00,1,,,,Brazil
392190 - Other,"168,903",10.00,10.00,22,,,,Brazil
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Brazil
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Brazil
392290 - Other,,10.00,10.00,1,,,,Brazil
"392310 - Boxes, cases, crates and similar articles","520,538",10.00,10.00,5,,,,Brazil
392321 -- Of polymers of ethylene,,10.00,10.00,1,,,,Brazil
392329 -- Of other plastics,160,10.00,10.00,2,,,,Brazil
"392330 - Carboys, bottles, flasks and similar articles","12,609",10.00,10.00,2,,,,Brazil
"392340 - Spools, cops, bobbins and similar supports",,10.00,10.00,1,,,,Brazil
"392350 - Stoppers, lids, caps and other closures","74,382",10.00,10.00,2,,,,Brazil
392390 - Other,"3,708",10.00,10.00,3,,,,Brazil
392410 - Tableware and kitchenware,137,10.00,10.00,2,,,,Brazil
392490 - Other,"10,590",10.00,10.00,3,,,,Brazil
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l","3,710",10.00,10.00,1,,,,Brazil
