Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
080121 - - In shell,,10.00,10.00,1,,,,Viet Nam
080122 - - Shelled,,10.00,10.00,1,,,,Viet Nam
080131 - - In shell,,10.00,10.00,1,,,,Viet Nam
080132 - - Shelled,"2,901,079",10.00,10.00,1,,,,Viet Nam
080211 - - In shell,,10.00,10.00,1,,,,Viet Nam
080212 - - Shelled,,10.00,10.00,1,,,,Viet Nam
080221 - - In shell,,6.00,6.00,1,,,,Viet Nam
080222 - - Shelled,,6.00,6.00,1,,,,Viet Nam
080231 - - In shell,,10.00,10.00,1,,,,Viet Nam
080232 - - Shelled,,10.00,10.00,1,,,,Viet Nam
080241 - - In shell,,10.00,10.00,1,,,,Viet Nam
080242 - - Shelled,,10.00,10.00,1,,,,Viet Nam
080251 - - In shell,,10.00,10.00,1,,,,Viet Nam
080252 - - Shelled,,10.00,10.00,1,,,,Viet Nam
080261 - - In shell,,10.00,10.00,1,,,,Viet Nam
080262 - - Shelled,,10.00,10.00,1,,,,Viet Nam
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,Viet Nam
080280 - Areca nuts,,10.00,10.00,1,,,,Viet Nam
080290 - Other,,10.00,10.00,1,,,,Viet Nam
080310 - Plantains,,10.00,10.00,1,,,,Viet Nam
080390 - Other,"16,902",10.00,10.00,1,,,,Viet Nam
080410 - Dates,,10.00,10.00,2,,,,Viet Nam
080420 - Figs,,10.00,10.00,2,,,,Viet Nam
080430 - Pineapples,,10.00,10.00,1,,,,Viet Nam
080440 - Avocados,,10.00,10.00,1,,,,Viet Nam
"080450 - Guavas, mangoes and mangosteens",,10.00,10.00,3,,,,Viet Nam
080510 - Oranges,,10.00,10.00,1,,,,Viet Nam
080521 - - Mandarins (including tangerines and satsumas),,10.00,10.00,1,,,,Viet Nam
080522 - - Clementines,,10.00,10.00,1,,,,Viet Nam
080529 - - Other,,10.00,10.00,1,,,,Viet Nam
