Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
India,0,,,,,,,Albania
,2018,,20.00,20.00,55,,,,Albania
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,20.00,20.00,4,,,,Albania
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,Albania
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,Albania
950440 - Playing cards,,20.00,20.00,1,,,,Albania
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,Albania
950490 - Other,,20.00,20.00,3,,,,Albania
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,Albania
950590 - Other,,20.00,20.00,2,,,,Albania
950611 - - Skis,,20.00,20.00,1,,,,Albania
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,Albania
950619 - - Other,,20.00,20.00,1,,,,Albania
950621 - - Sailboards,,20.00,20.00,1,,,,Albania
950629 - - Other,,20.00,20.00,1,,,,Albania
"950631 - - Clubs, complete",,20.00,20.00,1,,,,Albania
950632 - - Balls,,20.00,20.00,1,,,,Albania
950639 - - Other,,20.00,20.00,1,,,,Albania
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,Albania
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,Albania
950659 - - Other,,20.00,20.00,2,,,,Albania
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,Albania
950662 - - Inflatable,,20.00,20.00,4,,,,Albania
950669 - - Other,,20.00,20.00,5,,,,Albania
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,Albania
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,2,,,,Albania
950699 - - Other,,20.00,20.00,9,,,,Albania
950710 - Fishing rods,,20.00,20.00,1,,,,Albania
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,Albania
950730 - Fishing reels,,20.00,20.00,1,,,,Albania
950790 - Other,,20.00,20.00,2,,,,Albania
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,Albania
