Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
Yemen,0,,,,,,,European Union
,2016,,6.39,6.39,230,,,,European Union
390110 - Polyethylene having a specific gravity of less than 0.94,,5.00,5.00,2,,,,European Union
390120 - Polyethylene having a specific gravity of 0.94 or more,,5.00,5.00,2,,,,European Union
390130 - Ethylene-vinyl acetate copolymers,,5.00,5.00,2,,,,European Union
390190 - Other,,5.00,5.00,2,,,,European Union
390210 - Polypropylene,,5.00,5.00,2,,,,European Union
390220 - Polyisobutylene,,5.00,5.00,2,,,,European Union
390230 - Propylene copolymers,,5.00,5.00,2,,,,European Union
390290 - Other,,5.00,5.00,2,,,,European Union
390311 -- Expansible,,5.00,5.00,2,,,,European Union
390319 -- Other,,5.00,5.00,2,,,,European Union
390320 - Styrene-acrylonitrile (SAN) copolymers,,5.00,5.00,2,,,,European Union
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,5.00,5.00,2,,,,European Union
390390 - Other,,5.00,5.00,2,,,,European Union
"390410 - Poly(vinyl chloride), not mixed with any other substances",,5.00,5.00,2,,,,European Union
390421 -- Non-plasticised,,5.00,5.00,2,,,,European Union
390422 -- Plasticised,,5.00,5.00,2,,,,European Union
390430 - Vinyl chloride-vinyl acetate copolymers,,5.00,5.00,2,,,,European Union
390440 - Other vinyl chloride copolymers,,5.00,5.00,2,,,,European Union
390450 - Vinylidene chloride polymers,,5.00,5.00,2,,,,European Union
390461 -- Polytetrafluoroethylene,,5.00,5.00,2,,,,European Union
390469 -- Other,,5.00,5.00,2,,,,European Union
390490 - Other,,5.00,5.00,2,,,,European Union
390512 -- In aqueous dispersion,,5.00,5.00,2,,,,European Union
390519 -- Other,,5.00,5.00,2,,,,European Union
390521 -- In aqueous dispersion,,5.00,5.00,2,,,,European Union
390529 -- Other,,5.00,5.00,2,,,,European Union
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,5.00,5.00,2,,,,European Union
390591 -- Copolymers,,5.00,5.00,2,,,,European Union
390599 -- Other,,5.00,5.00,2,,,,European Union
390610 - Poly(methyl methacrylate),,5.00,5.00,2,,,,European Union
390690 - Other,,5.00,5.00,2,,,,European Union
390710 - Polyacetals,,5.00,5.00,2,,,,European Union
390720 - Other polyethers,,5.00,5.00,2,,,,European Union
390730 - Epoxide resins,,5.00,5.00,2,,,,European Union
390740 - Polycarbonates,,5.00,5.00,2,,,,European Union
390750 - Alkyd resins,,5.00,5.00,2,,,,European Union
390760 - Poly(ethylene terephthalate),,5.00,5.00,2,,,,European Union
390770 - Poly(lactic acid),,5.00,5.00,2,,,,European Union
390791 -- Unsaturated,,5.00,5.00,2,,,,European Union
390799 -- Other,,5.00,5.00,2,,,,European Union
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,5.00,5.00,2,,,,European Union
390890 - Other,,5.00,5.00,2,,,,European Union
390910 - Urea resins; thiourea resins,,5.00,5.00,2,,,,European Union
390920 - Melamine resins,,5.00,5.00,2,,,,European Union
390930 - Other amino-resins,,5.00,5.00,2,,,,European Union
390940 - Phenolic resins,,5.00,5.00,2,,,,European Union
390950 - Polyurethanes,,5.00,5.00,2,,,,European Union
391000 Silicones in primary forms.,,5.00,5.00,2,,,,European Union
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,5.00,5.00,2,,,,European Union
391190 - Other,,5.00,5.00,2,,,,European Union
391211 -- Non-plasticised,,5.00,5.00,2,,,,European Union
391212 -- Plasticised,,5.00,5.00,2,,,,European Union
391220 - Cellulose nitrates (including collodions),,5.00,5.00,2,,,,European Union
391231 -- Carboxymethylcellulose and its salts,,5.00,5.00,2,,,,European Union
391239 -- Other,,5.00,5.00,2,,,,European Union
391290 - Other,,5.00,5.00,2,,,,European Union
"391310 - Alginic acid, its salts and esters",,5.00,5.00,2,,,,European Union
391390 - Other,,5.00,5.00,2,,,,European Union
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,5.00,5.00,2,,,,European Union
391510 - Of polymers of ethylene,,7.50,7.50,2,,,,European Union
391520 - Of polymers of styrene,,7.50,7.50,2,,,,European Union
391530 - Of polymers of vinyl chloride,,7.50,7.50,2,,,,European Union
391590 - Of other plastics,,7.50,7.50,2,,,,European Union
391610 - Of polymers of ethylene,,10.00,10.00,1,,,,European Union
391620 - Of polymers of vinyl chloride,,10.00,10.00,1,,,,European Union
391690 - Of other plastics,,10.00,10.00,1,,,,European Union
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,10.00,10.00,1,,,,European Union
