Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
European Union,"234,046,237,744",,,,,,,India
,2018,,2.39,0.00,498,,352,,India
850110 - Motors of an output not exceeding 37.5 W,,3.20,0.00,4,,4,,India
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,2.70,0.00,1,,1,,India
850131 - - Of an output not exceeding 750 W,,2.70,0.00,1,,1,,India
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,0.00,1,,1,,India
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,2.70,0.00,1,,1,,India
850134 - - Of an output exceeding 375 kW,,2.70,0.00,1,,1,,India
"850140 - Other AC motors, single-phase",,2.70,0.00,2,,2,,India
850151 - - Of an output not exceeding 750 W,,2.70,0.00,1,,1,,India
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,0.00,3,,3,,India
850153 - - Of an output exceeding 75 kW,,2.70,0.00,4,,4,,India
850161 - - Of an output not exceeding 75 kVA,,2.70,0.00,2,,2,,India
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,0.00,1,,1,,India
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,2.70,0.00,1,,1,,India
850164 - - Of an output exceeding 750 kVA,,2.70,0.00,1,,1,,India
850211 - - Of an output not exceeding 75 kVA,,2.70,0.00,2,,2,,India
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,0.00,1,,1,,India
850213 - - Of an output exceeding 375 kVA,,2.70,0.00,3,,3,,India
850220 - Generating sets with spark-ignition internal combustion piston engines,,2.70,0.00,4,,4,,India
850231 - - Wind-powered,,2.70,0.00,1,,1,,India
850239 - - Other,,2.70,0.00,2,,2,,India
850240 - Electric rotary converters,,2.70,0.00,1,,1,,India
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,2.70,0.00,3,,3,,India
850410 - Ballasts for discharge lamps or tubes,,3.70,0.00,2,,2,,India
850421 - - Having a power handling capacity not exceeding 650 kVA,,3.70,0.00,1,,1,,India
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,3.70,0.00,2,,2,,India
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,3.70,0.00,1,,1,,India
850431 - - Having a power handling capacity not exceeding 1 kVA,,3.70,0.00,3,,3,,India
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,3.70,0.00,1,,1,,India
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,3.70,0.00,1,,1,,India
850434 - - Having a power handling capacity exceeding 500 kVA,,3.70,0.00,1,,1,,India
850440 - Static converters,,1.42,0.00,6,,5,,India
850450 - Other inductors,,0.95,0.00,2,,1,,India
850490 - Parts,,0.66,0.00,5,,3,,India
850511 - - Of metal,,2.20,0.00,1,,1,,India
850519 - - Other,,2.20,0.00,2,,2,,India
"850520 - Electro-magnetic couplings, clutches and brakes",,2.20,0.00,1,,1,,India
"850590 - Other, including parts",,1.45,0.00,4,,3,,India
850610 - Manganese dioxide,,4.70,0.00,4,,4,,India
850630 - Mercuric oxide,,4.70,0.00,1,,1,,India
850640 - Silver oxide,,4.70,0.00,1,,1,,India
850650 - Lithium,,4.70,0.00,3,,3,,India
850660 - Air-zinc,,4.70,0.00,1,,1,,India
850680 - Other primary cells and primary batteries,,2.35,0.00,2,,1,,India
850690 - Parts,,4.70,0.00,1,,1,,India
"850710 - Lead-acid, of a kind used for starting piston engines",,3.70,0.00,2,,2,,India
850720 - Other lead-acid accumulators,,3.70,0.00,2,,2,,India
850730 - Nickel-cadmium,,2.60,0.00,2,,2,,India
850740 - Nickel-iron,,2.70,0.00,1,,1,,India
850750 - Nickel-metal hydride,,2.70,0.00,1,,1,,India
850760 - Lithium-ion,,2.70,0.00,1,,1,,India
850780 - Other accumulators,,2.70,0.00,1,,1,,India
850790 - Parts,,2.70,0.00,2,,2,,India
"850811 - - Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,2.20,0.00,1,,1,,India
850819 - - Other,,1.70,0.00,1,,1,,India
850860 - Other vacuum cleaners,,1.70,0.00,1,,1,,India
850870 - Parts,,1.70,0.00,1,,1,,India
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,2.20,0.00,1,,1,,India
850980 - Other appliances,,2.20,0.00,1,,1,,India
850990 - Parts,,2.20,0.00,1,,1,,India
851010 - Shavers,,2.20,0.00,1,,1,,India
851020 - Hair clippers,,2.20,0.00,1,,1,,India
851030 - Hair-removing appliances,,2.20,0.00,1,,1,,India
851090 - Parts,,2.20,0.00,1,,1,,India
851110 - Sparking plugs,,3.20,0.00,1,,1,,India
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,,3.20,0.00,1,,1,,India
851130 - Distributors; ignition coils,,3.20,0.00,1,,1,,India
851140 - Starter motors and dual purpose starter-generators,,3.20,0.00,1,,1,,India
851150 - Other generators,,3.20,0.00,1,,1,,India
851180 - Other equipment,,3.20,0.00,1,,1,,India
851190 - Parts,,3.20,0.00,1,,1,,India
851210 - Lighting or visual signalling equipment of a kind used on bicycles,,2.70,0.00,1,,1,,India
851220 - Other lighting or visual signalling equipment,,2.70,0.00,1,,1,,India
851230 - Sound signalling equipment,,2.45,0.00,2,,2,,India
"851240 - Windscreen wipers, defrosters and demisters",,2.70,0.00,1,,1,,India
