Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
610910 - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610990 - Of other textile materials,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
611011 - - Of wool,,11.50,11.50,3,,,,"Saudi Arabia, Kingdom of"
611012 - - Of Kashmir (cashmere) goats,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
611019 - - Other,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
611020 - Of cotton,,12.00,12.00,3,,,,"Saudi Arabia, Kingdom of"
611030 - Of man-made fibres,,12.00,12.00,3,,,,"Saudi Arabia, Kingdom of"
611090 - Of other textile materials,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
611120 - Of cotton,,10.45,10.45,2,,,,"Saudi Arabia, Kingdom of"
611130 - Of synthetic fibres,,10.45,10.45,2,,,,"Saudi Arabia, Kingdom of"
611190 - Of other textile materials,,10.97,10.97,3,,,,"Saudi Arabia, Kingdom of"
611211 - - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611212 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611219 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611220 - Ski suits,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611231 - - Of synthetic fibres,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
611239 - - Of other textile materials,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
611241 - - Of synthetic fibres,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
611249 - - Of other textile materials,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
611420 - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611430 - Of man-made fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611490 - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
"611521 - - Of synthetic fibres, measuring per single yarn less than 67 decitex",,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
