Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
Brazil,"983,792,586",,,,,,,India
,2018,,10.82,10.82,318,,,,India
390110 - Polyethylene having a specific gravity of less than 0.94,,14.00,14.00,3,,,,India
390120 - Polyethylene having a specific gravity of 0.94 or more,,8.00,8.00,4,,,,India
390130 - Ethylene-vinyl acetate copolymers,,14.00,14.00,2,,,,India
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,14.00,14.00,1,,,,India
390190 - Other,,8.00,8.00,6,,,,India
390210 - Polypropylene,,14.00,14.00,2,,,,India
390220 - Polyisobutylene,,14.00,14.00,1,,,,India
390230 - Propylene copolymers,,14.00,14.00,1,,,,India
390290 - Other,,14.00,14.00,1,,,,India
390311 - - Expansible,,14.00,14.00,2,,,,India
390319 - - Other,,14.00,14.00,1,,,,India
390320 - Styrene-acrylonitrile (SAN) copolymers,,14.00,14.00,1,,,,India
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,14.00,14.00,2,,,,India
390390 - Other,,10.00,10.00,3,,,,India
"390410 - Poly(vinyl chloride), not mixed with any other substances",,14.00,14.00,3,,,,India
390421 - - Non-plasticised,,14.00,14.00,1,,,,India
390422 - - Plasticised,,14.00,14.00,1,,,,India
390430 - Vinyl chloride-vinyl acetate copolymers,,14.00,14.00,1,,,,India
390440 - Other vinyl chloride copolymers,,14.00,14.00,2,,,,India
390450 - Vinylidene chloride polymers,,2.00,2.00,2,,,,India
390461 - - Polytetrafluoroethylene,,2.00,2.00,2,,,,India
390469 - - Other,,2.00,2.00,2,,,,India
390490 - Other,,14.00,14.00,1,,,,India
390512 - - In aqueous dispersion,,14.00,14.00,1,,,,India
390519 - - Other,,14.00,14.00,2,,,,India
390521 - - In aqueous dispersion,,14.00,14.00,1,,,,India
390529 - - Other,,14.00,14.00,1,,,,India
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,2.00,2.00,1,,,,India
390591 - - Copolymers,,8.00,8.00,2,,,,India
390599 - - Other,,4.50,4.50,4,,,,India
390610 - Poly(methyl methacrylate),,14.00,14.00,1,,,,India
390690 - Other,,9.33,9.33,18,,,,India
390710 - Polyacetals,,8.67,8.67,9,,,,India
390720 - Other polyethers,,8.67,8.67,9,,,,India
390730 - Epoxide resins,,14.00,14.00,5,,,,India
390740 - Polycarbonates,,8.00,8.00,2,,,,India
390750 - Alkyd resins,,14.00,14.00,2,,,,India
390761 - - Having a viscosity number of 78 ml/g or higher,,14.00,14.00,1,,,,India
390769 - - Other,,14.00,14.00,1,,,,India
390770 - Poly(lactic acid),,14.00,14.00,1,,,,India
390791 - - Unsaturated,,14.00,14.00,1,,,,India
390799 - - Other,,6.00,6.00,9,,,,India
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.80,6.80,10,,,,India
390890 - Other,,6.00,6.00,3,,,,India
390910 - Urea resins; thiourea resins,,14.00,14.00,1,,,,India
390920 - Melamine resins,,14.00,14.00,4,,,,India
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,14.00,14.00,1,,,,India
390939 - - Other,,14.00,14.00,1,,,,India
390940 - Phenolic resins,,14.00,14.00,4,,,,India
