Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
950662 -- Inflatable,"8,428",10.00,10.00,4,,,,European Union
950669 -- Other,"395,383",10.00,10.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached","27,002",10.00,10.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","4,643,266",10.00,10.00,2,,,,European Union
950699 -- Other,"6,618,325",10.00,10.00,9,,,,European Union
950710 - Fishing rods,,10.00,10.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled","10,459",10.00,10.00,1,,,,European Union
950730 - Fishing reels,,10.00,10.00,1,,,,European Union
950790 - Other,"139,829",10.00,10.00,2,,,,European Union
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,European Union
950890 - Other,"5,780,988",10.00,10.00,1,,,,European Union
,2015,"31,053,013",9.07,9.07,55,1,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","6,520,672",10.00,10.00,4,,,,European Union
950420 - Articles and accessories for billiards of all kinds,"133,867",10.00,10.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","878,543",10.00,10.00,1,,,,European Union
950440 - Playing cards,"53,179",10.00,10.00,1,,,,European Union
"950450 -Video game consoles and machines, other than those of subheading 9504.30","167,787",10.00,10.00,1,,,,European Union
950490 - Other,"1,179,289",10.00,10.00,3,1,,,European Union
950510 - Articles for Christmas festivities,"31,002",10.00,10.00,1,,,,European Union
950590 - Other,"352,060",10.00,10.00,2,,,,European Union
950611 -- Skis,284,0.00,0.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),"1,724",0.00,0.00,1,,,,European Union
950619 -- Other,"16,271",0.00,0.00,1,,,,European Union
950621 -- Sailboards,"23,182",0.00,0.00,1,,,,European Union
950629 -- Other,"285,063",0.00,0.00,1,,,,European Union
"950631 -- Clubs, complete","3,547",10.00,10.00,1,,,,European Union
950632 -- Balls,"2,839",10.00,10.00,1,,,,European Union
950639 -- Other,"50,489",10.00,10.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,"149,301",10.00,10.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung","22,279",10.00,10.00,1,,,,European Union
950659 -- Other,"172,432",10.00,10.00,2,,,,European Union
950661 -- Lawn-tennis balls,"2,737",10.00,10.00,1,,,,European Union
950662 -- Inflatable,"29,609",10.00,10.00,4,,,,European Union
950669 -- Other,"852,367",10.00,10.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached","55,664",10.00,10.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","3,546,618",10.00,10.00,2,,,,European Union
950699 -- Other,"5,470,890",10.00,10.00,9,,,,European Union
950710 - Fishing rods,,10.00,10.00,1,,,,European Union
