Importer,Year,Value,Ad val. duties,Number of lines,Yemen
,(US$),Simple average,MFN duties,Pref. duties,Yemen
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Yemen
India,"9,998",,,,,,,Yemen
,2018,,7.90,7.90,20,,,,Yemen
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Yemen
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Yemen
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Yemen
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Yemen
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Yemen
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Yemen
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Yemen
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,Yemen
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,Yemen
880330 - Other parts of aeroplanes or helicopters,,3.00,3.00,1,,,,Yemen
880390 - Other,,10.00,10.00,1,,,,Yemen
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Yemen
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Yemen
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,Yemen
880529 - - Other,,10.00,10.00,1,,,,Yemen
,2017,,7.83,7.83,20,,,,Yemen
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Yemen
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Yemen
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Yemen
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Yemen
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Yemen
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Yemen
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Yemen
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,Yemen
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,Yemen
880330 - Other parts of aeroplanes or helicopters,,2.50,2.50,1,,,,Yemen
880390 - Other,,10.00,10.00,1,,,,Yemen
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Yemen
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Yemen
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,Yemen
880529 - - Other,,10.00,10.00,1,,,,Yemen
,2016,,7.83,0.00,20,,20,,Yemen
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,0.00,3,,3,,Yemen
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,0.00,1,,1,,Yemen
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,0.00,1,,1,,Yemen
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,0.00,1,,1,,Yemen
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,0.00,1,,1,,Yemen
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,0.00,1,,1,,Yemen
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,0.00,1,,1,,Yemen
880310 - Propellers and rotors and parts thereof,,2.50,0.00,1,,1,,Yemen
880320 - Under-carriages and parts thereof,,2.50,0.00,1,,1,,Yemen
880330 - Other parts of aeroplanes or helicopters,,2.50,0.00,1,,1,,Yemen
880390 - Other,,10.00,0.00,1,,1,,Yemen
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,0.00,2,,2,,Yemen
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,0.00,3,,3,,Yemen
880521 -- Air combat simulators and parts thereof,,10.00,0.00,1,,1,,Yemen
880529 -- Other,,10.00,0.00,1,,1,,Yemen
,2015,,7.83,0.00,20,,20,,Yemen
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,0.00,3,,3,,Yemen
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,0.00,1,,1,,Yemen
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,0.00,1,,1,,Yemen
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,0.00,1,,1,,Yemen
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,0.00,1,,1,,Yemen
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,0.00,1,,1,,Yemen
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,0.00,1,,1,,Yemen
880310 - Propellers and rotors and parts thereof,,2.50,0.00,1,,1,,Yemen
880320 - Under-carriages and parts thereof,,2.50,0.00,1,,1,,Yemen
880330 - Other parts of aeroplanes or helicopters,,2.50,0.00,1,,1,,Yemen
880390 - Other,,10.00,0.00,1,,1,,Yemen
