Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
610442 -- Of cotton,"1,005,938",10.00,10.00,1,,,,China
610443 -- Of synthetic fibres,"2,894,252",,,1,1,,,China
610444 -- Of artificial fibres,"1,135,246",,,1,1,,,China
610449 -- Of other textile materials,"388,103",,,2,2,,,China
610451 -- Of wool or fine animal hair,174,,,1,1,,,China
610452 -- Of cotton,"154,357",,,1,1,,,China
610453 -- Of synthetic fibres,"625,062",,,1,1,,,China
610459 -- Of other textile materials,"172,213",,,3,3,,,China
610461 -- Of wool or fine animal hair,"1,738",10.00,10.00,1,,,,China
610462 -- Of cotton,"2,076,196",,,1,1,,,China
610463 -- Of synthetic fibres,"2,239,961",,,1,1,,,China
610469 -- Of other textile materials,"1,525,683",10.00,10.00,3,,,,China
610510 - Of cotton,"3,109,032",,,3,3,,,China
610520 - Of man-made fibres,"864,224",,,2,2,,,China
610590 - Of other textile materials,"154,747",,,2,2,,,China
610610 - Of cotton,"2,554,013",,,1,1,,,China
610620 - Of man-made fibres,"6,804,257",,,2,2,,,China
610690 - Of other textile materials,"735,507",,,3,3,,,China
610711 -- Of cotton,"450,284",,,1,1,,,China
610712 -- Of man-made fibres,"118,259",,,2,2,,,China
610719 -- Of other textile materials,"14,636",10.00,10.00,2,,,,China
610721 -- Of cotton,"60,330",10.00,10.00,1,,,,China
610722 -- Of man-made fibres,"57,952",10.00,10.00,2,,,,China
610729 -- Of other textile materials,"15,650",10.00,10.00,3,,,,China
610791 -- Of cotton,"3,221",10.00,10.00,2,,,,China
610799 -- Of other textile materials,"24,146",10.00,10.00,3,,,,China
610811 -- Of man-made fibres,"289,828",10.00,10.00,2,,,,China
610819 -- Of other textile materials,"829,957",10.00,10.00,3,,,,China
610821 -- Of cotton,"91,720",,,1,1,,,China
610822 -- Of man-made fibres,"2,062,198",,,2,2,,,China
610829 -- Of other textile materials,"58,140",10.00,10.00,2,,,,China
610831 -- Of cotton,"142,629",10.00,10.00,1,,,,China
610832 -- Of man-made fibres,"947,769",10.00,10.00,2,,,,China
610839 -- Of other textile materials,"729,334",10.00,10.00,2,,,,China
610891 -- Of cotton,"6,222",,,1,1,,,China
610892 -- Of man-made fibres,"183,064",,,2,2,,,China
610899 -- Of other textile materials,"36,742",10.00,10.00,3,,,,China
610910 - Of cotton,"6,994,940",,,1,1,,,China
610990 - Of other textile materials,"8,640,996",,,5,5,,,China
611011 -- Of wool,"448,294",,,3,3,,,China
611012 -- Of Kashmir (cashmere) goats,"14,726",,,1,1,,,China
611019 -- Other,"36,601",,,1,1,,,China
611020 - Of cotton,"4,554,358",,,1,1,,,China
611030 - Of man-made fibres,"6,517,233",,,2,2,,,China
611090 - Of other textile materials,"617,495",,,1,1,,,China
611120 - Of cotton,"3,598,281",10.00,10.00,1,,,,China
611130 - Of synthetic fibres,"910,267",10.00,10.00,1,,,,China
611190 - Of other textile materials,"6,946,530",10.00,10.00,3,,,,China
611211 -- Of cotton,"36,806",10.00,10.00,1,,,,China
611212 -- Of synthetic fibres,"170,454",10.00,10.00,1,,,,China
611219 -- Of other textile materials,"584,298",10.00,10.00,4,,,,China
