Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
European Union,"4,202,021,457",,,,,,,Russian Federation
,2018,,5.48,5.48,210,,,,Russian Federation
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,6.50,2,,,,Russian Federation
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,3.25,2,,,,Russian Federation
390130 - Ethylene-vinyl acetate copolymers,,6.50,6.50,1,,,,Russian Federation
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,6.50,1,,,,Russian Federation
390190 - Other,,3.25,3.25,2,,,,Russian Federation
390210 - Polypropylene,,6.50,6.50,1,,,,Russian Federation
390220 - Polyisobutylene,,6.50,6.50,1,,,,Russian Federation
390230 - Propylene copolymers,,6.50,6.50,1,,,,Russian Federation
390290 - Other,,2.17,2.17,3,,,,Russian Federation
390311 - - Expansible,,6.50,6.50,1,,,,Russian Federation
390319 - - Other,,6.50,6.50,1,,,,Russian Federation
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,6.50,1,,,,Russian Federation
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,6.50,1,,,,Russian Federation
390390 - Other,,2.17,2.17,3,,,,Russian Federation
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,6.50,1,,,,Russian Federation
390421 - - Non-plasticised,,6.50,6.50,1,,,,Russian Federation
390422 - - Plasticised,,6.50,6.50,1,,,,Russian Federation
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,6.50,1,,,,Russian Federation
390440 - Other vinyl chloride copolymers,,6.50,6.50,1,,,,Russian Federation
390450 - Vinylidene chloride polymers,,3.25,3.25,2,,,,Russian Federation
390461 - - Polytetrafluoroethylene,,6.50,6.50,1,,,,Russian Federation
390469 - - Other,,4.33,4.33,3,,,,Russian Federation
390490 - Other,,6.50,6.50,1,,,,Russian Federation
390512 - - In aqueous dispersion,,6.50,6.50,1,,,,Russian Federation
390519 - - Other,,6.50,6.50,1,,,,Russian Federation
390521 - - In aqueous dispersion,,6.50,6.50,1,,,,Russian Federation
390529 - - Other,,6.50,6.50,1,,,,Russian Federation
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,6.50,1,,,,Russian Federation
390591 - - Copolymers,,6.50,6.50,1,,,,Russian Federation
390599 - - Other,,3.25,3.25,2,,,,Russian Federation
390610 - Poly(methyl methacrylate),,6.50,6.50,1,,,,Russian Federation
390690 - Other,,0.93,0.93,7,,,,Russian Federation
390710 - Polyacetals,,6.50,6.50,1,,,,Russian Federation
390720 - Other polyethers,,4.88,4.88,4,,,,Russian Federation
390730 - Epoxide resins,,6.50,6.50,1,,,,Russian Federation
390740 - Polycarbonates,,6.50,6.50,1,,,,Russian Federation
390750 - Alkyd resins,,6.50,6.50,1,,,,Russian Federation
390761 - - Having a viscosity number of 78 ml/g or higher,,6.50,6.50,1,,,,Russian Federation
390769 - - Other,,6.50,6.50,1,,,,Russian Federation
390770 - Poly(lactic acid),,0.00,0.00,1,,,,Russian Federation
390791 - - Unsaturated,,6.50,6.50,2,,,,Russian Federation
390799 - - Other,,3.27,3.27,3,,,,Russian Federation
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,6.50,1,,,,Russian Federation
390890 - Other,,6.50,6.50,1,,,,Russian Federation
390910 - Urea resins; thiourea resins,,6.50,6.50,1,,,,Russian Federation
390920 - Melamine resins,,6.50,6.50,1,,,,Russian Federation
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,6.50,6.50,1,,,,Russian Federation
390939 - - Other,,6.50,6.50,1,,,,Russian Federation
390940 - Phenolic resins,,6.50,6.50,1,,,,Russian Federation
390950 - Polyurethanes,,3.25,3.25,2,,,,Russian Federation
391000 Silicones in primary forms.,,6.50,6.50,1,,,,Russian Federation
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,6.50,1,,,,Russian Federation
391190 - Other,,3.30,3.30,5,,,,Russian Federation
391211 - - Non-plasticised,,6.50,6.50,1,,,,Russian Federation
391212 - - Plasticised,,6.50,6.50,1,,,,Russian Federation
391220 - Cellulose nitrates (including collodions),,6.33,6.33,3,,,,Russian Federation
391231 - - Carboxymethylcellulose and its salts,,6.50,6.50,1,,,,Russian Federation
391239 - - Other,,3.25,3.25,2,,,,Russian Federation
391290 - Other,,6.45,6.45,2,,,,Russian Federation
"391310 - Alginic acid, its salts and esters",,5.00,5.00,1,,,,Russian Federation
391390 - Other,,6.50,6.50,1,,,,Russian Federation
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,6.50,6.50,1,,,,Russian Federation
391510 - Of polymers of ethylene,,6.50,6.50,1,,,,Russian Federation
391520 - Of polymers of styrene,,6.50,6.50,1,,,,Russian Federation
391530 - Of polymers of vinyl chloride,,6.50,6.50,1,,,,Russian Federation
391590 - Of other plastics,,6.50,6.50,2,,,,Russian Federation
391610 - Of polymers of ethylene,,6.50,6.50,1,,,,Russian Federation
391620 - Of polymers of vinyl chloride,,6.50,6.50,1,,,,Russian Federation
391690 - Of other plastics,,6.50,6.50,3,,,,Russian Federation
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,5.90,5.90,2,,,,Russian Federation
391721 - - Of polymers of ethylene,,6.50,6.50,2,,,,Russian Federation
391722 - - Of polymers of propylene,,6.50,6.50,2,,,,Russian Federation
391723 - - Of polymers of vinyl chloride,,6.50,6.50,2,,,,Russian Federation
391729 - - Of other plastics,,6.50,6.50,1,,,,Russian Federation
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,6.50,6.50,1,,,,Russian Federation
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,6.50,6.50,1,,,,Russian Federation
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,6.50,6.50,1,,,,Russian Federation
391739 - - Other,,6.50,6.50,1,,,,Russian Federation
391740 - Fittings,,6.50,6.50,1,,,,Russian Federation
391810 - Of polymers of vinyl chloride,,6.50,6.50,2,,,,Russian Federation
391890 - Of other plastics,,6.50,6.50,1,,,,Russian Federation
391910 - In rolls of a width not exceeding 20 cm,,6.35,6.35,4,,,,Russian Federation
391990 - Other,,3.25,3.25,2,,,,Russian Federation
392010 - Of polymers of ethylene,,4.64,4.64,7,,,,Russian Federation
392020 - Of polymers of propylene,,6.50,6.50,3,,,,Russian Federation
392030 - Of polymers of styrene,,6.50,6.50,1,,,,Russian Federation
392043 - - Containing by weight not less than 6 % of plasticisers,,6.50,6.50,2,,,,Russian Federation
392049 - - Other,,6.50,6.50,2,,,,Russian Federation
392051 - - Of poly(methyl methacrylate),,6.50,6.50,1,,,,Russian Federation
392059 - - Other,,3.25,3.25,2,,,,Russian Federation
392061 - - Of polycarbonates,,6.50,6.50,1,,,,Russian Federation
392062 - - Of poly(ethylene terephthalate),,4.33,4.33,3,,,,Russian Federation
392063 - - Of unsaturated polyesters,,6.50,6.50,1,,,,Russian Federation
392069 - - Of other polyesters,,6.50,6.50,1,,,,Russian Federation
392071 - - Of regenerated cellulose,,6.50,6.50,1,,,,Russian Federation
392073 - - Of cellulose acetate,,6.40,6.40,2,,,,Russian Federation
392079 - - Of other cellulose derivatives,,6.10,6.10,2,,,,Russian Federation
392091 - - Of poly(vinyl butyral),,6.10,6.10,1,,,,Russian Federation
392092 - - Of polyamides,,6.50,6.50,1,,,,Russian Federation
392093 - - Of amino-resins,,6.50,6.50,1,,,,Russian Federation
392094 - - Of phenolic resins,,6.50,6.50,1,,,,Russian Federation
392099 - - Of other plastics,,3.25,3.25,6,,,,Russian Federation
392111 - - Of polymers of styrene,,6.50,6.50,1,,,,Russian Federation
392112 - - Of polymers of vinyl chloride,,6.50,6.50,1,,,,Russian Federation
392113 - - Of polyurethanes,,6.50,6.50,2,,,,Russian Federation
392114 - - Of regenerated cellulose,,6.50,6.50,1,,,,Russian Federation
392119 - - Of other plastics,,6.50,6.50,1,,,,Russian Federation
392190 - Other,,6.50,6.50,8,,,,Russian Federation
"392210 - Baths, shower-baths, sinks and wash-basins",,6.50,6.50,1,,,,Russian Federation
392220 - Lavatory seats and covers,,6.50,6.50,1,,,,Russian Federation
392290 - Other,,6.50,6.50,1,,,,Russian Federation
"392310 - Boxes, cases, crates and similar articles",,3.25,3.25,2,,,,Russian Federation
392321 - - Of polymers of ethylene,,6.50,6.50,1,,,,Russian Federation
392329 - - Of other plastics,,6.50,6.50,2,,,,Russian Federation
"392330 - Carboys, bottles, flasks and similar articles",,6.50,6.50,2,,,,Russian Federation
"392340 - Spools, cops, bobbins and similar supports",,5.90,5.90,2,,,,Russian Federation
"392350 - Stoppers, lids, caps and other closures",,6.50,6.50,2,,,,Russian Federation
392390 - Other,,6.50,6.50,1,,,,Russian Federation
392410 - Tableware and kitchenware,,6.50,6.50,1,,,,Russian Federation
392490 - Other,,6.50,6.50,1,,,,Russian Federation
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,6.50,1,,,,Russian Federation
"392520 - Doors, windows and their frames and thresholds for doors",,6.50,6.50,1,,,,Russian Federation
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,6.50,6.50,1,,,,Russian Federation
392590 - Other,,6.50,6.50,3,,,,Russian Federation
392610 - Office or school supplies,,6.50,6.50,1,,,,Russian Federation
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,6.50,6.50,1,,,,Russian Federation
"392630 - Fittings for furniture, coachwork or the like",,6.50,6.50,1,,,,Russian Federation
392640 - Statuettes and other ornamental articles,,6.50,6.50,1,,,,Russian Federation
392690 - Other,,6.50,6.50,3,,,,Russian Federation
,2017,"407,715,034",5.49,5.49,210,,,,Russian Federation
390110 - Polyethylene having a specific gravity of less than 0.94,"38,199,765",6.50,6.50,2,,,,Russian Federation
390120 - Polyethylene having a specific gravity of 0.94 or more,"17,440,927",3.25,3.25,2,,,,Russian Federation
390130 - Ethylene-vinyl acetate copolymers,"195,116",6.50,6.50,1,,,,Russian Federation
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94","1,036",6.50,6.50,1,,,,Russian Federation
390190 - Other,"429,247",3.25,3.25,2,,,,Russian Federation
390210 - Polypropylene,"91,572,531",6.50,6.50,1,,,,Russian Federation
390220 - Polyisobutylene,"5,728,707",6.50,6.50,1,,,,Russian Federation
390230 - Propylene copolymers,"210,658",6.50,6.50,1,,,,Russian Federation
390290 - Other,"59,996",2.17,2.17,3,,,,Russian Federation
390311 - - Expansible,"4,912",6.50,6.50,1,,,,Russian Federation
390319 - - Other,"15,231,322",6.50,6.50,1,,,,Russian Federation
390320 - Styrene-acrylonitrile (SAN) copolymers,7,6.50,6.50,1,,,,Russian Federation
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,"158,442",6.50,6.50,1,,,,Russian Federation
390390 - Other,"3,928,419",2.17,2.17,3,,,,Russian Federation
"390410 - Poly(vinyl chloride), not mixed with any other substances","2,017,447",6.50,6.50,1,,,,Russian Federation
390421 - - Non-plasticised,"550,703",6.50,6.50,1,,,,Russian Federation
390422 - - Plasticised,"222,116",6.50,6.50,1,,,,Russian Federation
390430 - Vinyl chloride-vinyl acetate copolymers,135,6.50,6.50,1,,,,Russian Federation
390440 - Other vinyl chloride copolymers,"5,133",6.50,6.50,1,,,,Russian Federation
390450 - Vinylidene chloride polymers,,3.25,3.25,2,,,,Russian Federation
390461 - - Polytetrafluoroethylene,"18,196,001",6.50,6.50,1,,,,Russian Federation
390469 - - Other,"85,939",4.33,4.33,3,,,,Russian Federation
390490 - Other,204,6.50,6.50,1,,,,Russian Federation
390512 - - In aqueous dispersion,1,6.50,6.50,1,,,,Russian Federation
390519 - - Other,187,6.50,6.50,1,,,,Russian Federation
390521 - - In aqueous dispersion,,6.50,6.50,1,,,,Russian Federation
390529 - - Other,"801,915",6.50,6.50,1,,,,Russian Federation
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups","5,036",6.50,6.50,1,,,,Russian Federation
390591 - - Copolymers,"7,507",6.50,6.50,1,,,,Russian Federation
390599 - - Other,"209,784",3.25,3.25,2,,,,Russian Federation
390610 - Poly(methyl methacrylate),"19,912",6.50,6.50,1,,,,Russian Federation
390690 - Other,"232,234",0.93,0.93,7,,,,Russian Federation
390710 - Polyacetals,471,6.50,6.50,1,,,,Russian Federation
390720 - Other polyethers,"13,623,001",4.88,4.88,4,,,,Russian Federation
390730 - Epoxide resins,"315,520",6.50,6.50,1,,,,Russian Federation
390740 - Polycarbonates,"381,732",6.50,6.50,1,,,,Russian Federation
390750 - Alkyd resins,1,6.50,6.50,1,,,,Russian Federation
390761 - - Having a viscosity number of 78 ml/g or higher,"14,418,614",6.50,6.50,1,,,,Russian Federation
390769 - - Other,"823,777",6.50,6.50,1,,,,Russian Federation
390770 - Poly(lactic acid),687,0.00,0.00,1,,,,Russian Federation
390791 - - Unsaturated,"225,181",6.50,6.50,2,,,,Russian Federation
390799 - - Other,"658,800",3.80,3.80,3,,,,Russian Federation
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12","34,489,619",6.50,6.50,1,,,,Russian Federation
390890 - Other,"42,451",6.50,6.50,1,,,,Russian Federation
390910 - Urea resins; thiourea resins,"295,286",6.50,6.50,1,,,,Russian Federation
390920 - Melamine resins,"16,172",6.50,6.50,1,,,,Russian Federation
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)","109,174",6.50,6.50,1,,,,Russian Federation
390939 - - Other,"110,114",6.50,6.50,1,,,,Russian Federation
390940 - Phenolic resins,"757,166",6.50,6.50,1,,,,Russian Federation
390950 - Polyurethanes,"144,962",3.25,3.25,2,,,,Russian Federation
391000 Silicones in primary forms.,"1,459,327",6.50,6.50,1,,,,Russian Federation
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes","651,573",6.50,6.50,1,,,,Russian Federation
391190 - Other,"74,562",3.30,3.30,5,,,,Russian Federation
391211 - - Non-plasticised,199,6.50,6.50,1,,,,Russian Federation
391212 - - Plasticised,,6.50,6.50,1,,,,Russian Federation
391220 - Cellulose nitrates (including collodions),"1,097,602",6.33,6.33,3,,,,Russian Federation
391231 - - Carboxymethylcellulose and its salts,"33,837",6.50,6.50,1,,,,Russian Federation
391239 - - Other,"4,269",3.25,3.25,2,,,,Russian Federation
391290 - Other,"3,577",6.45,6.45,2,,,,Russian Federation
"391310 - Alginic acid, its salts and esters",183,5.00,5.00,1,,,,Russian Federation
391390 - Other,"9,538",6.50,6.50,1,,,,Russian Federation
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.","66,750",6.50,6.50,1,,,,Russian Federation
391510 - Of polymers of ethylene,"378,759",6.50,6.50,1,,,,Russian Federation
391520 - Of polymers of styrene,,6.50,6.50,1,,,,Russian Federation
391530 - Of polymers of vinyl chloride,"12,957",6.50,6.50,1,,,,Russian Federation
391590 - Of other plastics,"592,875",6.50,6.50,2,,,,Russian Federation
391610 - Of polymers of ethylene,"4,754",6.50,6.50,1,,,,Russian Federation
391620 - Of polymers of vinyl chloride,"986,974",6.50,6.50,1,,,,Russian Federation
391690 - Of other plastics,"809,943",6.50,6.50,3,,,,Russian Federation
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,"2,745,103",5.90,5.90,2,,,,Russian Federation
391721 - - Of polymers of ethylene,"390,994",6.50,6.50,2,,,,Russian Federation
391722 - - Of polymers of propylene,"801,946",6.50,6.50,2,,,,Russian Federation
391723 - - Of polymers of vinyl chloride,"154,978",6.50,6.50,2,,,,Russian Federation
391729 - - Of other plastics,"120,407",6.50,6.50,1,,,,Russian Federation
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa","10,664",6.50,6.50,1,,,,Russian Federation
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings","8,899,502",6.50,6.50,1,,,,Russian Federation
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings","78,705",6.50,6.50,1,,,,Russian Federation
391739 - - Other,"396,901",6.50,6.50,1,,,,Russian Federation
391740 - Fittings,"718,680",6.50,6.50,1,,,,Russian Federation
391810 - Of polymers of vinyl chloride,"559,936",6.50,6.50,2,,,,Russian Federation
391890 - Of other plastics,"46,831",6.50,6.50,1,,,,Russian Federation
391910 - In rolls of a width not exceeding 20 cm,"1,202,157",6.35,6.35,4,,,,Russian Federation
391990 - Other,"370,303",3.25,3.25,2,,,,Russian Federation
392010 - Of polymers of ethylene,"2,015,975",4.64,4.64,7,,,,Russian Federation
392020 - Of polymers of propylene,"51,436,809",6.50,6.50,3,,,,Russian Federation
392030 - Of polymers of styrene,"575,581",6.50,6.50,1,,,,Russian Federation
392043 - - Containing by weight not less than 6 % of plasticisers,"308,831",6.50,6.50,2,,,,Russian Federation
392049 - - Other,"456,635",6.50,6.50,2,,,,Russian Federation
392051 - - Of poly(methyl methacrylate),"1,218,721",6.50,6.50,1,,,,Russian Federation
392059 - - Other,"2,016",3.25,3.25,2,,,,Russian Federation
392061 - - Of polycarbonates,"1,091,758",6.50,6.50,1,,,,Russian Federation
392062 - - Of poly(ethylene terephthalate),"2,229,484",4.33,4.33,3,,,,Russian Federation
392063 - - Of unsaturated polyesters,,6.50,6.50,1,,,,Russian Federation
392069 - - Of other polyesters,53,6.50,6.50,1,,,,Russian Federation
392071 - - Of regenerated cellulose,,6.50,6.50,1,,,,Russian Federation
392073 - - Of cellulose acetate,156,6.40,6.40,2,,,,Russian Federation
392079 - - Of other cellulose derivatives,"1,668",6.10,6.10,2,,,,Russian Federation
392091 - - Of poly(vinyl butyral),"2,498,614",6.10,6.10,1,,,,Russian Federation
392092 - - Of polyamides,"8,682",6.50,6.50,1,,,,Russian Federation
392093 - - Of amino-resins,,6.50,6.50,1,,,,Russian Federation
392094 - - Of phenolic resins,904,6.50,6.50,1,,,,Russian Federation
392099 - - Of other plastics,"319,875",3.25,3.25,6,,,,Russian Federation
392111 - - Of polymers of styrene,"6,132,549",6.50,6.50,1,,,,Russian Federation
392112 - - Of polymers of vinyl chloride,"99,889",6.50,6.50,1,,,,Russian Federation
392113 - - Of polyurethanes,"5,922,511",6.50,6.50,2,,,,Russian Federation
392114 - - Of regenerated cellulose,,6.50,6.50,1,,,,Russian Federation
392119 - - Of other plastics,"3,740,078",6.50,6.50,1,,,,Russian Federation
392190 - Other,"9,882,498",6.50,6.50,8,,,,Russian Federation
"392210 - Baths, shower-baths, sinks and wash-basins","12,123",6.50,6.50,1,,,,Russian Federation
392220 - Lavatory seats and covers,"913,797",6.50,6.50,1,,,,Russian Federation
392290 - Other,"588,007",6.50,6.50,1,,,,Russian Federation
"392310 - Boxes, cases, crates and similar articles","4,189,480",3.25,3.25,2,,,,Russian Federation
392321 - - Of polymers of ethylene,"257,523",6.50,6.50,1,,,,Russian Federation
392329 - - Of other plastics,"440,001",6.50,6.50,2,,,,Russian Federation
"392330 - Carboys, bottles, flasks and similar articles","1,013,401",6.50,6.50,2,,,,Russian Federation
"392340 - Spools, cops, bobbins and similar supports","195,998",5.90,5.90,2,,,,Russian Federation
"392350 - Stoppers, lids, caps and other closures","4,256,662",6.50,6.50,2,,,,Russian Federation
392390 - Other,"3,041,493",6.50,6.50,1,,,,Russian Federation
392410 - Tableware and kitchenware,"598,753",6.50,6.50,1,,,,Russian Federation
392490 - Other,"290,411",6.50,6.50,1,,,,Russian Federation
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l","77,183",6.50,6.50,1,,,,Russian Federation
"392520 - Doors, windows and their frames and thresholds for doors","119,406",6.50,6.50,1,,,,Russian Federation
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof","60,241",6.50,6.50,1,,,,Russian Federation
392590 - Other,"8,204,527",6.50,6.50,3,,,,Russian Federation
392610 - Office or school supplies,"507,395",6.50,6.50,1,,,,Russian Federation
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)","66,509",6.50,6.50,1,,,,Russian Federation
"392630 - Fittings for furniture, coachwork or the like","986,809",6.50,6.50,1,,,,Russian Federation
392640 - Statuettes and other ornamental articles,"296,767",6.50,6.50,1,,,,Russian Federation
392690 - Other,"9,042,407",6.50,6.50,3,,,,Russian Federation
,2016,"347,023,912",5.53,5.53,205,,,,Russian Federation
390110 - Polyethylene having a specific gravity of less than 0.94,"41,553,214",6.50,6.50,2,,,,Russian Federation
390120 - Polyethylene having a specific gravity of 0.94 or more,"19,611,128",3.25,3.25,2,,,,Russian Federation
390130 - Ethylene-vinyl acetate copolymers,"31,491",6.50,6.50,1,,,,Russian Federation
390190 - Other,"300,302",3.25,3.25,2,,,,Russian Federation
390210 - Polypropylene,"64,071,455",6.50,6.50,1,,,,Russian Federation
390220 - Polyisobutylene,"6,195,102",6.50,6.50,1,,,,Russian Federation
390230 - Propylene copolymers,"303,165",6.50,6.50,1,,,,Russian Federation
390290 - Other,"39,817",2.17,2.17,3,,,,Russian Federation
390311 -- Expansible,"82,459",6.50,6.50,1,,,,Russian Federation
390319 -- Other,"26,663,787",6.50,6.50,1,,,,Russian Federation
390320 - Styrene-acrylonitrile (SAN) copolymers,351,6.50,6.50,1,,,,Russian Federation
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,"80,803",6.50,6.50,1,,,,Russian Federation
390390 - Other,"4,393,055",2.17,2.17,3,,,,Russian Federation
"390410 - Poly(vinyl chloride), not mixed with any other substances","1,595,469",6.50,6.50,1,,,,Russian Federation
390421 -- Non-plasticised,"385,399",6.50,6.50,1,,,,Russian Federation
390422 -- Plasticised,"113,541",6.50,6.50,1,,,,Russian Federation
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,6.50,1,,,,Russian Federation
390440 - Other vinyl chloride copolymers,812,6.50,6.50,1,,,,Russian Federation
390450 - Vinylidene chloride polymers,,3.25,3.25,2,,,,Russian Federation
390461 -- Polytetrafluoroethylene,"12,456,592",6.50,6.50,1,,,,Russian Federation
390469 -- Other,"128,191",4.33,4.33,3,,,,Russian Federation
390490 - Other,233,6.50,6.50,1,,,,Russian Federation
390512 -- In aqueous dispersion,"8,761",6.50,6.50,1,,,,Russian Federation
390519 -- Other,,6.50,6.50,1,,,,Russian Federation
390521 -- In aqueous dispersion,"29,373",6.50,6.50,1,,,,Russian Federation
390529 -- Other,"858,707",6.50,6.50,1,,,,Russian Federation
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,6.50,1,,,,Russian Federation
390591 -- Copolymers,"1,658",6.50,6.50,1,,,,Russian Federation
390599 -- Other,"79,730",3.25,3.25,2,,,,Russian Federation
390610 - Poly(methyl methacrylate),"81,319",6.50,6.50,1,,,,Russian Federation
390690 - Other,"286,466",0.93,0.93,7,,,,Russian Federation
390710 - Polyacetals,,6.50,6.50,1,,,,Russian Federation
390720 - Other polyethers,"13,246,938",4.88,4.88,4,,,,Russian Federation
390730 - Epoxide resins,"240,077",6.50,6.50,1,,,,Russian Federation
390740 - Polycarbonates,"529,904",6.50,6.50,1,,,,Russian Federation
390750 - Alkyd resins,"25,472",6.50,6.50,1,,,,Russian Federation
390760 - Poly(ethylene terephthalate),"1,594,559",6.50,6.50,2,,,,Russian Federation
