Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
European Union,"123,875,437,545",,,,,,,United States of America
,2018,,5.48,5.48,210,,,,United States of America
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,6.50,2,,,,United States of America
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,3.25,2,,,,United States of America
390130 - Ethylene-vinyl acetate copolymers,,6.50,6.50,1,,,,United States of America
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,6.50,1,,,,United States of America
390190 - Other,,3.25,3.25,2,,,,United States of America
390210 - Polypropylene,,6.50,6.50,1,,,,United States of America
390220 - Polyisobutylene,,6.50,6.50,1,,,,United States of America
390230 - Propylene copolymers,,6.50,6.50,1,,,,United States of America
390290 - Other,,2.17,2.17,3,,,,United States of America
390311 - - Expansible,,6.50,6.50,1,,,,United States of America
390319 - - Other,,6.50,6.50,1,,,,United States of America
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,6.50,1,,,,United States of America
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,6.50,1,,,,United States of America
390390 - Other,,2.17,2.17,3,,,,United States of America
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,6.50,1,,,,United States of America
390421 - - Non-plasticised,,6.50,6.50,1,,,,United States of America
390422 - - Plasticised,,6.50,6.50,1,,,,United States of America
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,6.50,1,,,,United States of America
390440 - Other vinyl chloride copolymers,,6.50,6.50,1,,,,United States of America
390450 - Vinylidene chloride polymers,,3.25,3.25,2,,,,United States of America
390461 - - Polytetrafluoroethylene,,6.50,6.50,1,,,,United States of America
390469 - - Other,,4.33,4.33,3,,,,United States of America
390490 - Other,,6.50,6.50,1,,,,United States of America
390512 - - In aqueous dispersion,,6.50,6.50,1,,,,United States of America
390519 - - Other,,6.50,6.50,1,,,,United States of America
390521 - - In aqueous dispersion,,6.50,6.50,1,,,,United States of America
390529 - - Other,,6.50,6.50,1,,,,United States of America
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,6.50,1,,,,United States of America
390591 - - Copolymers,,6.50,6.50,1,,,,United States of America
390599 - - Other,,3.25,3.25,2,,,,United States of America
390610 - Poly(methyl methacrylate),,6.50,6.50,1,,,,United States of America
390690 - Other,,0.93,0.93,7,,,,United States of America
390710 - Polyacetals,,6.50,6.50,1,,,,United States of America
390720 - Other polyethers,,4.88,4.88,4,,,,United States of America
390730 - Epoxide resins,,6.50,6.50,1,,,,United States of America
390740 - Polycarbonates,,6.50,6.50,1,,,,United States of America
390750 - Alkyd resins,,6.50,6.50,1,,,,United States of America
390761 - - Having a viscosity number of 78 ml/g or higher,,6.50,6.50,1,,,,United States of America
390769 - - Other,,6.50,6.50,1,,,,United States of America
390770 - Poly(lactic acid),,0.00,0.00,1,,,,United States of America
