Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
India,"438,757,309",,,,,,,European Union
,2018,,47.44,47.44,41,,,,European Union
170112 - - Beet sugar,,100.00,100.00,1,,,,European Union
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,100.00,100.00,3,,,,European Union
170114 - - Other cane sugar,,100.00,100.00,3,,,,European Union
170191 - - Containing added flavouring or colouring matter,,100.00,100.00,1,,,,European Union
170199 - - Other,,100.00,100.00,2,,,,European Union
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,30.00,30.00,2,,,,European Union
170219 - - Other,,30.00,30.00,2,,,,European Union
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,European Union
170250 - Chemically pure fructose,,30.00,30.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,European Union
170310 - Cane molasses,,30.00,30.00,1,,,,European Union
170390 - Other,,30.00,30.00,2,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated",,45.00,45.00,1,,,,European Union
170490 - Other,,30.00,30.00,4,,,,European Union
,2017,,35.37,35.37,41,,,,European Union
170112 - - Beet sugar,,60.00,60.00,1,,,,European Union
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,European Union
170114 - - Other cane sugar,,60.00,60.00,3,,,,European Union
170191 - - Containing added flavouring or colouring matter,,60.00,60.00,1,,,,European Union
170199 - - Other,,60.00,60.00,2,,,,European Union
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,European Union
170219 - - Other,,25.00,25.00,2,,,,European Union
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,European Union
170250 - Chemically pure fructose,,30.00,30.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,European Union
170310 - Cane molasses,,10.00,10.00,1,,,,European Union
170390 - Other,,10.00,10.00,2,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,European Union
170490 - Other,,30.00,30.00,4,,,,European Union
,2016,"40,145,523",35.37,35.37,41,,,,European Union
170112 -- Beet sugar,"110,722",60.00,60.00,1,,,,European Union
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,European Union
170114 -- Other cane sugar,,60.00,60.00,3,,,,European Union
170191 -- Containing added flavouring or colouring matter,207,60.00,60.00,1,,,,European Union
170199 -- Other,"1,584,621",60.00,60.00,2,,,,European Union
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","27,386,601",25.00,25.00,2,,,,European Union
170219 -- Other,"3,933,625",25.00,25.00,2,,,,European Union
170220 - Maple sugar and maple syrup,"16,443",30.00,30.00,2,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","382,600",30.00,30.00,4,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","219,195",30.00,30.00,4,,,,European Union
170250 - Chemically pure fructose,"1,376,601",30.00,30.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","5,018",30.00,30.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","1,982,054",30.00,30.00,6,,,,European Union
170310 - Cane molasses,,10.00,10.00,1,,,,European Union
170390 - Other,,10.00,10.00,2,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","15,330",30.00,30.00,1,,,,European Union
170490 - Other,"3,132,506",30.00,30.00,4,,,,European Union
,2015,"39,349,805",35.37,35.37,41,,,,European Union
170112 -- Beet sugar,"137,664",60.00,60.00,1,,,,European Union
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,European Union
170114 -- Other cane sugar,"15,061",60.00,60.00,3,,,,European Union
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,European Union
170199 -- Other,"1,542,171",60.00,60.00,2,,,,European Union
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","26,604,036",25.00,25.00,2,,,,European Union
170219 -- Other,"3,559,210",25.00,25.00,2,,,,European Union
170220 - Maple sugar and maple syrup,"4,961",30.00,30.00,2,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","536,488",30.00,30.00,4,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","173,646",30.00,30.00,4,,,,European Union
170250 - Chemically pure fructose,"1,747,192",30.00,30.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","37,610",30.00,30.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","2,686,496",30.00,30.00,6,,,,European Union
170310 - Cane molasses,,10.00,10.00,1,,,,European Union
170390 - Other,"1,612",10.00,10.00,2,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","19,356",30.00,30.00,1,,,,European Union
170490 - Other,"2,284,302",30.00,30.00,4,,,,European Union
,2014,"36,224,712",35.37,35.37,41,,,,European Union
170112 -- Beet sugar,"193,649",60.00,60.00,1,,,,European Union
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,European Union
170114 -- Other cane sugar,,60.00,60.00,3,,,,European Union
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,European Union
170199 -- Other,"1,001,569",60.00,60.00,2,,,,European Union
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","28,500,011",25.00,25.00,2,,,,European Union
170219 -- Other,"1,348,828",25.00,25.00,2,,,,European Union
170220 - Maple sugar and maple syrup,"12,329",30.00,30.00,2,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","386,902",30.00,30.00,4,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","227,658",30.00,30.00,4,,,,European Union
170250 - Chemically pure fructose,"190,864",30.00,30.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","55,682",30.00,30.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","2,693,660",30.00,30.00,6,,,,European Union
170310 - Cane molasses,,10.00,10.00,1,,,,European Union
170390 - Other,"1,528",10.00,10.00,2,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","19,581",30.00,30.00,1,,,,European Union
170490 - Other,"1,592,451",30.00,30.00,4,,,,European Union
,2013,"37,473,434",35.37,35.37,41,,,,European Union
170112 -- Beet sugar,"171,609",60.00,60.00,1,,,,European Union
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,European Union
170114 -- Other cane sugar,"2,205",60.00,60.00,3,,,,European Union
170191 -- Containing added flavouring or colouring matter,"21,145",60.00,60.00,1,,,,European Union
170199 -- Other,"1,114,932",60.00,60.00,2,,,,European Union
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","28,089,940",25.00,25.00,2,,,,European Union
170219 -- Other,"4,160,736",25.00,25.00,2,,,,European Union
170220 - Maple sugar and maple syrup,"14,247",30.00,30.00,2,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,458,532",30.00,30.00,4,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","197,110",30.00,30.00,4,,,,European Union
170250 - Chemically pure fructose,"6,465",30.00,30.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","26,805",30.00,30.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","365,349",30.00,30.00,6,,,,European Union
170310 - Cane molasses,,10.00,10.00,1,,,,European Union
170390 - Other,,10.00,10.00,2,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","12,760",30.00,30.00,1,,,,European Union
170490 - Other,"1,831,599",30.00,30.00,4,,,,European Union
,2012,"33,544,125",35.37,35.37,41,,,,European Union
170112 -- Beet sugar,"119,634",60.00,60.00,1,,,,European Union
