Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Costa Rica
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Costa Rica
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Costa Rica
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Costa Rica
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,Costa Rica
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,,,Costa Rica
880330 - Other parts of aeroplanes or helicopters,"111,435",2.70,2.70,1,,,,Costa Rica
880390 - Other,"3,577",1.95,1.95,4,,,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Costa Rica
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Costa Rica
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Costa Rica
880529 -- Other,,1.70,1.70,1,,,,Costa Rica
,2006,"4,056",3.10,3.10,22,,,,Costa Rica
880110 - Gliders and hang gliders,,3.70,3.70,1,,,,Costa Rica
880190 - Other,,3.20,3.20,2,,,,Costa Rica
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,Costa Rica
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Costa Rica
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Costa Rica
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Costa Rica
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Costa Rica
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,Costa Rica
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,,,Costa Rica
880330 - Other parts of airplanes or helicopters,"4,056",2.70,2.70,1,,,,Costa Rica
880390 - Other,,1.95,1.95,4,,,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Costa Rica
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Costa Rica
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Costa Rica
880529 -- Other,,1.70,1.70,1,,,,Costa Rica
,2005,"16,161",2.01,2.01,34,,,,Costa Rica
880110 - Gliders and hang gliders,,1.85,1.85,2,,,,Costa Rica
880190 - Other,,2.13,2.13,3,,,,Costa Rica
"880211 -- Of an unladen weight not exceeding 2,000 kg",,3.75,3.75,2,,,,Costa Rica
"880212 -- Of an unladen weight exceeding 2,000 kg",,1.35,1.35,2,,,,Costa Rica
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.85,3.85,2,,,,Costa Rica
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,1.35,1.35,2,,,,Costa Rica
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,1.35,1.35,2,,,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Costa Rica
880310 - Propellers and rotors and parts thereof,,1.35,1.35,2,,,,Costa Rica
880320 - Under-carriages and parts thereof,,1.35,1.35,2,,,,Costa Rica
880330 - Other parts of airplanes or helicopters,"16,161",1.35,1.35,2,,,,Costa Rica
880390 - Other,,1.56,1.56,5,,,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Costa Rica
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Costa Rica
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Costa Rica
880529 -- Other,,0.85,0.85,2,,,,Costa Rica
,2004,"3,359",2.06,2.06,34,,,,Costa Rica
880110 - Gliders and hang gliders,,1.85,1.85,2,,,,Costa Rica
880190 - Other,,2.13,2.13,3,,,,Costa Rica
"880211 -- Of an unladen weight not exceeding 2,000 kg",,3.75,3.75,2,,,,Costa Rica
"880212 -- Of an unladen weight exceeding 2,000 kg",,1.35,1.35,2,,,,Costa Rica
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.85,3.85,2,,,,Costa Rica
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,1.35,1.35,2,,,,Costa Rica
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,1.35,1.35,2,,,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Costa Rica
880310 - Propellers and rotors and parts thereof,,1.35,1.35,2,,,,Costa Rica
880320 - Under-carriages and parts thereof,,1.35,1.35,2,,,,Costa Rica
880330 - Other parts of airplanes or helicopters,"3,359",1.35,1.35,2,,,,Costa Rica
880390 - Other,,1.96,1.96,5,,,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Costa Rica
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Costa Rica
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Costa Rica
880529 -- Other,,0.85,0.85,2,,,,Costa Rica
,2003,"1,351,139",2.01,2.01,34,,,,Costa Rica
880110 - Gliders and hang gliders,,1.85,1.85,2,,,,Costa Rica
880190 - Other,,2.13,2.13,3,,,,Costa Rica
"880211 -- Of an unladen weight not exceeding 2,000 kg",,3.75,3.75,2,,,,Costa Rica
"880212 -- Of an unladen weight exceeding 2,000 kg",,1.35,1.35,2,,,,Costa Rica
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.85,3.85,2,,,,Costa Rica
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,1.35,1.35,2,,,,Costa Rica
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg","1,350,664",1.35,1.35,2,,,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Costa Rica
880310 - Propellers and rotors and parts thereof,,1.35,1.35,2,,,,Costa Rica
880320 - Under-carriages and parts thereof,,1.35,1.35,2,,,,Costa Rica
