Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
European Union,"20,507,454",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,6.84,6.84,44,39,,,"Saudi Arabia, Kingdom of"
170112 - - Beet sugar,,,,2,2,,,"Saudi Arabia, Kingdom of"
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,"Saudi Arabia, Kingdom of"
170114 - - Other cane sugar,,,,2,2,,,"Saudi Arabia, Kingdom of"
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,"Saudi Arabia, Kingdom of"
170199 - - Other,,,,2,2,,,"Saudi Arabia, Kingdom of"
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,"Saudi Arabia, Kingdom of"
170219 - - Other,,,,1,1,,,"Saudi Arabia, Kingdom of"
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,"Saudi Arabia, Kingdom of"
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,"Saudi Arabia, Kingdom of"
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,"Saudi Arabia, Kingdom of"
170250 - Chemically pure fructose,,,,1,1,,,"Saudi Arabia, Kingdom of"
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,"Saudi Arabia, Kingdom of"
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,12.80,8,7,,,"Saudi Arabia, Kingdom of"
170310 - Cane molasses,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
170390 - Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,,,"Saudi Arabia, Kingdom of"
170490 - Other,,13.40,13.40,10,9,,,"Saudi Arabia, Kingdom of"
,2017,"2,288,943",6.84,6.84,44,39,,,"Saudi Arabia, Kingdom of"
170112 - - Beet sugar,,,,2,2,,,"Saudi Arabia, Kingdom of"
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,9,,,2,2,,,"Saudi Arabia, Kingdom of"
170114 - - Other cane sugar,1,,,2,2,,,"Saudi Arabia, Kingdom of"
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,"Saudi Arabia, Kingdom of"
170199 - - Other,"6,519",,,2,2,,,"Saudi Arabia, Kingdom of"
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,"Saudi Arabia, Kingdom of"
170219 - - Other,341,,,1,1,,,"Saudi Arabia, Kingdom of"
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,"Saudi Arabia, Kingdom of"
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",318,,,3,3,,,"Saudi Arabia, Kingdom of"
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,"Saudi Arabia, Kingdom of"
170250 - Chemically pure fructose,2,,,1,1,,,"Saudi Arabia, Kingdom of"
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,"Saudi Arabia, Kingdom of"
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",363,12.80,12.80,8,7,,,"Saudi Arabia, Kingdom of"
170310 - Cane molasses,"2,243,170",0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
170390 - Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"170410 - Chewing gum, whether or not sugar-coated","27,465",,,2,2,,,"Saudi Arabia, Kingdom of"
170490 - Other,"10,755",13.40,13.40,10,9,,,"Saudi Arabia, Kingdom of"
,2016,"1,363,558",6.84,6.84,44,39,,,"Saudi Arabia, Kingdom of"
170112 -- Beet sugar,,,,2,2,,,"Saudi Arabia, Kingdom of"
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,"Saudi Arabia, Kingdom of"
170114 -- Other cane sugar,,,,2,2,,,"Saudi Arabia, Kingdom of"
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,"Saudi Arabia, Kingdom of"
170199 -- Other,14,,,2,2,,,"Saudi Arabia, Kingdom of"
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,"Saudi Arabia, Kingdom of"
170219 -- Other,12,,,1,1,,,"Saudi Arabia, Kingdom of"
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,"Saudi Arabia, Kingdom of"
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",165,,,3,3,,,"Saudi Arabia, Kingdom of"
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,"Saudi Arabia, Kingdom of"
170250 - Chemically pure fructose,,,,1,1,,,"Saudi Arabia, Kingdom of"
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",294,,,3,3,,,"Saudi Arabia, Kingdom of"
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",365,12.80,12.80,8,7,,,"Saudi Arabia, Kingdom of"
