Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
European Union,"278,186,489",,,,,,,Ukraine
,2018,,2.75,0.00,23,,20,,Ukraine
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Ukraine
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Ukraine
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Ukraine
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Ukraine
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Ukraine
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Ukraine
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,0.00,3,,3,,Ukraine
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Ukraine
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Ukraine
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Ukraine
880390 - Other,,1.56,0.00,5,,4,,Ukraine
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Ukraine
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Ukraine
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Ukraine
880529 - - Other,,0.00,0.00,1,,,,Ukraine
,2017,"8,173,807",2.80,0.00,23,,20,,Ukraine
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","241,739",3.20,0.00,2,,2,,Ukraine
"880211 - - Of an unladen weight not exceeding 2,000 kg","320,087",7.50,0.00,1,,1,,Ukraine
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Ukraine
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","2,863,634",7.70,0.00,1,,1,,Ukraine
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",3,2.70,0.00,1,,1,,Ukraine
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",268,2.70,0.00,1,,1,,Ukraine
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,0.00,3,,3,,Ukraine
880310 - Propellers and rotors and parts thereof,"124,330",2.70,0.00,1,,1,,Ukraine
880320 - Under-carriages and parts thereof,"18,696",2.70,0.00,1,,1,,Ukraine
880330 - Other parts of aeroplanes or helicopters,"2,088,228",2.70,0.00,1,,1,,Ukraine
880390 - Other,"2,411,889",1.56,0.00,5,,4,,Ukraine
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"100,572",2.70,0.00,1,,1,,Ukraine
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,969,2.20,0.00,2,,2,,Ukraine
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Ukraine
880529 - - Other,"3,392",0.00,0.00,1,,,,Ukraine
,2016,"5,734,847",3.07,0.00,21,,21,,Ukraine
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","251,377",3.20,0.00,2,,2,,Ukraine
"880211 -- Of an unladen weight not exceeding 2,000 kg","373,875",7.50,0.00,1,,1,,Ukraine
"880212 -- Of an unladen weight exceeding 2,000 kg","8,590",2.70,0.00,1,,1,,Ukraine
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","1,100,284",7.70,0.00,1,,1,,Ukraine
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Ukraine
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Ukraine
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Ukraine
880310 - Propellers and rotors and parts thereof,"81,426",2.70,0.00,1,,1,,Ukraine
880320 - Under-carriages and parts thereof,"145,483",2.70,0.00,1,,1,,Ukraine
880330 - Other parts of aeroplanes or helicopters,"3,251,938",2.70,0.00,1,,1,,Ukraine
880390 - Other,"440,754",1.95,0.00,4,,4,,Ukraine
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"81,120",2.70,0.00,1,,1,,Ukraine
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Ukraine
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Ukraine
880529 -- Other,,1.70,0.00,1,,1,,Ukraine
,2015,"17,739,847",3.07,0.00,21,,21,,Ukraine
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","304,620",3.20,0.00,2,,2,,Ukraine
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Ukraine
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Ukraine
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","1,072,104",7.70,0.00,1,,1,,Ukraine
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","10,673,695",2.70,0.00,1,,1,,Ukraine
