Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
Yemen,0,,,,,,,"Saudi Arabia, Kingdom of"
,2016,,10.00,10.00,106,,,,"Saudi Arabia, Kingdom of"
610120 - Of cotton,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610130 - Of man-made fibres,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610190 - Of other textile materials,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610220 - Of cotton,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610230 - Of man-made fibres,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610290 - Of other textile materials,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610310 - Suits,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610322 -- Of cotton,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610329 -- Of other textile materials,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610332 -- Of cotton,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610339 -- Of other textile materials,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610342 -- Of cotton,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610349 -- Of other textile materials,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
610419 -- Of other textile materials,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
