Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
Brazil,"1,591,073,057",,,,,,,European Union
,2018,,9.85,9.85,82,,,,European Union
080111 - - Desiccated,,10.00,10.00,1,,,,European Union
080112 - - In the inner shell (endocarp),,10.00,10.00,1,,,,European Union
080119 - - Other,,10.00,10.00,1,,,,European Union
080121 - - In shell,,10.00,10.00,1,,,,European Union
080122 - - Shelled,,10.00,10.00,1,,,,European Union
080131 - - In shell,,10.00,10.00,1,,,,European Union
080132 - - Shelled,,10.00,10.00,1,,,,European Union
080211 - - In shell,,10.00,10.00,1,,,,European Union
080212 - - Shelled,,10.00,10.00,1,,,,European Union
080221 - - In shell,,6.00,6.00,1,,,,European Union
080222 - - Shelled,,2.00,2.00,1,,,,European Union
080231 - - In shell,,10.00,10.00,1,,,,European Union
080232 - - Shelled,,10.00,10.00,1,,,,European Union
080241 - - In shell,,10.00,10.00,1,,,,European Union
080242 - - Shelled,,10.00,10.00,1,,,,European Union
080251 - - In shell,,10.00,10.00,1,,,,European Union
080252 - - Shelled,,10.00,10.00,1,,,,European Union
080261 - - In shell,,10.00,10.00,1,,,,European Union
080262 - - Shelled,,10.00,10.00,1,,,,European Union
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,European Union
080280 - Areca nuts,,10.00,10.00,1,,,,European Union
080290 - Other,,10.00,10.00,1,,,,European Union
080310 - Plantains,,10.00,10.00,1,,,,European Union
080390 - Other,,10.00,10.00,1,,,,European Union
080410 - Dates,,10.00,10.00,2,,,,European Union
080420 - Figs,,10.00,10.00,2,,,,European Union
080430 - Pineapples,,10.00,10.00,1,,,,European Union
080440 - Avocados,,10.00,10.00,1,,,,European Union
"080450 - Guavas, mangoes and mangosteens",,10.00,10.00,3,,,,European Union
080510 - Oranges,,10.00,10.00,1,,,,European Union
080521 - - Mandarins (including tangerines and satsumas),,10.00,10.00,1,,,,European Union
080522 - - Clementines,,10.00,10.00,1,,,,European Union
080529 - - Other,,10.00,10.00,1,,,,European Union
"080540 - Grapefruit, including pomelos",,10.00,10.00,1,,,,European Union
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,10.00,10.00,1,,,,European Union
080590 - Other,,10.00,10.00,1,,,,European Union
080610 - Fresh,,10.00,10.00,1,,,,European Union
080620 - Dried,,10.00,10.00,1,,,,European Union
080711 - - Watermelons,,10.00,10.00,1,,,,European Union
080719 - - Other,,10.00,10.00,1,,,,European Union
080720 - Papaws (papayas),,10.00,10.00,1,,,,European Union
080810 - Apples,,10.00,10.00,1,,,,European Union
080830 - Pears,,10.00,10.00,1,,,,European Union
080840 - Quinces,,10.00,10.00,1,,,,European Union
080910 - Apricots,,10.00,10.00,1,,,,European Union
080921 - - Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,European Union
080929 - - Other,,10.00,10.00,1,,,,European Union
"080930 - Peaches, including nectarines",,10.00,10.00,2,,,,European Union
080940 - Plums and sloes,,10.00,10.00,1,,,,European Union
081010 - Strawberries,,10.00,10.00,1,,,,European Union
"081020 - Raspberries, blackberries, mulberries and loganberries",,10.00,10.00,1,,,,European Union
"081030 - Black, white or red currants and gooseberries",,10.00,10.00,1,,,,European Union
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,10.00,10.00,1,,,,European Union
081050 - Kiwifruit,,10.00,10.00,1,,,,European Union
081060 - Durians,,10.00,10.00,1,,,,European Union
081070 - Persimmons,,10.00,10.00,1,,,,European Union
081090 - Other,,10.00,10.00,8,,,,European Union
081110 - Strawberries,,10.00,10.00,1,,,,European Union
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,10.00,10.00,1,,,,European Union
081190 - Other,,10.00,10.00,1,,,,European Union
081210 - Cherries,,10.00,10.00,1,,,,European Union
081290 - Other,,10.00,10.00,1,,,,European Union
081310 - Apricots,,10.00,10.00,1,,,,European Union
081320 - Prunes,,10.00,10.00,2,,,,European Union
081330 - Apples,,10.00,10.00,1,,,,European Union
081340 - Other fruit,,10.00,10.00,2,,,,European Union
081350 - Mixtures of nuts or dried fruits of this Chapter,,10.00,10.00,1,,,,European Union
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,10.00,10.00,1,,,,European Union
,2017,"176,304,813",10.49,10.49,75,,,,European Union
080111 - - Desiccated,,55.00,55.00,1,,,,European Union
080112 - - In the inner shell (endocarp),,10.00,10.00,1,,,,European Union
080119 - - Other,,10.00,10.00,1,,,,European Union
080121 - - In shell,,10.00,10.00,1,,,,European Union
080122 - - Shelled,,10.00,10.00,1,,,,European Union
080131 - - In shell,"2,431",10.00,10.00,1,,,,European Union
080132 - - Shelled,,10.00,10.00,1,,,,European Union
080211 - - In shell,"82,238",10.00,10.00,1,,,,European Union
080212 - - Shelled,"547,421",10.00,10.00,1,,,,European Union
080221 - - In shell,"240,688",6.00,6.00,1,,,,European Union
080222 - - Shelled,"789,962",6.00,6.00,1,,,,European Union
080231 - - In shell,"13,436",10.00,10.00,1,,,,European Union
080232 - - Shelled,,10.00,10.00,1,,,,European Union
080241 - - In shell,"2,165,575",10.00,10.00,1,,,,European Union
080242 - - Shelled,"5,135",10.00,10.00,1,,,,European Union
080251 - - In shell,"2,324",10.00,10.00,1,,,,European Union
080252 - - Shelled,,10.00,10.00,1,,,,European Union
080261 - - In shell,,10.00,10.00,1,,,,European Union
080262 - - Shelled,,10.00,10.00,1,,,,European Union
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,European Union
080280 - Areca nuts,,10.00,10.00,1,,,,European Union
080290 - Other,"170,315",10.00,10.00,1,,,,European Union
080310 - Plantains,,10.00,10.00,1,,,,European Union
080390 - Other,"1,674",10.00,10.00,1,,,,European Union
080410 - Dates,,10.00,10.00,2,,,,European Union
080420 - Figs,,10.00,10.00,2,,,,European Union
080430 - Pineapples,,10.00,10.00,1,,,,European Union
080440 - Avocados,,10.00,10.00,1,,,,European Union
"080450 - Guavas, mangoes and mangosteens","2,029",10.00,10.00,3,,,,European Union
080510 - Oranges,"11,309,547",10.00,10.00,1,,,,European Union
080521 - - Mandarins (including tangerines and satsumas),"3,447,376",10.00,10.00,1,,,,European Union
080522 - - Clementines,"726,947",10.00,10.00,1,,,,European Union
080529 - - Other,,10.00,10.00,1,,,,European Union
"080540 - Grapefruit, including pomelos","240,478",10.00,10.00,1,,,,European Union
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","2,084,788",10.00,10.00,1,,,,European Union
080590 - Other,,10.00,10.00,1,,,,European Union
080610 - Fresh,"1,846,055",10.00,10.00,1,,,,European Union
080620 - Dried,"5,778",10.00,10.00,1,,,,European Union
080711 - - Watermelons,,10.00,10.00,1,,,,European Union
080719 - - Other,,10.00,10.00,1,,,,European Union
080720 - Papaws (papayas),,10.00,10.00,1,,,,European Union
080810 - Apples,"32,443,806",10.00,10.00,1,,,,European Union
080830 - Pears,"61,366,008",10.00,10.00,1,,,,European Union
080840 - Quinces,,10.00,10.00,1,,,,European Union
080910 - Apricots,"18,109",10.00,10.00,1,,,,European Union
080921 - - Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,European Union
080929 - - Other,"183,170",10.00,10.00,1,,,,European Union
"080930 - Peaches, including nectarines","13,029,757",10.00,10.00,2,,,,European Union
080940 - Plums and sloes,"20,605,718",10.00,10.00,1,,,,European Union
081010 - Strawberries,,10.00,10.00,1,,,,European Union
"081020 - Raspberries, blackberries, mulberries and loganberries","16,271",10.00,10.00,1,,,,European Union
"081030 - Black, white or red currants and gooseberries",,10.00,10.00,1,,,,European Union
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","8,523",10.00,10.00,1,,,,European Union
081050 - Kiwifruit,"20,321,767",10.00,10.00,1,,,,European Union
081060 - Durians,,10.00,10.00,1,,,,European Union
081070 - Persimmons,"2,645,194",10.00,10.00,1,,,,European Union
081090 - Other,"740,714",10.00,10.00,1,,,,European Union
081110 - Strawberries,"394,814",10.00,10.00,1,,,,European Union
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","191,701",10.00,10.00,1,,,,European Union
081190 - Other,"380,980",10.00,10.00,1,,,,European Union
081210 - Cherries,"238,227",10.00,10.00,1,,,,European Union
081290 - Other,,10.00,10.00,1,,,,European Union
081310 - Apricots,,10.00,10.00,1,,,,European Union
