Importer,Year,Value,Ad val. duties,Number of lines,Yemen
,(US$),Simple average,MFN duties,Pref. duties,Yemen
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Yemen
European Union,"16,807,497",,,,,,,Yemen
,2018,,2.39,0.00,498,,352,,Yemen
850110 - Motors of an output not exceeding 37.5 W,,3.20,0.00,4,,4,,Yemen
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,2.70,0.00,1,,1,,Yemen
850131 - - Of an output not exceeding 750 W,,2.70,0.00,1,,1,,Yemen
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,0.00,1,,1,,Yemen
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,2.70,0.00,1,,1,,Yemen
850134 - - Of an output exceeding 375 kW,,2.70,0.00,1,,1,,Yemen
"850140 - Other AC motors, single-phase",,2.70,0.00,2,,2,,Yemen
850151 - - Of an output not exceeding 750 W,,2.70,0.00,1,,1,,Yemen
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,0.00,3,,3,,Yemen
850153 - - Of an output exceeding 75 kW,,2.70,0.00,4,,4,,Yemen
850161 - - Of an output not exceeding 75 kVA,,2.70,0.00,2,,2,,Yemen
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,0.00,1,,1,,Yemen
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,2.70,0.00,1,,1,,Yemen
850164 - - Of an output exceeding 750 kVA,,2.70,0.00,1,,1,,Yemen
850211 - - Of an output not exceeding 75 kVA,,2.70,0.00,2,,2,,Yemen
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,0.00,1,,1,,Yemen
850213 - - Of an output exceeding 375 kVA,,2.70,0.00,3,,3,,Yemen
850220 - Generating sets with spark-ignition internal combustion piston engines,,2.70,0.00,4,,4,,Yemen
850231 - - Wind-powered,,2.70,0.00,1,,1,,Yemen
850239 - - Other,,2.70,0.00,2,,2,,Yemen
850240 - Electric rotary converters,,2.70,0.00,1,,1,,Yemen
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,2.70,0.00,3,,3,,Yemen
850410 - Ballasts for discharge lamps or tubes,,3.70,0.00,2,,2,,Yemen
850421 - - Having a power handling capacity not exceeding 650 kVA,,3.70,0.00,1,,1,,Yemen
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,3.70,0.00,2,,2,,Yemen
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,3.70,0.00,1,,1,,Yemen
850431 - - Having a power handling capacity not exceeding 1 kVA,,3.70,0.00,3,,3,,Yemen
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,3.70,0.00,1,,1,,Yemen
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,3.70,0.00,1,,1,,Yemen
850434 - - Having a power handling capacity exceeding 500 kVA,,3.70,0.00,1,,1,,Yemen
850440 - Static converters,,1.42,0.00,6,,5,,Yemen
850450 - Other inductors,,0.95,0.00,2,,1,,Yemen
850490 - Parts,,0.66,0.00,5,,3,,Yemen
850511 - - Of metal,,2.20,0.00,1,,1,,Yemen
850519 - - Other,,2.20,0.00,2,,2,,Yemen
"850520 - Electro-magnetic couplings, clutches and brakes",,2.20,0.00,1,,1,,Yemen
"850590 - Other, including parts",,1.45,0.00,4,,3,,Yemen
850610 - Manganese dioxide,,4.70,0.00,4,,4,,Yemen
850630 - Mercuric oxide,,4.70,0.00,1,,1,,Yemen
850640 - Silver oxide,,4.70,0.00,1,,1,,Yemen
850650 - Lithium,,4.70,0.00,3,,3,,Yemen
850660 - Air-zinc,,4.70,0.00,1,,1,,Yemen
850680 - Other primary cells and primary batteries,,2.35,0.00,2,,1,,Yemen
850690 - Parts,,4.70,0.00,1,,1,,Yemen
"850710 - Lead-acid, of a kind used for starting piston engines",,3.70,0.00,2,,2,,Yemen
850720 - Other lead-acid accumulators,,3.70,0.00,2,,2,,Yemen
850730 - Nickel-cadmium,,2.60,0.00,2,,2,,Yemen
850740 - Nickel-iron,,2.70,0.00,1,,1,,Yemen
850750 - Nickel-metal hydride,,2.70,0.00,1,,1,,Yemen
850760 - Lithium-ion,,2.70,0.00,1,,1,,Yemen
850780 - Other accumulators,,2.70,0.00,1,,1,,Yemen
850790 - Parts,,2.70,0.00,2,,2,,Yemen
"850811 - - Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,2.20,0.00,1,,1,,Yemen
850819 - - Other,,1.70,0.00,1,,1,,Yemen
850860 - Other vacuum cleaners,,1.70,0.00,1,,1,,Yemen
850870 - Parts,,1.70,0.00,1,,1,,Yemen
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,2.20,0.00,1,,1,,Yemen
850980 - Other appliances,,2.20,0.00,1,,1,,Yemen
850990 - Parts,,2.20,0.00,1,,1,,Yemen
851010 - Shavers,,2.20,0.00,1,,1,,Yemen
851020 - Hair clippers,,2.20,0.00,1,,1,,Yemen
851030 - Hair-removing appliances,,2.20,0.00,1,,1,,Yemen
851090 - Parts,,2.20,0.00,1,,1,,Yemen
851110 - Sparking plugs,,3.20,0.00,1,,1,,Yemen
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,,3.20,0.00,1,,1,,Yemen
851130 - Distributors; ignition coils,,3.20,0.00,1,,1,,Yemen
851140 - Starter motors and dual purpose starter-generators,,3.20,0.00,1,,1,,Yemen
851150 - Other generators,,3.20,0.00,1,,1,,Yemen
851180 - Other equipment,,3.20,0.00,1,,1,,Yemen
851190 - Parts,,3.20,0.00,1,,1,,Yemen
