Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
Yemen,0,,,,,,,Russian Federation
,2016,,6.39,6.39,230,,,,Russian Federation
390110 - Polyethylene having a specific gravity of less than 0.94,,5.00,5.00,2,,,,Russian Federation
390120 - Polyethylene having a specific gravity of 0.94 or more,,5.00,5.00,2,,,,Russian Federation
390130 - Ethylene-vinyl acetate copolymers,,5.00,5.00,2,,,,Russian Federation
390190 - Other,,5.00,5.00,2,,,,Russian Federation
390210 - Polypropylene,,5.00,5.00,2,,,,Russian Federation
390220 - Polyisobutylene,,5.00,5.00,2,,,,Russian Federation
390230 - Propylene copolymers,,5.00,5.00,2,,,,Russian Federation
390290 - Other,,5.00,5.00,2,,,,Russian Federation
390311 -- Expansible,,5.00,5.00,2,,,,Russian Federation
390319 -- Other,,5.00,5.00,2,,,,Russian Federation
390320 - Styrene-acrylonitrile (SAN) copolymers,,5.00,5.00,2,,,,Russian Federation
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,5.00,5.00,2,,,,Russian Federation
390390 - Other,,5.00,5.00,2,,,,Russian Federation
"390410 - Poly(vinyl chloride), not mixed with any other substances",,5.00,5.00,2,,,,Russian Federation
390421 -- Non-plasticised,,5.00,5.00,2,,,,Russian Federation
390422 -- Plasticised,,5.00,5.00,2,,,,Russian Federation
390430 - Vinyl chloride-vinyl acetate copolymers,,5.00,5.00,2,,,,Russian Federation
390440 - Other vinyl chloride copolymers,,5.00,5.00,2,,,,Russian Federation
390450 - Vinylidene chloride polymers,,5.00,5.00,2,,,,Russian Federation
390461 -- Polytetrafluoroethylene,,5.00,5.00,2,,,,Russian Federation
390469 -- Other,,5.00,5.00,2,,,,Russian Federation
390490 - Other,,5.00,5.00,2,,,,Russian Federation
390512 -- In aqueous dispersion,,5.00,5.00,2,,,,Russian Federation
390519 -- Other,,5.00,5.00,2,,,,Russian Federation
390521 -- In aqueous dispersion,,5.00,5.00,2,,,,Russian Federation
390529 -- Other,,5.00,5.00,2,,,,Russian Federation
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,5.00,5.00,2,,,,Russian Federation
390591 -- Copolymers,,5.00,5.00,2,,,,Russian Federation
390599 -- Other,,5.00,5.00,2,,,,Russian Federation
390610 - Poly(methyl methacrylate),,5.00,5.00,2,,,,Russian Federation
390690 - Other,,5.00,5.00,2,,,,Russian Federation
390710 - Polyacetals,,5.00,5.00,2,,,,Russian Federation
390720 - Other polyethers,,5.00,5.00,2,,,,Russian Federation
390730 - Epoxide resins,,5.00,5.00,2,,,,Russian Federation
390740 - Polycarbonates,,5.00,5.00,2,,,,Russian Federation
